term,estimate,std.error,statistic,p.value,conf.low,conf.high,modelo
(Intercept),-0.009544601735548592,0.013922182903103392,-0.6855679028193924,0.4938531754148704,-0.03701323448807798,0.0179240310169808,OLS informativo para inicialización
d_exp24_lag1,-0.26399830701594035,0.0718267130569869,-3.6754891847338973,3.117415111282407e-4,-0.40571326770244903,-0.12228334632943166,OLS informativo para inicialización
sorpresa_inflacionaria,0.016735766349323198,0.007141710525883537,2.343383463760978,0.020183671917819498,0.0026450863873008993,0.0308264463113455,OLS informativo para inicialización
