fecha,exp_inf_12m,exp_inf_24m,infl_gt,d_exp24,d_exp24_lag1,error_pronostico_12m_t,inflacion_realizada_t_1,expectativa_12m_correspondiente_t_13,sorpresa_inflacionaria,alpha,se_alpha,alpha_li_95,alpha_ls_95,rho,se_rho,rho_li_95,rho_ls_95,beta_t,se_beta_t,beta_li_95,beta_ls_95,sensibilidad_absoluta_t,beta_significativamente_positivo,beta_significativamente_negativo,beta_no_distinto_cero,sensibilidad_baja_descriptiva,ajustado_constante,ajustado_tvp,residuo_tvp,residuo_estandarizado
2011-02-01,5.5,5.81,5.24,-0.040000000000000036,-0.35000000000000053,1.27,4.9,3.34,1.5600000000000005,-0.007628904176690236,0.014147265757642,-0.035357035541385314,0.020099227188004838,-0.26902524636111846,0.07173708750345274,-0.4096273542236842,-0.12842313849855275,0.025039076628445282,0.012715736149441546,1.1669173862583274e-4,0.049961461518264735,0.025039076628445282,TRUE,FALSE,FALSE,TRUE,0.1089626012249748,0.12559089159007603,-0.16559089159007606,NA
2011-03-01,6.24,6.13,4.99,0.3200000000000003,-0.040000000000000036,-0.39999999999999947,5.24,3.97,1.27,-0.007628904176690229,0.014147265757642007,-0.03535703554138532,0.02009922718800486,-0.2690252463611185,0.07173708750345274,-0.40962735422368424,-0.1284231384985528,0.025054405671790705,0.01263907482447274,2.8227421791723536e-4,0.04982653712566418,0.025054405671790705,TRUE,FALSE,FALSE,TRUE,0.02226975380872951,0.03495120088092872,0.28504879911907155,NA
2011-04-01,6.07,6.19,5.76114812916453,0.0600000000000005,0.3200000000000003,0.7211481291645301,4.99,5.39,-0.39999999999999947,-0.0076289041766898075,0.014147265757678712,-0.03535703554145683,0.02009922718807722,-0.26902524636111796,0.07173708750345417,-0.40962735422368646,-0.12842313849854944,0.025048252604642714,0.012563367533716062,4.245047140194365e-4,0.04967200049526599,0.025048252604642714,TRUE,FALSE,FALSE,TRUE,-0.10071836652037874,-0.1037362840541047,0.1637362840541052,NA
2011-05-01,5.96,5.74,6.3930220625962,-0.4500000000000002,0.0600000000000005,1.0330220625962,5.76114812916453,5.04,0.7211481291645301,-0.00762890417669029,0.014147265757673652,-0.0353570355414474,0.020099227188066823,-0.26902524636111846,0.07173708750343773,-0.40962735422365476,-0.12842313849858217,0.025045986039809787,0.012487278412510313,5.713700863650764e-4,0.0495206019932545,0.025045986039809787,TRUE,FALSE,FALSE,TRUE,-0.013315533563555988,-0.005708552982667765,-0.4442914470173324,-2.944681112304463
2011-06-01,6.38,6.16,6.42229936695938,0.41999999999999993,-0.4500000000000002,1.6122993669593804,6.3930220625962,5.36,1.0330220625962,-0.007628904176690256,0.014147265757681816,-0.03535703554146337,0.020099227188082856,-0.26902524636111896,0.07173708750344619,-0.40962735422367186,-0.12842313849856607,0.025062732290893397,0.012411170434555141,7.372852331769958e-4,0.0493881793486098,0.025062732290893397,TRUE,FALSE,FALSE,TRUE,0.12654305229493046,0.13932281209124842,0.2806771879087515,1.4691115456433916
2011-07-01,5.96,5.88,7.03967446592064,-0.28000000000000025,0.41999999999999993,2.14967446592064,6.42229936695938,4.81,1.6122993669593804,-0.007628904176690167,0.01414726575768073,-0.03535703554146115,0.020099227188080816,-0.26902524636111885,0.07173708750344572,-0.4096273542236708,-0.1284231384985669,0.025062272906282712,0.012335736440319538,8.846737604780927e-4,0.04923987205208733,0.025062272906282712,TRUE,FALSE,FALSE,TRUE,-0.09344082519164948,-0.08021162090699721,-0.19978837909300304,0.4993049134344795
2011-08-01,6.33,5.95,7.6258261311642,0.07000000000000028,-0.28000000000000025,2.2758261311642007,7.03967446592064,4.89,2.14967446592064,-0.0076289041766901475,0.014147265757679795,-0.0353570355414593,0.020099227188079005,-0.26902524636111874,0.07173708750344529,-0.40962735422366986,-0.12842313849856762,0.02508092832862399,0.01226163362416824,0.0010485680336289084,0.04911328862361908,0.02508092832862399,TRUE,FALSE,FALSE,TRUE,0.1003513738176687,0.12161399601405179,-0.051613996014051505,0.13777424735736835
2011-09-01,6.69,6.43,7.24931562404949,0.47999999999999954,0.07000000000000028,1.35931562404949,7.6258261311642,5.35,2.2758261311642007,-0.00762890417669016,0.014147265757678823,-0.03535703554145741,0.020099227188077086,-0.2690252463611188,0.07173708750344543,-0.4096273542236702,-0.1284231384985674,0.02510616781720086,0.012191034902009207,0.001212178474992033,0.04900015715940969,0.02510616781720086,TRUE,FALSE,FALSE,TRUE,0.010063211156183804,0.03067660134981085,0.44932339865018867,2.753465300234353
2011-10-01,6.69,6.51,6.65,0.08000000000000007,0.47999999999999954,0.6900000000000004,7.24931562404949,5.89,1.35931562404949,-0.007628904176690171,0.014147265757678804,-0.03535703554145738,0.020099227188077037,-0.26902524636111874,0.07173708750344536,-0.40962735422367,-0.12842313849856749,0.025070726390295228,0.012123976324245448,0.0013081694453578457,0.04883328333523261,0.025070726390295228,TRUE,FALSE,FALSE,TRUE,-0.11351460042412295,-0.10268199234142888,0.18268199234142896,0.8287686182942261
2011-11-01,6.85,6.06,6.05484387510006,-0.4500000000000002,0.08000000000000007,0.10484387510005977,6.65,5.96,0.6900000000000004,-0.007628904176690144,0.014147265757679566,-0.035357035541458845,0.020099227188078557,-0.26902524636111874,0.07173708750344535,-0.40962735422366997,-0.1284231384985675,0.025020549287606927,0.012057632116725328,0.0013880245999918321,0.04865307397522202,0.025020549287606927,TRUE,FALSE,FALSE,TRUE,-0.01911678751579078,-0.011886744877130873,-0.4381132551228693,-2.355734026696454
