fecha,exp_inf_12m,exp_inf_24m,infl_gt,d_exp24,d_exp24_lag1,inflacion_realizada_t_1,expectativa_12m_correspondiente_t_13,sorpresa_inflacionaria,beta_t,ajustado_tvp,residuo_tvp,residuo_estandarizado
2012-09-01,4.91,5.17,3.28,0.6200000000000001,-0.35000000000000053,2.71,6.33,-3.62,0.024380783275525005,-0.0017285034076989086,0.621728503407699,4.367928179234206
2011-05-01,5.96,5.74,6.3930220625962,-0.4500000000000002,0.0600000000000005,5.76114812916453,5.04,0.7211481291645301,0.025045986039809787,-0.005708552982667765,-0.4442914470173324,-2.944681112304463
2013-12-01,5.09,5.19,4.39,0.4900000000000002,-0.009999999999999787,4.63,4.48,0.14999999999999947,0.024145284611806313,-0.0013168590213080223,0.49131685902130823,2.76725541430796
2011-09-01,6.69,6.43,7.24931562404949,0.47999999999999954,0.07000000000000028,7.6258261311642,5.35,2.2758261311642007,0.02510616781720086,0.03067660134981085,0.44932339865018867,2.753465300234353
2012-03-01,5.59,5.47,4.55,-0.6400000000000006,0.16000000000000014,5.17,5.5,-0.33000000000000007,0.02489875032278429,-0.058889531200987985,-0.5811104687990126,-2.6077774811627243
2025-12-01,3.48,3.72,1.65,0.4200000000000004,-0.07000000000000028,1.73,3.59,-1.8599999999999999,0.01276667163405749,-0.012543146170758572,0.43254314617075895,2.364791208150756
2011-11-01,6.85,6.06,6.05484387510006,-0.4500000000000002,0.08000000000000007,6.65,5.96,0.6900000000000004,0.025020549287606927,-0.011886744877130873,-0.4381132551228693,-2.355734026696454
2026-07-01,2.94,3.28,NA,-0.43000000000000016,-0.03000000000000025,2.27,3.17,-0.8999999999999999,0.012876080717692912,-0.011146619431780021,-0.41885338056822013,-2.288135857401689
2013-06-01,4.87,5.21,4.79,0.3799999999999999,-0.09999999999999964,4.27,5.26,-0.9900000000000002,0.024082015169938256,-0.004567574558817181,0.38456757455881707,2.1631018888496367
2012-01-01,5.97,5.95,5.44,0.33000000000000007,-0.4399999999999995,6.2,5.71,0.4900000000000002,0.024959531855711092,0.12297237483150043,0.20702762516849965,2.0685538724237746
