fecha,radio_espectral,estable
2010-07-01,0.8923319854011249,TRUE
2010-08-01,0.8926060362414512,TRUE
2010-09-01,0.8928305365679015,TRUE
2010-10-01,0.8930537860598843,TRUE
2010-11-01,0.8931580528734255,TRUE
2010-12-01,0.8930306260433148,TRUE
2011-01-01,0.892817425285779,TRUE
2011-02-01,0.892814067833213,TRUE
2011-03-01,0.8928810303762001,TRUE
2011-04-01,0.8927861089722927,TRUE
2011-05-01,0.8924833498842082,TRUE
2011-06-01,0.8924715121392064,TRUE
2011-07-01,0.8922945427397153,TRUE
2011-08-01,0.8923292821468647,TRUE
2011-09-01,0.8925577313421614,TRUE
2011-10-01,0.8925623158984166,TRUE
2011-11-01,0.892297418060195,TRUE
2011-12-01,0.8921334764314315,TRUE
2012-01-01,0.8922624851811052,TRUE
2012-02-01,0.8922711317101306,TRUE
2012-03-01,0.8919620432239431,TRUE
2012-04-01,0.8918572848281581,TRUE
2012-05-01,0.8916430713250396,TRUE
2012-06-01,0.8914559584012749,TRUE
2012-07-01,0.8912911400512458,TRUE
2012-08-01,0.891181049738608,TRUE
2012-09-01,0.8912070653403306,TRUE
2012-10-01,0.8910256839332773,TRUE
2012-11-01,0.890943957288058,TRUE
2012-12-01,0.890865674123243,TRUE
2013-01-01,0.8907049758379817,TRUE
2013-02-01,0.8905345941040157,TRUE
2013-03-01,0.8904990304761511,TRUE
2013-04-01,0.8905642950585366,TRUE
2013-05-01,0.890568831103301,TRUE
2013-06-01,0.8906138928758198,TRUE
2013-07-01,0.890419758965822,TRUE
2013-08-01,0.890402378775156,TRUE
2013-09-01,0.8903972163978249,TRUE
2013-10-01,0.8903574746939111,TRUE
2013-11-01,0.8904030182546288,TRUE
2013-12-01,0.8905057957500826,TRUE
2014-01-01,0.8903499000225873,TRUE
2014-02-01,0.8901715694495425,TRUE
2014-03-01,0.890054753563555,TRUE
2014-04-01,0.8899563417766707,TRUE
2014-05-01,0.8897479090730813,TRUE
2014-06-01,0.889633169545887,TRUE
2014-07-01,0.8894899820589823,TRUE
2014-08-01,0.8892702835372023,TRUE
2014-09-01,0.8891731273560595,TRUE
2014-10-01,0.8891178790901824,TRUE
2014-11-01,0.8890554499076591,TRUE
2014-12-01,0.8890064555649302,TRUE
2015-01-01,0.888907415021185,TRUE
2015-02-01,0.8888929630923436,TRUE
2015-03-01,0.8888010246978785,TRUE
2015-04-01,0.8886214852451577,TRUE
2015-05-01,0.888452965963695,TRUE
2015-06-01,0.8883588524091255,TRUE
2015-07-01,0.8882459066959951,TRUE
2015-08-01,0.8881440825362794,TRUE
2015-09-01,0.8881271231050065,TRUE
2015-10-01,0.8881120017398115,TRUE
2015-11-01,0.8881446520017591,TRUE
2015-12-01,0.8882193386629782,TRUE
2016-01-01,0.8882661867069187,TRUE
2016-02-01,0.8882996994879314,TRUE
2016-03-01,0.8882882857617196,TRUE
2016-04-01,0.8883709032796541,TRUE
2016-05-01,0.8884139239664591,TRUE
2016-06-01,0.8884887410557061,TRUE
2016-07-01,0.888480292221506,TRUE
2016-08-01,0.8884439749559145,TRUE
2016-09-01,0.8883870212222188,TRUE
2016-10-01,0.8883682499023217,TRUE
2016-11-01,0.8883699555209503,TRUE
2016-12-01,0.8882972990079423,TRUE
2017-01-01,0.8881307284131785,TRUE
2017-02-01,0.8880290595706815,TRUE
2017-03-01,0.8878645241473524,TRUE
2017-04-01,0.8877751849891695,TRUE
2017-05-01,0.8875712641971996,TRUE
2017-06-01,0.8875310223799779,TRUE
2017-07-01,0.8875253019710796,TRUE
2017-08-01,0.8874701549500746,TRUE
2017-09-01,0.8875018494515241,TRUE
2017-10-01,0.8873867980960319,TRUE
2017-11-01,0.8873166363759257,TRUE
2017-12-01,0.8871657755315879,TRUE
2018-01-01,0.8870490119135968,TRUE
2018-02-01,0.8869299376936794,TRUE
2018-03-01,0.8868564094964484,TRUE
2018-04-01,0.8867022908533959,TRUE
2018-05-01,0.8865868793664269,TRUE
2018-06-01,0.8864439269056839,TRUE
2018-07-01,0.8863197341228991,TRUE
2018-08-01,0.886222947756295,TRUE
2018-09-01,0.8860834252960862,TRUE
2018-10-01,0.8859370238677922,TRUE
2018-11-01,0.8858826499389343,TRUE
2018-12-01,0.8857805118771849,TRUE
2019-01-01,0.8856297670414536,TRUE
2019-02-01,0.8855136383914167,TRUE
2019-03-01,0.8854190940880029,TRUE
2019-04-01,0.88533242426889,TRUE
2019-05-01,0.8852837081523022,TRUE
2019-06-01,0.8852564645447598,TRUE
2019-07-01,0.8852865363329407,TRUE
2019-08-01,0.8852134531878788,TRUE
2019-09-01,0.885113083122732,TRUE
2019-10-01,0.8850040592038694,TRUE
2019-11-01,0.8848685141460477,TRUE
2019-12-01,0.8846858234185522,TRUE
2020-01-01,0.8845441074550149,TRUE
2020-02-01,0.8844359764839465,TRUE
2020-03-01,0.884368696502742,TRUE
2020-04-01,0.8842724790873291,TRUE
2020-05-01,0.8841649486006193,TRUE
2020-06-01,0.884042664506139,TRUE
2020-07-01,0.8839551081196357,TRUE
2020-08-01,0.883857631054584,TRUE
2020-09-01,0.8837712844968355,TRUE
2020-10-01,0.8837425535880576,TRUE
2020-11-01,0.8837245279890911,TRUE
2020-12-01,0.883678627308236,TRUE
2021-01-01,0.8836539576993634,TRUE
2021-02-01,0.8837182844050608,TRUE
2021-03-01,0.8836522174630731,TRUE
2021-04-01,0.8836421758188225,TRUE
2021-05-01,0.8836109369412921,TRUE
2021-06-01,0.883494416905984,TRUE
2021-07-01,0.8834500993242684,TRUE
2021-08-01,0.883420363100781,TRUE
2021-09-01,0.8833695104851389,TRUE
2021-10-01,0.8832470399643779,TRUE
2021-11-01,0.883259584767544,TRUE
2021-12-01,0.8832088920748729,TRUE
2022-01-01,0.8831459302381954,TRUE
2022-02-01,0.8830251813265292,TRUE
2022-03-01,0.8829225282997479,TRUE
2022-04-01,0.8828747478645687,TRUE
2022-05-01,0.8828549031079536,TRUE
2022-06-01,0.8828727360033772,TRUE
2022-07-01,0.8829280185091157,TRUE
2022-08-01,0.8828461878598954,TRUE
2022-09-01,0.8827866572342926,TRUE
2022-10-01,0.8827422690977332,TRUE
2022-11-01,0.8826631218184504,TRUE
2022-12-01,0.8824361795174049,TRUE
2023-01-01,0.8821356584676856,TRUE
2023-02-01,0.8818063780459937,TRUE
2023-03-01,0.8816139919083056,TRUE
2023-04-01,0.8815984608301952,TRUE
2023-05-01,0.8816299050593833,TRUE
2023-06-01,0.8818066034435195,TRUE
2023-07-01,0.8820190939545941,TRUE
2023-08-01,0.8821934198108624,TRUE
2023-09-01,0.882362771670741,TRUE
2023-10-01,0.8825608898958976,TRUE
2023-11-01,0.8826908102139521,TRUE
2023-12-01,0.8827307313946128,TRUE
2024-01-01,0.8827538390121669,TRUE
2024-02-01,0.882752626438636,TRUE
2024-03-01,0.8827002588841582,TRUE
2024-04-01,0.882642964795606,TRUE
2024-05-01,0.88261315881945,TRUE
2024-06-01,0.8826082265664705,TRUE
2024-07-01,0.8826235107294302,TRUE
2024-08-01,0.882618454788485,TRUE
2024-09-01,0.8826389274885982,TRUE
2024-10-01,0.8826643408052272,TRUE
2024-11-01,0.8826582337784892,TRUE
2024-12-01,0.882677087338897,TRUE
2025-01-01,0.8826358150150109,TRUE
2025-02-01,0.8826055421942246,TRUE
2025-03-01,0.8825661343928701,TRUE
2025-04-01,0.8825260250349719,TRUE
2025-05-01,0.8824912552103046,TRUE
2025-06-01,0.8824649171458867,TRUE
2025-07-01,0.8824488580588048,TRUE
2025-08-01,0.8824368550494031,TRUE
2025-09-01,0.8824243491486334,TRUE
2025-10-01,0.8824213801209989,TRUE
2025-11-01,0.8824459330396233,TRUE
2025-12-01,0.8825074466298306,TRUE
2026-01-01,0.8825077865832044,TRUE
2026-02-01,0.8825059000511606,TRUE
2026-03-01,0.8824934850293936,TRUE
2026-04-01,0.8824801211309192,TRUE
2026-05-01,0.8824544813544326,TRUE
2026-06-01,0.8824428141688969,TRUE
