p,n,AIC,BIC,R2_ajustado,LB12_estadistico,LB12_p,residuos_blancos_12
1,192,335.79680239587526,348.82678388398637,0.8969612673313627,103.63273437061666,1.1102230246251565e-16,FALSE
2,192,313.78296758572725,330.07044444586614,0.9085915469064576,65.44107749397385,2.2593549253713263e-9,FALSE
3,192,313.9048233078531,333.4497955400198,0.9089972884501674,58.750716713691936,3.8096170884571734e-8,FALSE
4,192,314.14172915130587,336.94419675550034,0.9093443317322016,57.41367826810694,6.654658457616591e-8,FALSE
5,192,311.70979309248423,337.7697560687065,0.9109341207028784,55.48904602720893,1.478822772016386e-7,FALSE
6,192,310.32008646297425,339.6375448112243,0.9120171720795343,50.91876810059022,9.627413076751523e-7,FALSE
