modelo,ecuacion,rezago,estadistico,p_valor
M3_p1,inflacion,6,29.764093418807388,4.358233835588532e-5
M3_p1,inflacion,12,109.21550436201633,0
M3_p1,inflacion,24,142.07197983103643,0
M3_p1,expectativa,6,5.487991136173087,0.48290932613002435
M3_p1,expectativa,12,18.4123731192536,0.10373108393573782
M3_p1,expectativa,24,40.584231010995964,0.018493182771550765
M3_p2,inflacion,6,12.366134702787672,0.05428182731460063
M3_p2,inflacion,12,65.49383355156435,2.2091242168897907e-9
M3_p2,inflacion,24,86.42311379717694,5.587843299181827e-9
M3_p2,expectativa,6,7.627910479638835,0.26665011321807097
M3_p2,expectativa,12,21.042626874785714,0.04975972044550603
M3_p2,expectativa,24,46.11486458389551,0.004288427880161816
