fecha,lambda_base,pi_base,lambda_sel,pi_sel,dif_lambda,dif_pi
2010-07-01,0.7671084040221114,5.932274497134249,0.7671085204846237,5.932275441020341,1.1646251230068572e-7,9.438860919530612e-7
2010-08-01,0.7637733281749801,6.088567388637398,0.763773492391894,6.088567631880866,1.6421691384493897e-7,2.432434680343931e-7
2010-09-01,0.761038094980617,6.218057689316633,0.7610382989207802,6.218057311498117,2.039401632014659e-7,-3.7781851602858296e-7
2010-10-01,0.7583152747396013,6.347893008705349,0.7583155186460548,6.34789197535402,2.439064535897373e-7,-1.03335132894955e-6
2010-11-01,0.7570426393414529,6.404336601180782,0.7570429012026321,6.404335305532666,2.61861179184919e-7,-1.2956481159065447e-6
2010-12-01,0.7585978737475131,6.336431656484086,0.758598112301301,6.336430750006545,2.385537879456834e-7,-9.064775410294601e-7
2011-01-01,0.761197917892182,6.228425872885333,0.7611981182256277,6.2284255556261785,2.0033344561021238e-7,-3.1725915405900196e-7
2011-02-01,0.7612388404571793,6.21753458572247,0.7612390421585511,6.217534237931543,2.017013718269567e-7,-3.4779092761283437e-7
2011-03-01,0.7604224989457369,6.241602900649047,0.7604227164220467,6.241602260425877,2.1747630984947364e-7,-6.402231704782935e-7
2011-04-01,0.7615796012135041,6.189387117537497,0.7615798074883913,6.189386527654858,2.0627488717117615e-7,-5.898826387351619e-7
2011-05-01,0.7652668806349372,6.03651285125767,0.7652670339573763,6.03651302798027,1.53322439078174e-7,1.767226001092581e-7
2011-06-01,0.7654109449474115,6.010001482808136,0.7654110975782574,6.010001708112204,1.526308459620651e-7,2.2530406873499942e-7
2011-07-01,0.7675637206866543,5.91809147045386,0.7675638446547535,5.918092067128553,1.239680991194092e-7,5.966746927654754e-7
2011-08-01,0.7671412656860781,5.90978034927393,0.7671413962587996,5.909780922903545,1.3057272152394717e-7,5.736296149194686e-7
2011-09-01,0.7643614645739177,5.972904104210001,0.7643616412199101,5.97290408370508,1.7664599238909062e-7,-2.0504921316444324e-8
2011-10-01,0.7643056360409162,5.9581753657748555,0.7643058264332321,5.958175007647005,1.9039231591300165e-7,-3.5812785093014554e-7
2011-11-01,0.7675287271942847,5.846433883909866,0.7675288819235999,5.846433812405438,1.5472931524929123e-7,-7.150442815628821e-8
2011-12-01,0.7695214660590823,5.774017483387879,0.769521599247764,5.774017589758296,1.3318868163914033e-7,1.0637041736316633e-7
2012-01-01,0.7679534546701695,5.821480929758798,0.7679536199130629,5.821480504129997,1.6524289336850018e-7,-4.2562880153695914e-7
2012-02-01,0.7678483137776807,5.820611892329332,0.7678484958862705,5.820610996941627,1.8210858976352995e-7,-8.95387704424877e-7
2012-03-01,0.7716036122867223,5.678852300572277,0.7716037518993744,5.6788517910350915,1.3961265210582496e-7,-5.095371857777309e-7
2012-04-01,0.7728751507096768,5.631809409077611,0.7728752837187494,5.631808808283241,1.3300907253377403e-7,-6.007943706975993e-7
2012-05-01,0.7754733172409074,5.529672068914318,0.7754734238107398,5.529671662119043,1.0656983240320272e-7,-4.067952756869886e-7
2012-06-01,0.7777406621504955,5.44263251184291,0.7777407458686854,5.4426322782391106,8.371818982499946e-8,-2.336037994155049e-7
2012-07-01,0.7797362127168741,5.368828282724783,0.7797362766000009,5.368828204343966,6.388312678851094e-8,-7.838081650390905e-8
2012-08-01,0.7810682819021241,5.329650285021021,0.7810683349404278,5.329650248451356,5.303830374892016e-8,-3.656966462983746e-8
2012-09-01,0.7807535486695922,5.391395454114721,0.7807536160986471,5.391394981934487,6.742905489520723e-8,-4.721802344676007e-7
2012-10-01,0.7829470033319867,5.292055322168638,0.7829470473115925,5.29205512840072,4.397960573498949e-8,-1.9376791815517436e-7
2012-11-01,0.7839347159695935,5.258247388440044,0.7839347537486873,5.25824721782027,3.7779093742251746e-8,-1.7061977342081036e-7
2012-12-01,0.7848804568761697,5.226743929289725,0.7848804901679123,5.226743713842099,3.329174258492884e-8,-2.1544762596192868e-7
2013-01-01,0.7868207831790035,5.1393521364336525,0.7868207961307754,5.139352175603139,1.2951771877212082e-8,3.9169486321100067e-8
2013-02-01,0.7888764394842536,5.04650165049764,0.7888764286836384,5.046502050758501,-1.0800615179995532e-8,4.0026086089994806e-7
2013-03-01,0.789305302803843,5.029237010296296,0.7893052921570125,5.029237442876633,-1.0646830528315832e-8,4.3258033688431397e-7
2013-04-01,0.7885181995342463,5.0645562127951305,0.7885182087134637,5.064556366113961,9.17921738619043e-9,1.5331883052027706e-7
2013-05-01,0.7884634766498116,5.069197629561063,0.7884634955860809,5.069197612322026,1.8936269219338442e-8,-1.7239036864680202e-8
2013-06-01,0.7879198678235615,5.0952466000027,0.7879199037591595,5.095246313254601,3.593559805281643e-8,-2.867480990431659e-7
2013-07-01,0.7902609650768313,4.9987412799372795,0.7902609739343273,4.998741350309676,8.85749595891383e-9,7.037239679874574e-8
2013-08-01,0.7904704459957783,4.98444708384274,0.7904704586571245,4.984447141828211,1.2661346193709733e-8,5.7985470647281545e-8
2013-09-01,0.7905326580281797,4.975862831364212,0.7905326778858263,4.975862803007801,1.985764652712163e-8,-2.8356411441166074e-8
2013-10-01,0.7910115917652419,4.950177489406833,0.7910116118738326,4.950177486353895,2.0108590681466865e-8,-3.0529383465704996e-9
2013-11-01,0.7904627156247384,4.9684620604970116,0.7904627512661542,4.9684618785131365,3.564141581868796e-8,-1.8198387508050473e-7
2013-12-01,0.7892236509633495,5.016743324346061,0.7892237149012168,5.016742713194563,6.39378673339408e-8,-6.111514982976018e-7
2014-01-01,0.7911028371673848,4.9417466778918495,0.7911028853948963,4.94174614306019,4.822751142885551e-8,-5.348316598485781e-7
2014-02-01,0.7932507753741946,4.856077194848591,0.7932508026122136,4.856076837451856,2.7238018951436516e-8,-3.573967344294715e-7
2014-03-01,0.7946568097422498,4.802731614191909,0.7946568274243573,4.802731266173377,1.768210744490517e-8,-3.480185322146667e-7
2014-04-01,0.7958407258591355,4.7605914351922145,0.7958407378107866,4.760591021687249,1.1951651113228934e-8,-4.135049653797296e-7
2014-05-01,0.7983464264021313,4.648851312401315,0.7983464123545431,4.648851157806941,-1.4047588203780492e-8,-1.5459437374687468e-7
2014-06-01,0.7997247304107553,4.596601685275381,0.7997247069927313,4.596601545026171,-2.3418023964438817e-8,-1.4024921046740246e-7
2014-07-01,0.8014437237140914,4.526555567035226,0.8014436865364445,4.526555477887991,-3.7177646960984134e-8,-8.914723537145619e-8
2014-08-01,0.8040790034231122,4.407483640757759,0.8040789375531331,4.407483868302714,-6.586997913782255e-8,2.275449553224007e-7
2014-09-01,0.8052435155977051,4.36212022150591,0.8052434423993226,4.362120485738372,-7.319838257746625e-8,2.6423246257678557e-7
2014-10-01,0.8059054771331182,4.3400625330950025,0.8059054052249616,4.340062684034116,-7.190815665136796e-8,1.5093911365227086e-7
2014-11-01,0.806653271588049,4.313833213727936,0.8066531995694126,4.313833274880507,-7.201863638783834e-8,6.11525710070282e-8
2014-12-01,0.8072399829427759,4.295170624000252,0.8072399135188257,4.295170549971744,-6.942395014419844e-8,-7.402850776827563e-8
2015-01-01,0.8084255998274494,4.246729291172896,0.8084255237213724,4.246729221230518,-7.610607699604088e-8,-6.994237811142057e-8
2015-02-01,0.8085985481055618,4.255282773224115,0.8085984808607548,4.255282458552917,-6.724480694497714e-8,-3.1467119843142655e-7
2015-03-01,0.8096985727750741,4.198971716026577,0.8096985009341978,4.198971372228603,-7.184087624789726e-8,-3.437979740894548e-7
2015-04-01,0.81184536311475,4.073250275038013,0.8118452702711987,4.073250212707963,-9.284355129146604e-8,-6.233004956612831e-8
2015-05-01,0.813858727988577,3.957038577598476,0.8138586150811608,3.957038826396884,-1.1290741619429667e-7,2.4879840809788334e-7
2015-06-01,0.8149824369024111,3.8970157925091256,0.8149823172970591,3.897016136387281,-1.1960535206689826e-7,3.4387815528447163e-7
2015-07-01,0.8163303427630858,3.823015108803072,0.8163302128270971,3.8230156160496165,-1.299359887463325e-7,5.072465443234364e-7
2015-08-01,0.8175449061874962,3.758163705789951,0.8175447665248323,3.758164434993133,-1.3966266387832604e-7,7.292031818373346e-7
2015-09-01,0.8177471359568343,3.7629272940139655,0.8177470009665656,3.7629280474503375,-1.349902687408644e-7,7.534363719585713e-7
2015-10-01,0.8179274341088419,3.7694521777810626,0.8179273035170886,3.769452997689422,-1.305917533001022e-7,8.199083594284673e-7
2015-11-01,0.8175380938349999,3.823648261582315,0.8175379755948619,3.8236490310093156,-1.1824013801398081e-7,7.694270007796433e-7
2015-12-01,0.8166472695636692,3.9137439733183093,0.8166471714684486,3.913744540374708,-9.80952206131036e-8,5.670563987258959e-7
2016-01-01,0.81608832686813,3.982717161794766,0.8160882439558447,3.9827176014325913,-8.29122853707176e-8,4.3963782525580086e-7
2016-02-01,0.8156884092870049,4.043277092441418,0.8156883387758262,4.043277457218387,-7.051117867362677e-8,3.6477696951919825e-7
2016-03-01,0.8158246107688184,4.082965432812955,0.8158245449223358,4.0829658018781,-6.584648259977399e-8,3.6906514466750195e-7
2016-04-01,0.8148385046263245,4.1675206928139925,0.8148384595542949,4.167520895545957,-4.5072029553061554e-8,2.0273196454922982e-7
2016-05-01,0.8143248626462027,4.2332615009239865,0.8143248315500948,4.233261606650305,-3.109610791085515e-8,1.0572631836680557e-7
2016-06-01,0.8134313459324732,4.3149698276863715,0.8134313345318216,4.314969761836312,-1.1400651644954962e-8,-6.585005962733703e-8
2016-07-01,0.8135322554700983,4.357410677177264,0.8135322498726837,4.357410577093768,-5.597414642899423e-9,-1.0008349615731049e-7
2016-08-01,0.81396599276438375,4.386824210625915,0.8139659880097224,4.386824134900854,-4.7546613313187436e-9,-7.57250608884874e-8
2016-09-01,0.8146460453502758,4.406917327642914,0.8146460381665107,4.40691730393779,-7.183765138307763e-9,-2.3705124085893203e-8
2016-10-01,0.8148701369867075,4.443800859432699,0.8148701350546208,4.443800776824895,-1.9320867128413965e-9,-8.260780415270119e-8
2016-11-01,0.814849765499293,4.490004222869586,0.8148497737582086,4.490003988142882,8.258915551451196e-9,-2.3472670385160654e-7
2016-12-01,0.8157169786402021,4.503492384789338,0.8157169856078459,4.503492086905293,6.9676437952637116e-9,-2.978840445422293e-7
