fecha,inflacion,expectativa,meta_inflacion,a0,a1,a2,b,c0_t,c_t,d,lambda_t,pi_estrella_t,brecha_ancla_meta
2010-07-01,4.12,5.11,5,0.12238155259277907,1.2720841868600299,-0.34875656098932,0.040900612203355,3.482424527851352,0.17822031166132646,0.2347495407209188,0.7671085204846237,5.932275441020341,0.9322754410203409
2010-08-01,4.1,5.57,5,0.12238155259277907,1.2720841868600297,-0.34875656098932,0.04090061220335501,3.5586339287776116,0.18077244344099136,0.23474954072094079,0.763773492391894,6.088567631880866,1.0885676318808661
2010-09-01,3.76,5.68,5,0.12238155259277973,1.2720841868600279,-0.348756560989318,0.04090061220335542,3.6213027339171697,0.18286555150105474,0.23474954072062038,0.7610382989207802,6.218057311498117,1.218057311498117
2010-10-01,4.51,5.89,5,0.12238155259276298,1.272084186859986,-0.34875656098930236,0.04090061220338397,3.683689958728725,0.18494916035733736,0.23474954071841836,0.7583155186460548,6.34789197535402,1.3478919753540204
2010-11-01,5.25,6.22,5,0.12238155259236856,1.2720841868600703,-0.3487565609893055,0.04090061220338903,3.710207099586391,0.1859230314403926,0.2347495407184752,0.7570429012026321,6.404335305532666,1.4043353055326664
2010-12-01,5.39,6.2,5,0.12238155259228789,1.2720841868600852,-0.34875656098930985,0.04090061220339436,3.678409279125252,0.184732905432855,0.23474954071848142,0.758598112301301,6.336430750006545,1.3364307500065449
2011-01-01,4.9,5.85,5,0.12238155259212923,1.272084186860102,-0.34875656098929353,0.040900612203401465,3.6281027904620853,0.18274324970512973,0.23474954071847964,0.7611981182256277,6.2284255556261785,1.2284255556261785
2011-02-01,5.24,5.81,5,0.12238155259213632,1.2720841868601043,-0.3487565609892927,0.0409006122033983,3.621953234266422,0.182711932646665,0.2347495407184776,0.7612390421585511,6.217534237931543,1.2175342379315426
2011-03-01,4.99,6.13,5,0.12238155259213708,1.2720841868601038,-0.3487565609892925,0.04090061220339969,3.632074695363934,0.18333662629144828,0.23474954071847742,0.7604227164220467,6.241602260425877,1.2416022604258767
2011-04-01,5.76114812916453,6.19,5,0.12238155259213342,1.2720841868601038,-0.34875656098929275,0.04090061220339791,3.6071701200257924,0.18245116182149754,0.23474954071847787,0.7615798074883913,6.189386527654858,1.1893865276548583
2011-05-01,6.3930220625962,5.74,5,0.122381552592129,1.2720841868601027,-0.3487565609892926,0.04090061220339969,3.535108489357626,0.17962951007263114,0.23474954071848053,0.7652670339573763,6.03651302798027,1.03651302798027
2011-06-01,6.42229936695938,6.16,5,0.12238155259213139,1.2720841868601043,-0.34875656098929303,0.040900612203401465,3.520245476199811,0.17951926532058612,0.2347495407184803,0.7654110975782574,6.010001708112204,1.0100017081122044
2011-07-01,7.03967446592064,5.88,5,0.12238155259211078,1.2720841868601005,-0.34875656098929125,0.04090061220340502,3.476160542218011,0.17787187463158105,0.2347495407184783,0.7675638446547535,5.918092067128553,0.9180920671285531
2011-08-01,7.6258261311642,5.95,5,0.12238155259210531,1.272084186860099,-0.34875656098928987,0.04090061220340857,3.469368247029745,0.1781951534606074,0.23474954071847845,0.7671413962587996,5.909780922903545,0.9097809229035452
2011-09-01,7.24931562404949,6.43,5,0.12238155259210033,1.2720841868600992,-0.3487565609892904,0.04090061220341212,3.4937194192494014,0.18032236228080753,0.2347495407184792,0.7643616412199101,5.97290408370508,0.97290408370508
2011-10-01,6.65,6.51,5,0.12238155259209485,1.272084186860099,-0.34875656098929,0.040900612203415676,3.4848494815145825,0.18036507457194761,0.23474954071847925,0.7643058264332321,5.958175007647005,0.9581750076470046
2011-11-01,6.05484387510006,6.06,5,0.1223815525921223,1.2720841868600996,-0.348756560989291,0.04090061220341212,3.433913595204957,0.17789862987765373,0.23474954071847964,0.7675288819235999,5.846433812405438,0.8464338124054382
2011-12-01,6.2,5.62,5,0.12238155259211482,1.2720841868601007,-0.34875656098929225,0.04090061220341035,3.400184754569416,0.17637370203011882,0.2347495407184801,0.769521599247764,5.774017589758296,0.7740175897582962
2012-01-01,5.44,5.95,4.5,0.12238155259211979,1.2720841868601007,-0.3487565609892923,0.04090061220341212,3.421149385228938,0.17757359893614272,0.23474954071848042,0.7679536199130629,5.821480504129997,1.3214805041299966
2012-02-01,5.17,6.11,4.5,0.12238155259211238,1.272084186860101,-0.34875656098929314,0.04090061220341301,3.420170149881097,0.17765404514592717,0.2347495407184802,0.7678484958862705,5.820610996941627,1.3206109969416273
2012-03-01,4.55,5.47,4.5,0.12238155259210737,1.2720841868601007,-0.34875656098929314,0.040900612203415676,3.3531923298866166,0.17478033375717983,0.23474954071847964,0.7716037518993744,5.6788517910350915,1.1788517910350915
2012-04-01,4.27,5.54,4.5,0.12238155259211135,1.2720841868601007,-0.34875656098929303,0.040900612203415676,3.3308948309378237,0.173807293448412,0.2347495407184798,0.7728752837187494,5.631808808283241,1.1318088082832407
2012-05-01,3.9,5.28,4.5,0.12238155259210669,1.2720841868601007,-0.3487565609892932,0.04090061220341834,3.281480761330441,0.1718190655497386,0.23474954071847975,0.7754734238107398,5.529671662119043,1.0296716621190427
2012-06-01,3.47,5.11,4.5,0.1223815525921021,1.2720841868601007,-0.3487565609892932,0.04090061220341834,3.2392722023292673,0.1700839963035567,0.23474954071847964,0.7777407458686854,5.4426322782391106,0.9426322782391106
2012-07-01,2.86,4.9,4.5,0.12238155259209961,1.2720841868601005,-0.34875656098929325,0.04090061220341856,3.203545127231521,0.16855691549490706,0.23474954071847964,0.7797362766000009,5.368828204343966,0.8688282043439663
2012-08-01,2.71,4.55,4.5,0.1223815525920994,1.2720841868601007,-0.34875656098929314,0.04090061220341881,3.185600716878267,0.16753755723810562,0.23474954071847967,0.7810683349404278,5.329650248451356,0.8296502484513564
2012-09-01,3.28,5.17,4.5,0.12238155259209947,1.2720841868601005,-0.3487565609892932,0.040900612203418785,3.221207883949686,0.1677783959763228,0.23474954071847964,0.7807536160986471,5.391394981934487,0.8913949819344866
2012-10-01,3.35,4.76,4.5,0.12238155259210008,1.2720841868601007,-0.34875656098929314,0.040900612203418785,3.1707379395193196,0.16609987173321397,0.23474954071847964,0.7829470473115925,5.29205512840072,0.7920551284007198
2012-11-01,3.11,4.82,4.5,0.12238155259209978,1.2720841868601005,-0.3487565609892932,0.04090061220341884,3.1544563183557752,0.16534402892859187,0.23474954071847978,0.7839347537486873,5.25824721782027,0.7582472178202702
2012-12-01,3.45,4.93,4.5,0.1223815525920996,1.2720841868601005,-0.3487565609892932,0.040900612203418785,3.1393398900327414,0.1646203036994206,0.23474954071847975,0.7848804901679123,5.226743713842099,0.7267437138420991
2013-01-01,3.86,4.83,4,0.12238155259209951,1.2720841868601005,-0.34875656098929325,0.040900612203418785,3.0944809098713058,0.16313548367019298,0.23474954071847975,0.7868207961307754,5.139352175603139,1.1393521756031388
2013-02-01,4.18,4.61,4,0.12238155259209922,1.2720841868601003,-0.34875656098929314,0.040900612203418896,3.0465129791465406,0.16156240991500048,0.23474954071847987,0.7888764286836384,5.046502050758501,1.0465020507585008
2013-03-01,4.34,4.66,4,0.12238155259209722,1.2720841868601005,-0.3487565609892931,0.04090061220341923,3.0377410769181266,0.16123422194503192,0.23474954071847975,0.7893052921570125,5.029237442876633,1.0292374428766333
2013-04-01,4.13,4.93,4,0.12238155259209717,1.2720841868601003,-0.3487565609892932,0.04090061220341945,3.0560238168753098,0.16183653791170058,0.23474954071847964,0.7885182087134637,5.064556366113961,1.064556366113961
2013-05-01,4.27,4.83,4,0.12238155259209846,1.2720841868601003,-0.3487565609892931,0.04090061220341934,3.058612165968626,0.16187840715755897,0.23474954071847964,0.7884634955860809,5.069197612322026,1.069197612322026
2013-06-01,4.79,5.21,4,0.12238155259209792,1.2720841868601003,-0.34875656098929303,0.04090061220341956,3.072209683697019,0.1622943910527722,0.23474954071847962,0.7879199037591595,5.095246313254601,1.0952463132546013
2013-07-01,4.74,4.81,4,0.12238155259209878,1.2720841868601,-0.348756560989293,0.04090061220341945,3.022976700931726,0.1605028860260148,0.2347495407184797,0.7902609739343273,4.998741350309676,0.9987413503096763
2013-08-01,4.42,4.89,4,0.12238155259209975,1.2720841868601003,-0.348756560989293,0.04090061220341901,3.015131361190668,0.1603425777456817,0.2347495407184798,0.7904704586571245,4.984447141828211,0.9844471418282108
2013-09-01,4.21,4.91,4,0.12238155259209947,1.2720841868601003,-0.34875656098929303,0.04090061220341912,3.0101755441956874,0.1602949644523416,0.23474954071847984,0.7905326778858263,4.975862803007801,0.9758628030078009
2013-10-01,4.15,4.71,4,0.1223815525921002,1.2720841868601,-0.34875656098929303,0.04090061220341906,2.996451332847742,0.15992845999805416,0.2347495407184798,0.7910116118738326,4.950177486353895,0.950177486353895
2013-11-01,4.63,4.7,4,0.1223815525921005,1.2720841868601,-0.34875656098929286,0.04090061220341901,3.005432445015059,0.1603484758301617,0.23474954071847978,0.7904627512661542,4.9684618785131365,0.9684618785131365
2013-12-01,4.39,5.19,4,0.12238155259209936,1.2720841868601003,-0.34875656098929286,0.040900612203418896,3.029880876948802,0.16129664897749646,0.23474954071847987,0.7892237149012168,5.016742713194563,1.0167427131945628
2014-01-01,4.14,4.94,4,0.12238155259209949,1.2720841868601003,-0.3487565609892929,0.040900612203418896,2.9916928219249224,0.15985861289414002,0.23474954071847992,0.7911028853948963,4.94174614306019,0.9417461430601897
2014-02-01,3.5,4.68,4,0.12238155259210001,1.2720841868601003,-0.3487565609892929,0.040900612203418896,2.947811230278796,0.15821491825708922,0.2347495407184797,0.7932508026122136,4.856076837451856,0.8560768374518561
2014-03-01,3.25,4.54,4,0.12238155259209976,1.2720841868601,-0.3487565609892929,0.04090061220341899,2.9205961247323735,0.157138957123835,0.2347495407184798,0.7946568274243573,4.802731266173377,0.8027312661733772
2014-04-01,3.27,4.66,4,0.12238155259209983,1.2720841868601003,-0.3487565609892929,0.04090061220341898,2.899283195537904,0.1562329691568719,0.2347495407184797,0.7958407378107866,4.760591021687249,0.7605910216872491
2014-05-01,3.22,4.28,4,0.12238155259209986,1.2720841868601005,-0.3487565609892929,0.04090061220341894,2.8401456901905244,0.15431550056145227,0.2347495407184797,0.7983464123545431,4.648851157806941,0.6488511578069414
2014-06-01,3.13,4.36,4,0.12238155259209986,1.2720841868601003,-0.34875656098929286,0.04090061220341898,2.8130727974572447,0.15326075995655336,0.23474954071847964,0.7997247069927313,4.596601545026171,0.5966015450261706
2014-07-01,3.41,4.41,4,0.12238155259209973,1.2720841868601005,-0.34875656098929286,0.04090061220341901,2.7761597827747453,0.15194531007123135,0.23474954071847964,0.8014436865364445,4.526555477887991,0.5265554778879906
2014-08-01,3.7,4.06,4,0.12238155259209976,1.2720841868601003,-0.3487565609892929,0.040900612203419034,2.7120208026863115,0.14992868302038834,0.23474954071847964,0.8040789375531331,4.407483868302714,0.4074838683027142
2014-09-01,3.45,4.13,4,0.12238155259209987,1.2720841868601005,-0.3487565609892929,0.040900612203419,2.6879949763008937,0.1490375451520063,0.23474954071847964,0.8052434423993226,4.362120485738372,0.3621204857383722
2014-10-01,3.64,4.17,4,0.12238155259209987,1.2720841868601003,-0.34875656098929286,0.04090061220341901,2.676601208113657,0.14853097779565877,0.2347495407184797,0.8059054052249616,4.340062684034116,0.3400626840341161
2014-11-01,3.38,4.16,4,0.12238155259209978,1.2720841868601003,-0.34875656098929286,0.040900612203419014,2.662893611443655,0.1479587278301194,0.2347495407184797,0.8066531995694126,4.313833274880507,0.3138332748805066
2014-12-01,2.95,4.21,4,0.12238155259209985,1.2720841868601003,-0.34875656098929286,0.04090061220341906,2.6533017247423833,0.14750974471086414,0.23474954071847967,0.8072399135188257,4.295170549971744,0.2951705499717443
2015-01-01,2.32,3.89,4,0.12238155259209994,1.2720841868601,-0.34875656098929286,0.04090061220341906,2.627230553366356,0.14660245595883645,0.23474954071847967,0.8084255237213724,4.246729221230518,0.24672922123051766
