especificacion,theta1,theta2,anclaje,anclaje_porcentaje,se_anclaje,anclaje_li_95,anclaje_ls_95,estadistico_Wald_theta1_theta2_cero,grados_libertad,p_valor_Wald,p_valor_anclaje_igual_a_uno,observaciones,r_squared,adj_r_squared
Núcleo Strohsal,-0.03427621714843091,0.6818391402779351,0.35243707687049586,35.243707687049586,0.052555199537192294,0.24943077857728285,0.45544337516370886,175.25737442703925,2,8.776971471620625e-39,6.932544652193962e-35,187,0.7094746240398729,0.7063167395185672
Strohsal + tipo de cambio,-0.029022360266021546,0.6720890259406197,0.35693333432540186,35.693333432540186,0.05317722942284294,0.25270787985900606,0.46115878879179767,164.22886806470333,2,2.1784842034457702e-36,1.1515578591348662e-33,187,0.7149443813469049,0.7102713384181656
