fecha,exp_inf_24m,exp_inf_12m,infl_gt,meta_inflacion,d_exp24,gap_meta_largo,x_inflacion,x_expectativa_corta,control_tc,theta1_inflacion,theta1_se,theta1_li_95,theta1_ls_95,theta2_expectativa_corta,theta2_se,theta2_li_95,theta2_ls_95,parametro_anclaje,anclaje_porcentaje,anclaje_se,anclaje_li_95,anclaje_ls_95,z_anclaje_igual_uno,p_anclaje_igual_uno,anclaje_significativamente_menor_uno,anclaje_significativamente_mayor_cero,theta1_significativamente_positivo,theta2_significativamente_positivo,fuera_rango_0_1,residuo_estado_u
2011-01-01,5.85,5.99,4.9,5,-0.35000000000000053,-1.2000000000000002,0.3899999999999997,0.71,-4.26297520982297,0.20434186976546667,0.057869736191789194,0.09091927103472577,0.31776446849620754,-0.026978775260317223,0.060563057724924395,-0.1456801871947893,0.09172263667415487,0.8226369054948506,82.26369054948506,0.08130299455647806,0.6632859643288975,0.9819878466608036,-2.1815075259244248,0.029145898419517716,TRUE,TRUE,TRUE,FALSE,FALSE,0.7894616012262929
2011-02-01,5.81,5.5,5.24,5,-0.040000000000000036,-0.8499999999999996,-0.09999999999999964,0.9900000000000002,-4.90872571931833,0.20444062957383646,0.05727745685111136,0.09217887701961125,0.3167023821280617,-0.02697877507662326,0.06056305709836683,-0.14568018578306507,0.09172263562981857,0.8225381455027868,82.25381455027868,0.08086944209610095,0.6640369515445816,0.981039339460992,-2.194424122356711,0.02820493331185821,TRUE,TRUE,TRUE,FALSE,FALSE,0.857153050283241
2011-03-01,6.13,6.24,4.99,5,0.3200000000000003,-0.8099999999999996,0.2400000000000002,0.5,-4.32663330503598,0.20450969566702493,0.05668807484550454,0.09340311061692506,0.3156162807171248,-0.026978774592583982,0.06056305656751665,-0.14568018425857857,0.09172263507341061,0.8224690789255591,82.24690789255591,0.08043283139577272,0.664823626215262,0.9801145316358562,-2.2071947237676297,0.027300458234400343,TRUE,TRUE,TRUE,FALSE,FALSE,1.0944070603362062
2011-04-01,6.19,6.07,5.76114812916453,5,0.0600000000000005,-1.13,-0.009999999999999787,1.2400000000000002,-4.05226177638212,0.20452417422750443,0.056109134628352667,0.09455229115222405,0.31449605730278485,-0.026978774224728316,0.0605630559613725,-0.14568018270270222,0.09172263425324557,0.8224545999972238,82.24545999972239,0.07997965752469843,0.665697351752967,0.9792118482414807,-2.2198819737124853,0.026426780468753262,TRUE,TRUE,TRUE,FALSE,FALSE,1.2254989217809502
2011-05-01,5.74,5.96,6.3930220625962,5,-0.4500000000000002,-1.1900000000000004,0.7611481291645301,1.0700000000000003,-4.8128558128766,0.20455290458592956,0.05552444736277644,0.09572698749339778,0.3133788216784613,-0.026978775662471345,0.06056305549975249,-0.14568018323568663,0.09172263191074395,0.8224258710765417,82.24258710765417,0.07952324680733504,0.6665631714004753,0.9782885707526082,-2.2329838890214835,0.025550006825329392,TRUE,TRUE,TRUE,FALSE,FALSE,0.6131722293180941
2011-06-01,6.16,6.38,6.42229936695938,5,0.41999999999999993,-0.7400000000000002,1.3930220625962004,0.96,-4.51046614602539,0.2058526084852222,0.05494617411651625,0.09816008612858344,0.3135451308418609,-0.026978775274726412,0.06056305503275637,-0.14568018193264615,0.09172263138319331,0.8211261667895042,82.11261667895042,0.0790698159205968,0.6661521753209227,0.9761001582580857,-2.2622265036018776,0.023683412618199246,TRUE,TRUE,TRUE,FALSE,FALSE,0.8991423990008458
2011-07-01,5.88,5.96,7.03967446592064,5,-0.28000000000000025,-1.1600000000000001,1.42229936695938,1.38,-2.70381857401678,0.2056599225161844,0.05445679289956946,0.09892656971947174,0.31239327531289707,-0.026978775937772773,0.06056305450491832,-0.14568018156114892,0.09172262968560338,0.8213188534215884,82.13188534215884,0.07861297989361757,0.6672402441127265,0.9753974627304502,-2.2729216831649244,0.02303089987799307,TRUE,TRUE,TRUE,FALSE,FALSE,0.6247207331904423
2011-08-01,5.95,6.33,7.6258261311642,5,0.07000000000000028,-0.8799999999999999,2.0396744659206396,0.96,-3.07518822970279,0.20599638193402517,0.053870305555521907,0.10041252320903427,0.31158024065901607,-0.02697877607627235,0.06056305412044747,-0.1456801809460995,0.09172262879355479,0.8209823941422472,82.09823941422472,0.07820160123187811,0.6677100721944029,0.9742547160900914,-2.2891808228701342,0.022068848354492496,TRUE,TRUE,TRUE,FALSE,FALSE,0.5557340647303547
2011-09-01,6.43,6.69,7.24931562404949,5,0.47999999999999954,-0.9500000000000002,2.6258261311642004,1.33,-2.35821114731185,0.20796580629454905,0.05330540254124411,0.10348913713230076,0.3124424754567974,-0.026978775429521096,0.060563053650454134,-0.14568017937817823,0.09172262851913603,0.819012969134972,81.9012969134972,0.07766869938195992,0.6667851156202622,0.9712408226496818,-2.3302441305855806,0.019793251760779684,TRUE,TRUE,TRUE,FALSE,FALSE,0.919799722764403
2011-10-01,6.51,6.69,6.65,5,0.08000000000000007,-1.4299999999999997,2.2493156240494896,1.6900000000000004,-2.72179944174362,0.2089013068171941,0.05299517083392355,0.10503268062815646,0.31276993300623174,-0.02697877531782103,0.060563053175762334,-0.1456801783360993,0.09172262770045726,0.8180774685006269,81.80774685006268,0.07730349032960278,0.6665654115753652,0.9695895254258886,-2.35335468972618,0.01860487796984826,TRUE,TRUE,TRUE,FALSE,FALSE,1.0857091569788466
2011-11-01,6.06,6.85,6.05484387510006,5,-0.4500000000000002,-1.5099999999999998,1.6500000000000004,1.6900000000000004,-2.74179687377827,0.20771446026311774,0.05272677215472606,0.1043718858188053,0.3110570347074302,-0.026978776835318775,0.06056305277295065,-0.14568017906410066,0.09172262539346313,0.819264316572201,81.9264316572201,0.07704009701578869,0.6682685010557835,0.9702601320886185,-2.3459950133598455,0.01897636135346602,TRUE,TRUE,TRUE,FALSE,FALSE,0.7628652734175438
2011-12-01,5.62,5.94,6.2,5,-0.4399999999999995,-1.0599999999999996,1.05484387510006,1.8499999999999996,-2.4861809933248,0.20653613750464708,0.05245543338960583,0.10372537726757987,0.3093468977417143,-0.026978778343896687,0.06056305234417516,-0.14568017973229408,0.0917226230445007,0.8204426408392497,82.04426408392497,0.07675515509034779,0.6700053012343818,0.9708799804441175,-2.33935243762318,0.01931720091960488,TRUE,TRUE,TRUE,FALSE,FALSE,0.4520473603026081
2012-01-01,5.95,5.97,5.44,4.5,0.33000000000000007,-1.12,1.7000000000000002,1.4400000000000004,-2.17073982575267,0.20731636823830396,0.05204370744494371,0.10531257602427524,0.3093201604523327,-0.02697877634301619,0.06056305206316996,-0.1456801771806535,0.09172262449462111,0.8196624081047122,81.96624081047122,0.07643974803021569,0.669843254978173,0.9694815612312515,-2.3592122755821032,0.018313776454147022,TRUE,TRUE,TRUE,FALSE,FALSE,1.1364116119288263
2012-02-01,6.11,6,5.17,4.5,0.16000000000000014,-1.4500000000000002,0.9400000000000004,1.4699999999999998,-1.94753781774732,0.20688169261761186,0.05186728337464299,0.1052236852273785,0.3085397000078452,-0.026978775393558745,0.060563051695950776,-0.14568017551145968,0.0917226247243422,0.820097082775947,82.0097082775947,0.07620592137493659,0.6707362214723802,0.9694579440795137,-2.36074722250155,0.018238157424436754,TRUE,TRUE,TRUE,FALSE,FALSE,1.4551900087679763
2012-03-01,5.47,5.59,4.55,4.5,-0.6400000000000006,-1.6100000000000003,0.6699999999999999,1.5,-0.419388935161091,0.20482309014855485,0.05163872128442962,0.1036130562233709,0.3060331240737388,-0.02697877703874102,0.0605630513389114,-0.14568017645685763,0.09172262237937559,0.8221556868901863,82.21556868901862,0.0759414011259563,0.6733132757478024,0.9709980980325701,-2.341862415928321,0.019187786779752854,TRUE,TRUE,TRUE,FALSE,FALSE,0.8732366951585795
2012-04-01,5.54,5.84,4.27,4.5,0.07000000000000028,-0.9699999999999998,0.04999999999999982,1.0899999999999999,0.275108359449083,0.2037137736072501,0.05142146336693034,0.1029295573757209,0.3044979898387793,-0.02697877651254944,0.060563051057867565,-0.14568017537983025,0.09172262235473137,0.8232650029052994,82.32650029052994,0.07571090782210613,0.6748743503371395,0.9716556554734592,-2.3343399541578,0.01957792821571473,TRUE,TRUE,TRUE,FALSE,FALSE,1.0592211777183165
2012-05-01,5.28,5.26,3.9,4.5,-0.2599999999999998,-1.04,-0.23000000000000043,1.3399999999999999,1.46902610809287,0.20256727597389818,0.051194001878094426,0.10222887606835723,0.3029056758794391,-0.02697877681449023,0.06056305069916712,-0.1456801749787311,0.09172262134975064,0.8244115008405921,82.44115008405922,0.0754706165780075,0.676491810456666,0.9723311912245183,-2.3265809545615297,0.01998757917750107,TRUE,TRUE,TRUE,FALSE,FALSE,0.8627420344054137
