especificacion,parametro,estimacion,error_estandar_hac,estadistico_t,p_valor,bandwidth_newey_west,lag_newey_west
Núcleo Strohsal,(Intercept),0.07012267048437165,0.03785565327800791,1.8523698420787558,0.06557460158180681,9.993484242603131,9
Núcleo Strohsal,x_inflacion,-0.03427621714843091,0.03540046298649437,-0.9682420583456105,0.3341944616152569,9.993484242603131,9
Núcleo Strohsal,x_expectativa_corta,0.6818391402779351,0.05395823969068396,12.636422985378756,9.330081264980214e-27,9.993484242603131,9
Strohsal + tipo de cambio,(Intercept),0.06712190151064584,0.04058662770277134,1.653793510567093,0.09988379322068908,10.083717872666695,10
Strohsal + tipo de cambio,x_inflacion,-0.029022360266021546,0.033895527889011616,-0.85622977641927,0.3929904542953645,10.083717872666695,10
Strohsal + tipo de cambio,x_expectativa_corta,0.6720890259406197,0.05489550725866159,12.243060671136714,1.458868198074262e-25,10.083717872666695,10
Strohsal + tipo de cambio,control_tc,-0.017556181938131483,0.01709970116842717,-1.0266952483676823,0.30591915460962754,10.083717872666695,10
