codigo_modelo,ecuacion,diagnostico,rezago,estadistico,p_valor,conclusion_5pct
M4,inflacion,Ljung-Box,2,4.708879396556466,0.0949466904278411,No se rechaza la hipótesis nula
M4,inflacion,Ljung-Box,5,9.207595436607297,0.10106490419753267,No se rechaza la hipótesis nula
M4,inflacion,Ljung-Box,12,81.08323360364994,2.5637270084644115e-12,Se rechaza la hipótesis nula
M4,inflacion,Ljung-Box,18,85.6139264582401,8.768752390864165e-11,Se rechaza la hipótesis nula
M4,inflacion,Ljung-Box,24,103.39138651733562,7.8864692554248e-12,Se rechaza la hipótesis nula
M4,inflacion,Jarque-Bera,NA,5.1407801411062195,0.07650569698325278,No se rechaza la hipótesis nula
M4,expectativa,Ljung-Box,1,2.555933081484029,0.10988092371613811,No se rechaza la hipótesis nula
M4,expectativa,Ljung-Box,2,3.2466085859272726,0.19724586297958346,No se rechaza la hipótesis nula
M4,expectativa,Ljung-Box,5,3.6665209931494904,0.5983539337678324,No se rechaza la hipótesis nula
M4,expectativa,Ljung-Box,12,15.811330923781194,0.2000310818460289,No se rechaza la hipótesis nula
M4,expectativa,Ljung-Box,18,18.028205347497142,0.45379595862095545,No se rechaza la hipótesis nula
M4,expectativa,Ljung-Box,24,21.79565514617727,0.5914619711029103,No se rechaza la hipótesis nula
M4,expectativa,Jarque-Bera,NA,1251.3970361002116,1.8305697263478395e-272,Se rechaza la hipótesis nula
M4,sistema,Correlación contemporánea Fisher,NA,1.8977268790741253,0.057732069845887836,No se rechaza la hipótesis nula
