codigo_modelo,modelo,descripcion,H_inflacion,H_expectativa,convergencia,log_verosimilitud,Q_a0,Q_a,Q_b,Q_c0,Q_c,Q_d
M0,M0: VAR(1) constante SSM,Todos los coeficientes constantes,0.3354283499399491,0.05805148649824799,0,-184.44648780437643,0,0,0,0,0,0
M1,M1: TVP solo inflación,"a0_t, a_t y b_t variantes; expectativas constantes",1.000000000000001e-12,0.058051507080929335,0,-170.89296825614062,0.2827238114798651,9.592134955833654e-4,1.913296896998191e-9,0,0,0
M2,M2: TVP completa en expectativas,"c0_t, c_t y d_t variantes; inflación constante",0.33544012817494023,0.028711371623921057,0,-146.3327454720716,0,0,0,0.0029240852512274003,2.511178977730641e-5,1.7664324565577178e-11
M3,M3: Demertzis restringido candidato,c0_t y c_t variantes; d e inflación constantes,0.3354283647256358,0.028711609370182134,0,-146.332745073468,0,0,0,0.0029241189095521023,2.511525989002668e-5,0
M4,M4: TVP-VAR irrestricto,Los seis coeficientes variantes,4.822224837073583e-7,0.028712990376018096,0,-132.77923043296315,0.2826633766429825,9.614394612489259e-4,1.0000114266476173e-12,0.0029241403193184267,2.5124725225972407e-5,3.565834163362895e-12
