modelo,observaciones,parametros_contados,log_verosimilitud,AIC,AICc,BIC,delta_AIC,peso_Akaike,delta_BIC,peso_BIC_aproximado
Coeficiente beta constante,174,4,53.15716866347018,-98.31433732694036,-98.07765093640782,-85.67811613008224,0,0.7310581077930787,0,0.9295321786402225
Coeficiente beta_t variante,174,5,53.157171058221394,-96.31434211644279,-95.95719925929993,-80.51906562037014,1.9999952104975733,0.26894189220692133,5.159050509712102,0.07046782135977749
