modelo,parametro,estimacion,error_estandar,limite_inferior_95,limite_superior_95,estadistico_z,p_valor
Coeficiente beta constante,alpha,-0.008173632444923985,0.013628478990072242,-0.03488496042952638,0.018537695539678413,-0.5997464904835031,0.548675199564139
Coeficiente beta constante,rho,-0.28362556492099444,0.07453311594816342,-0.4297077878349426,-0.13754334200704627,-3.805363043163947,1.4159634781401768e-4
Coeficiente beta constante,beta,0.015574523790969018,0.0066437385287979175,0.0025530355518239775,0.028596012030114058,2.344240930533277,0.01906585086835852
Coeficiente beta_t variante,alpha,-0.00815828961045383,0.013632032112912406,-0.034876581587855594,0.018560002366947936,-0.598464670775402,0.5495299254783594
Coeficiente beta_t variante,rho,-0.28366329460298606,0.07453428751710696,-0.42974781374986903,-0.13757877545610311,-3.805809434186652,1.413411813764169e-4
