fecha,exp_inf_24m,infl_gt,d_exp24,d_exp24_lag1,inflacion_realizada_t_1,expectativa_24m_correspondiente_t_25,error_pronostico_24m_alineado,beta_t,ajustado_tvp,residuo_tvp,residuo_estandarizado
2012-09-01,5.17,3.28,0.6200000000000001,-0.35000000000000053,2.71,5.57,-2.8600000000000003,0.01560936765360496,0.04648107201128132,0.5735189279887187,4.258892830978871
2012-05-01,5.28,3.9,-0.2599999999999998,0.07000000000000028,4.27,5.81,-1.54,0.015610364385384656,-0.05205468138615466,-0.20794531861384513,3.4781738092766155
2013-12-01,5.19,4.39,0.4900000000000002,-0.009999999999999787,4.63,6.06,-1.4299999999999997,0.015608765122935873,-0.027642190790222274,0.5176421907902224,3.2389457662995653
2025-12-01,3.72,1.65,0.4200000000000004,-0.07000000000000028,1.73,4.43,-2.6999999999999997,0.015552928445547195,-0.0302947657912222,0.4502947657912226,2.654494135895919
2013-06-01,5.21,4.79,0.3799999999999999,-0.09999999999999964,4.27,5.74,-1.4700000000000006,0.015608487082964029,-0.002736436162112412,0.3827364361621123,2.5092378537378006
2026-07-01,3.28,NA,-0.43000000000000016,-0.03000000000000025,2.27,4.02,-1.7499999999999996,0.01555370667170419,-0.02686737744784655,-0.4031326225521536,-2.3728882284868127
2016-02-01,4.09,4.27,0.29000000000000004,0.1499999999999999,4.38,4.94,-0.5600000000000005,0.015602300104446964,-0.05944507185939209,0.3494450718593921,2.3174013175721044
2013-04-01,4.93,4.13,0.2699999999999996,0.04999999999999982,4.34,6.13,-1.79,0.015608500018543851,-0.050280669373796535,0.3202806693737961,2.2699135591944932
2015-12-01,3.65,3.07,0.2799999999999998,0.0900000000000003,2.51,4.7,-2.1900000000000004,0.015602767272678814,-0.06785804645188931,0.3478580464518891,2.2224739673099623
2016-01-01,3.8,4.38,0.1499999999999999,0.2799999999999998,3.07,5.19,-2.1200000000000006,0.015602461864848864,-0.12066123125276956,0.2706612312527695,1.7454918078624073
