fecha,observado,predicho_constante,error_constante,varianza_prediccion_constante,predicho_tvp,error_tvp,varianza_prediccion_tvp
2011-01-01,-0.35000000000000053,-0.03313645019954803,-0.3168635498004525,0.029972181104313055,-0.03313645019954803,-0.3168635498004525,0.026560415489242425
2011-02-01,-0.040000000000000036,-0.2559398683650516,0.21593986836505158,0.058443760964408786,-0.2559398683650516,0.21593986836505158,0.05181925024754144
2011-03-01,0.3200000000000003,-0.2505102247374046,0.5705102247374049,0.045154033719007364,-0.2505102247374046,0.5705102247374049,0.040034608289426205
2011-04-01,0.0600000000000005,0.19408724905374536,-0.13408724905374486,0.13809699398921266,0.19408724905374536,-0.13408724905374486,0.12241097386224883
2011-05-01,-0.4500000000000002,1.9863008714706654,-2.4363008714706655,0.5649319475846739,1.986382514931798,-2.436382514931798,0.5011887332064132
2011-06-01,0.41999999999999993,-0.46520472997245976,0.8852047299724597,0.12148409280500673,-0.46518777939686085,0.8851877793968608,0.10768017874300669
2011-07-01,-0.28000000000000025,-0.19191738838281142,-0.08808261161718883,0.08363187419451186,-0.19246091022661016,-0.08753908977339009,0.07419312143676882
2011-08-01,0.07000000000000028,0.13501057318200474,-0.06501057318200446,0.08820365296975197,0.13444053274828097,-0.06444053274828068,0.07847536597696395
2011-09-01,0.47999999999999954,-0.08474110959590198,0.5647411095959015,0.03884429828068109,-0.08485563518147055,0.5648556351814701,0.03447241701963528
2011-10-01,0.08000000000000007,-0.1957845040044116,0.2757845040044117,0.04475519756987591,-0.195860458863583,0.27586045886358307,0.03967470741445601
2011-11-01,-0.4500000000000002,-0.042764541831225966,-0.4072354581687742,0.036097416362151566,-0.04274550151341028,-0.4072544984865899,0.03211183628766723
2011-12-01,-0.4399999999999995,0.03313870192765633,-0.47313870192765584,0.04354026216893425,0.03174603967257161,-0.4717460396725711,0.03874445354115543
2012-01-01,0.33000000000000007,-0.09082812372946314,0.4208281237294632,0.03834803879199944,-0.09260788907242867,0.42260788907242874,0.034045496757019365
2012-02-01,0.16000000000000014,-0.2096250727328809,0.36962507273288103,0.03858558095129108,-0.21164738678667994,0.3716473867866801,0.03438425763886058
2012-03-01,-0.6400000000000006,-0.17349873786783632,-0.46650126213216425,0.04005452269728434,-0.17334702814545988,-0.4666529718545407,0.03601095669669751
2012-04-01,0.07000000000000028,-0.13116561739044377,0.20116561739044406,0.04517653722048878,-0.1358530119705891,0.2058530119705894,0.04041307741300679
2012-05-01,-0.2599999999999998,-0.32172250680392883,0.061722506803929045,0.040482149875502804,-0.3253590744280257,0.06535907442802591,0.036628072082955876
2012-06-01,-0.16999999999999993,-0.20896342885287347,0.038963428852873544,0.03701634146956468,-0.21037916475076313,0.0403791647507632,0.03328588351569825
2012-07-01,-0.20999999999999996,-0.2556772957960183,0.045677295796018313,0.03672171628958418,-0.2565469179346551,0.04654691793465515,0.03317708140565356
2012-08-01,-0.35000000000000053,-0.23391547360521306,-0.11608452639478747,0.035420747414350084,-0.23387941634522913,-0.1161205836547714,0.03198600076367041
2012-09-01,0.6200000000000001,0.4839817976687625,0.13601820233123763,0.03301844865830769,0.4833006397767041,0.13669936022329598,0.029439352588259197
2012-10-01,-0.41000000000000014,-0.3785396679689673,-0.03146033203103282,0.04144451671910077,-0.3803043373630264,-0.029695662636973763,0.03731012630160789
2012-11-01,0.0600000000000005,-0.1472081655106755,0.207208165510676,0.03438487200702268,-0.14882350184449047,0.20882350184449097,0.031085584606420028
2012-12-01,0.10999999999999943,-0.16873315117761833,0.27873315117761777,0.031686427976269575,-0.16731335769492706,0.2773133576949265,0.028303388540904462
2013-01-01,-0.09999999999999964,-0.13465932379204112,0.03465932379204148,0.031589723081356574,-0.1320685544422741,0.032068554442274466,0.028132467153936337
2013-02-01,-0.21999999999999975,-0.022563589795465605,-0.19743641020453415,0.03144152969643832,-0.021335586606584384,-0.19866441339341537,0.027895572388848287
2013-03-01,0.04999999999999982,0.03350860974845904,0.016491390251540783,0.03212643169347192,0.03368845664005208,0.016311543359947743,0.028491236875509748
2013-04-01,0.2699999999999996,-0.08200612758199932,0.3520061275819989,0.03128032737291453,-0.08082996487011934,0.3508299648701189,0.02778543567052975
2013-05-01,-0.09999999999999964,-0.13444073683215388,0.034440736832154234,0.03222924023202861,-0.13211782900548763,0.032117829005487986,0.028672845722142078
2013-06-01,0.3799999999999999,0.0397318172021674,0.3402681827978325,0.031828256341607776,0.0390071649151702,0.3409928350848297,0.02824343808645143
2013-07-01,-0.40000000000000036,-0.08529248955762747,-0.3147075104423729,0.033163454260597164,-0.08527958294272159,-0.31472041705727877,0.029401886361766258
2013-08-01,0.08000000000000007,0.05972157040764101,0.020278429592359058,0.032541446335802145,0.0618147138257588,0.01818528617424127,0.028959279908651596
2013-09-01,0.020000000000000462,-0.10024782536427589,0.12024782536427635,0.031074684111095593,-0.09794650301086426,0.11794650301086472,0.027749646044555286
