modelo,observaciones_validas,RMSE_un_paso,MAE_un_paso,MedAE_un_paso,correlacion_observado_predicho,perdida_logaritmica_media
Constante + pulso sep-2012,186,0.26123443943647695,0.15205493643123255,0.10891945920030882,0.12225954557516369,-0.26304540669943255
TVP + pulso sep-2012,186,0.25565022300032936,0.14524582282616058,0.09381110741463015,0.0972412800660445,-0.30101744542172676
