modelo,log_verosimilitud,parametros_contados,AIC,AICc,BIC,H,Q_beta,RMSE_un_paso,MAE_un_paso,perdida_logaritmica_media,delta_AIC,peso_Akaike,delta_BIC,peso_BIC_aproximado
Constante + pulso sep-2012,54.45740904423157,5,-98.91481808846314,-98.58148475512981,-82.78608471989713,0.029972181104313055,0,0.26123443943647695,0.15205493643123255,-0.26304540669943255,13.177862090475017,0.0013736201079405472,9.952115416761814,0.006853915257230236
TVP + pulso sep-2012,62.046340089469076,6,-112.09268017893815,-111.6234064359214,-92.73820013665895,0.026560415489242425,5.014303911716721e-5,0.25565022300032936,0.14524582282616058,-0.30101744542172676,0,0.9986263798920594,0,0.9931460847427697
