fecha,exp_inf_24m,infl_gt,d_exp24,d_exp24_lag1,error_pronostico_24m_t,inflacion_realizada_t_1,expectativa_24m_correspondiente_t_25,error_pronostico_24m_alineado,alpha,se_alpha,alpha_li_95,alpha_ls_95,rho,se_rho,rho_li_95,rho_ls_95,beta_t,se_beta_t,beta_li_95,beta_ls_95,sensibilidad_absoluta_t,beta_significativamente_positivo,beta_significativamente_negativo,beta_no_distinto_cero,sensibilidad_baja_descriptiva,ajustado_constante,ajustado_tvp,residuo_tvp,residuo_estandarizado
2012-02-01,6.11,5.17,0.16000000000000014,0.33000000000000007,0.9199999999999999,5.44,3.77,1.6700000000000004,-0.008158289610452589,0.01363203211364602,-0.03487658158929221,0.018560002368387035,-0.28366329460298806,0.07453428752875861,-0.4297478137727078,-0.1375787754332683,0.015610416077930369,0.006688613229931617,0.0025009750407462804,0.028719857115114458,0.015610416077930369,TRUE,FALSE,FALSE,TRUE,-0.07576061413793392,-0.07569778197929494,0.23569778197929508,NA
2012-03-01,5.47,4.55,-0.6400000000000006,0.16000000000000014,-1.71,5.17,4.25,0.9199999999999999,-0.008158289610452585,0.013632032113646027,-0.03487658158929222,0.01856000236838705,-0.2836632946029881,0.0745342875287586,-0.4297478137727079,-0.13757877543326838,0.015610317538985563,0.006688073514962603,0.0025019343237026575,0.028718700754268467,0.015610317538985563,TRUE,FALSE,FALSE,TRUE,-0.03922516094459164,-0.039182924611064006,-0.6008170753889366,NA
2012-04-01,5.54,4.27,0.07000000000000028,-0.6400000000000006,-1.54,4.55,6.26,-1.71,-0.008158289610453145,0.013632032113667425,-0.034876581589334724,0.01856000236842843,-0.2836632946029881,0.07453428752875799,-0.42974781377270665,-0.13757877543326957,0.015610357377717914,0.006687535643605238,0.0025030283709237596,0.028717686384512067,0.015610357377717914,TRUE,FALSE,FALSE,TRUE,0.1467142934219556,0.14669250781956178,-0.0766925078195615,NA
2012-05-01,5.28,3.9,-0.2599999999999998,0.07000000000000028,-1.8000000000000003,4.27,5.81,-1.54,-0.008158289610453149,0.013632032113588237,-0.034876581589179514,0.01856000236827322,-0.2836632946029866,0.07453428751648823,-0.4297478137486569,-0.13757877545731637,0.015610364385384656,0.0066869970481954494,0.0025040910061959257,0.028716637764573387,0.015610364385384656,TRUE,FALSE,FALSE,TRUE,-0.05201218862748597,-0.05205468138615466,-0.20794531861384513,3.4781738092766155
2012-06-01,5.11,3.47,-0.16999999999999993,-0.2599999999999998,-1.98,3.9,5.7,-1.8000000000000003,-0.008158289610453773,0.013632032112894894,-0.03487658158782121,0.01856000236691367,-0.2836632946029861,0.07453428751690393,-0.42974781374947113,-0.13757877545650113,0.0156102912241694,0.006686461109439995,0.0025050682656392806,0.02871551418269952,0.0156102912241694,TRUE,FALSE,FALSE,TRUE,0.03753487161079028,0.03749564278281764,-0.20749564278281757,-0.005202234617154937
2012-07-01,4.9,2.86,-0.20999999999999996,-0.16999999999999993,-2.2500000000000004,3.47,5.45,-1.98,-0.008158289610453773,0.013632032112894803,-0.03487658158782104,0.01856000236691349,-0.28366329460298617,0.07453428751690457,-0.42974781374947246,-0.1375787754564999,0.015610124561704034,0.0066859270392154455,0.002505948361579245,0.02871430076182882,0.015610124561704034,TRUE,FALSE,FALSE,TRUE,0.009205156485526392,0.009156423839879874,-0.21915642383987985,0.04094087802367236
2012-08-01,4.55,2.71,-0.35000000000000053,-0.20999999999999996,-2.8600000000000003,2.86,5.11,-2.2500000000000004,-0.008158289610453808,0.013632032112894849,-0.03487658158782116,0.018560002366913544,-0.2836632946029863,0.07453428751690447,-0.42974781374947235,-0.1375787754565002,0.015609849267848835,0.0066853962277954575,0.002506713438989807,0.028712985096707864,0.015609849267848835,TRUE,FALSE,FALSE,TRUE,0.016345057658804542,0.016288841403513415,-0.3662888414035139,-0.6651654373719582
2012-09-01,5.17,3.28,0.6200000000000001,-0.35000000000000053,-2.4,2.71,5.57,-2.8600000000000003,-0.008158289610453777,0.013632032112894795,-0.034876581587821025,0.01856000236691347,-0.2836632946029861,0.0745342875169045,-0.42974781374947224,-0.1375787754565,0.01560936765360496,0.006684869832193704,0.002507263541166989,0.028711471766042933,0.01560936765360496,TRUE,FALSE,FALSE,TRUE,0.046552177235252824,0.04648107201128132,0.5735189279887187,4.258892830978871
2012-10-01,4.76,3.35,-0.41000000000000014,0.6200000000000001,-2.5399999999999996,3.28,5.68,-2.4,-0.008158289610453782,0.013632032112894816,-0.03487658158782107,0.018560002366913506,-0.28366329460298617,0.0745342875169048,-0.4297478137494729,-0.13757877545649946,0.01560929666846695,0.006684350605008304,0.0025082102226121564,0.028710383114321746,0.01560929666846695,TRUE,FALSE,FALSE,TRUE,-0.2214003397942662,-0.22149184426862592,-0.18850815573137422,-0.17006490926407716
2012-11-01,4.82,3.11,0.0600000000000005,-0.41000000000000014,-3.11,3.35,5.89,-2.5399999999999996,-0.008158289610453786,0.013632032112894717,-0.03487658158782088,0.01856000236691331,-0.28366329460298617,0.07453428751690505,-0.42974781374947335,-0.13757877545649896,0.01560911242312818,0.006683843531777853,0.0025090198225425943,0.028709205023713765,0.01560911242312818,TRUE,FALSE,FALSE,TRUE,0.06855355874362248,0.06849651562202502,-0.008496515622024525,0.19638309027214063
