codigo_modelo,descripcion,observaciones,parametros_contados,log_verosimilitud,AIC,AICc,BIC,p_LB_inflacion_1,p_LB_inflacion_12,p_LB_inflacion_24,p_LB_expectativas_12,Q_c0,Q_c,lambda_promedio,lambda_inicial,lambda_final,correlacion_lambda_con_S0,max_diferencia_lambda_con_S0,delta_AIC,delta_BIC,residuos_inflacion_blancos_12,lambda_robusta_S0
S0,M3 base AR(1),185,10,-121.21678844400223,262.4335768880045,263.69794470409647,294.6371351387877,2.381734472978181e-6,1.1102230246251565e-16,0,0.06412003317942783,0,0,0.7081123575922375,0.7081123575943142,0.708112357592209,1,0,3.4024678685613026,0,FALSE,TRUE
S1,M3 AR(1) + inflación rezagada 12 meses,185,11,-121.62131863412677,265.24263726825353,266.76864882894716,300.6665513441151,1.207643333112074e-7,0,0,0.046136058584710704,0,0,0.7081123575922925,0.7081123575946495,0.7081123575922497,0.9627707848403088,1.24056320771615e-12,6.211528248810339,6.029416205327379,FALSE,FALSE
S2,M3 con cuatro rezagos de inflación y expectativas,185,16,-113.51555450972158,259.0311090194432,262.26920425753843,310.55680222069634,0.2302137193212661,1.1538853716963615e-7,1.0992852961244637e-8,0.015891047864338037,0,0,0.7081123575921761,0.7081123575895775,0.7081123575922259,-0.9266112177608805,4.73676653456323e-12,0,15.919667081908642,FALSE,FALSE
S3,"M3 AR(1) + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",185,13,-125.26213839092667,276.52427678185336,278.6529317526136,318.38890250787153,3.869255097210811e-6,1.340927369142264e-12,1.127276050283399e-11,0.09259563918102787,0,0,0.7081123575921783,0.7081123575934588,0.708112357592152,0.9479514289058445,8.554268404736831e-13,17.493167762410167,23.751767369083836,FALSE,FALSE
S5,"M3 rezago 12 + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",185,14,-123.64173295067538,275.2834659013507,277.75405413664487,320.3684474524473,8.204651735788104e-9,5.551115123125783e-16,0,0.08925306468037453,0,0,0.7081123575923048,0.7081123575921527,0.7081123575922964,-0.14879463318452504,2.1938006966593093e-12,16.25235688190753,25.7313123136596,FALSE,FALSE
S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",185,19,-116.56147972629556,271.1229594525911,275.7290200586517,332.30972012907927,0.19644407732339197,9.973980940047866e-7,1.6204007491360528e-7,0.02046219004790506,0,0,0.7081123575922517,0.7081123575925689,0.7081123575922441,0.5922386936780516,1.7453816170132086e-12,12.091850433147897,37.67258499029157,FALSE,FALSE
