fecha,exp_inf_12m,exp_inf_24m,infl_gt,d_exp24,exp12_lag1,shock_inf,alpha_t,se_alpha_t,alpha_li_95,alpha_ls_95,beta_t,se_beta_t,beta_li_95,beta_ls_95,indice_anclaje,ajustado_tvp,residuo_tvp,residuo_estandarizado
2011-01-01,5.99,5.85,4.9,-0.35000000000000053,5.71,-0.8099999999999996,0.01402978410946099,0.015148710708399302,-0.015661143291217886,0.04372071151013986,0.09860653072587286,0.031661024364306456,0.03655206325818706,0.16066099819355867,-0.09860653072587286,-0.065841505778496,-0.2841584942215045,NA
2011-02-01,5.5,5.81,5.24,-0.040000000000000036,5.99,-0.75,0.014029784986428059,0.015148707434198558,-0.015661135996935277,0.0437207059697914,0.09841586207796649,0.031248818296957363,0.037169303656493805,0.15966242049943918,-0.09841586207796649,-0.059782111572046805,0.01978211157204677,NA
2011-03-01,6.24,6.13,4.99,0.3200000000000003,5.5,-0.5099999999999998,0.014029785802530025,0.01514870399875844,-0.01566112844749441,0.04372070005255446,0.09823748387324827,0.030842721511251427,0.037786860525996696,0.15868810722049984,-0.09823748387324827,-0.03607133097282657,0.35607133097282684,-0.7542638344829559
2011-04-01,6.07,6.19,5.761148129164525,0.0600000000000005,6.24,-0.4788518708354754,0.014029785519562426,0.01514870088064494,-0.01566112261907185,0.0437206936581967,0.09820953786913234,0.030435292172311806,0.038557461352447385,0.15786161438581728,-0.09820953786913234,-0.032998035422959066,0.09299803542295956,-1.2830818041731433
2011-05-01,5.96,5.74,6.393022062596202,-0.4500000000000002,6.07,0.3230220625962019,0.014029784949564729,0.01514869770316308,-0.01566111696131954,0.043720686860449,0.09821848185928816,0.030025456218121572,0.03936966905238568,0.15706729466619065,-0.09821848185928816,0.045756521544819635,-0.4957565215448198,-2.803882533455693
2011-06-01,6.38,6.16,6.422299366959379,0.41999999999999993,5.96,0.4622993669593791,0.014029785909565665,0.015148694580459717,-0.01566110988093248,0.04372068170006381,0.09836008409431546,0.029612439975313317,0.040320768248347204,0.1563993999402837,-0.09836008409431546,0.05950159052043899,0.3604984094795609,2.862047605742041
2011-07-01,5.96,5.88,7.039674465920641,-0.28000000000000025,6.38,0.6596744659206415,0.014029785757000257,0.015148691516005336,-0.01566110402727767,0.04372067554127818,0.09836362874281897,0.029199121858154084,0.04113440152064071,0.15559285596499722,-0.09836362874281897,0.07891776001393562,-0.3589177600139359,-1.5599801852053592
2011-08-01,6.33,5.95,7.625826131164203,0.07000000000000028,5.96,1.665826131164203,0.014029786712123227,0.015148688514709541,-0.01566109718972303,0.04372067061396949,0.09856330981313337,0.028791235317594963,0.04213352552022963,0.15499309410603712,-0.09856330981313337,0.17821912377287394,-0.10821912377287365,0.5776043056399494
2011-09-01,6.69,6.43,7.249315624049487,0.47999999999999954,6.33,0.9193156240494869,0.014029788001230989,0.015148685601611723,-0.01566109019104846,0.043720666193510435,0.09891232784432867,0.028447822996002382,0.04315561933359367,0.15466903635506368,-0.09891232784432867,0.10496143639962743,0.37503856360037213,2.4289141282930204
2011-10-01,6.69,6.51,6.65,0.08000000000000007,6.69,-0.040000000000000036,0.014029788132898496,0.01514868275825764,-0.01566108448650936,0.04372066075230635,0.09897573536005973,0.028119921409015987,0.043861702150291594,0.15408976856982787,-0.09897573536005973,0.010070758718496102,0.06992924128150396,0.37922836982138053
2011-11-01,6.85,6.06,6.054843875100062,-0.4500000000000002,6.69,-0.6351561248999387,0.01402978804875108,0.015148679960646828,-0.01566107908744034,0.043720655184942496,0.09904146001663622,0.027784001601709313,0.0445858175308828,0.15349710250238963,-0.09904146001663622,-0.04887700189984779,-0.4011229981001524,-2.1003205197182773
2011-12-01,5.94,5.62,6.200000000000003,-0.4399999999999995,6.85,-0.6499999999999968,0.01402978920254544,0.015148677193669672,-0.015661072510470407,0.043720650915561286,0.09889613160104048,0.027446760904599035,0.04510146873574439,0.15269079446633657,-0.09889613160104048,-0.05025269633813055,-0.38974730366186894,-1.7041861242921041
