fecha,infl_suby
2003-01-01,4.888725781898586
2003-02-01,4.57630605564357
2003-03-01,4.533351885922627
2003-04-01,4.631392248701729
2003-05-01,4.803749506715576
2003-06-01,4.878926143519763
2003-07-01,4.8123601053627
2003-08-01,4.612449795020936
2003-09-01,4.6267256670677455
2003-10-01,4.679187585047799
2003-11-01,4.692045500693624
2003-12-01,4.762377293374314
2004-01-01,5.268532258398054
2004-02-01,5.3414783706027436
2004-03-01,5.472909056224353
2004-04-01,5.324309806539091
2004-05-01,5.349647356825457
2004-06-01,5.35698624284187
2004-07-01,5.443809558582657
2004-08-01,5.618135556120279
2004-09-01,5.892911013282088
2004-10-01,6.232500011387259
2004-11-01,6.531996122736913
2004-12-01,6.665837410108395
2005-01-01,6.5769110464386955
2005-02-01,6.303121944600832
2005-03-01,6.257268388238074
2005-04-01,6.371429685452171
2005-05-01,6.514610756796685
2005-06-01,6.681334997528836
2005-07-01,6.866680447098133
2005-08-01,6.793070007981484
2005-09-01,6.797318608178898
2005-10-01,7.0906238453865456
2005-11-01,6.91447914899868
2005-12-01,6.668133403804362
2006-01-01,6.373202555989053
2006-02-01,6.102399785421241
2006-03-01,5.980475472433454
2006-04-01,5.910490977918471
2006-05-01,5.532933547330288
2006-06-01,5.313144726296699
2006-07-01,5.109561482160615
2006-08-01,4.959949367592586
2006-09-01,4.561810164197169
2006-10-01,3.8601064945320616
2006-11-01,3.736074943315913
2006-12-01,3.9861603870900097
2007-01-01,4.04
2007-02-01,4.32
2007-03-01,4.51
2007-04-01,4.48
2007-05-01,4.28
2007-06-01,4.3
2007-07-01,4.46
2007-08-01,4.86
2007-09-01,5.11
2007-10-01,5.29
2007-11-01,6.07
2007-12-01,6.42
2008-01-01,6.52
2008-02-01,6.75
2008-03-01,6.89
2008-04-01,7.51
2008-05-01,8.39
2008-06-01,9.09
2008-07-01,9.43
2008-08-01,9.27
2008-09-01,9.09
2008-10-01,9.12
2008-11-01,8.25
2008-12-01,7.28
2009-01-01,6.25
2009-02-01,5.42
2009-03-01,4.71
2009-04-01,3.89
2009-05-01,3.18
2009-06-01,2.3
2009-07-01,1.65
2009-08-01,1.21
2009-09-01,1.28
2009-10-01,0.86
2009-11-01,0.84
2009-12-01,0.94
2010-01-01,1.58
2010-02-01,1.97
2010-03-01,2.39
2010-04-01,2.66
2010-05-01,2.57
2010-06-01,2.42
2010-07-01,2.42
2010-08-01,2.6
2010-09-01,2.54
2010-10-01,2.81
2010-11-01,2.76
2010-12-01,3.06
2011-01-01,3.44
2011-02-01,3.78
2011-03-01,3.84
2011-04-01,4.15
2011-05-01,4.56
2011-06-01,4.7
2011-07-01,5.18
2011-08-01,5.4
2011-09-01,5.38
2011-10-01,5.27
2011-11-01,5.46
2011-12-01,5.27
2012-01-01,4.64
