fecha,inflacion,expectativa,meta_inflacion,a0,a_pi1,a_pi2,a_pi3,a_pi4,b_e1,b_e2,b_e3,b_e4,c0,c,d,pulso_2012_09,lambda_t,lambda_se,pi_estrella_t,pi_estrella_se,denominador_1_menos_d,denominador_ancla,codigo_modelo,lambda_li_95,lambda_ls_95,pi_estrella_li_95,pi_estrella_ls_95,lambda_fuera_0_1,lambda_significativamente_menor_1,lambda_no_distinta_de_1,brecha_ancla_meta,ancla_dentro_banda_meta
2010-05-01,3.51,5.7,5,0.18306591092584015,1.3143607926097585,-0.5345842542725502,0.21612240944063077,-0.07279013170333523,0.16451289909803443,-0.09845112933295097,0.25693225041218176,-0.29461057930135565,2.8951901758527208,0.19713016218669005,0.33900386735028487,0.5999095368292874,0.7017680551375387,0.05535501485792526,6.241436880922261,0.25728772501769415,0.6609961326497151,0.4638659704630251,M3A_PULSOS_CONJUNTOS,0.5932742196523256,0.8102618906227518,5.737162206223335,6.745711555621186,FALSE,TRUE,FALSE,1.2414368809222607,FALSE
2010-06-01,4.07,5.45,5,0.18306591092584018,1.3143607926097585,-0.5345842542725504,0.21612240944063071,-0.07279013170333523,0.1645128990980344,-0.09845112933295096,0.2569322504121818,-0.29461057930135565,2.8840478239721996,0.19645955346471905,0.33900386735027155,0.5999095368292874,0.7027825977178208,0.05465960304399685,6.208440741161914,0.23744765904948212,0.6609961326497285,0.4645365791850094,M3A_PULSOS_CONJUNTOS,0.5956517443423311,0.8099134510933105,5.743051881211582,6.673829601112245,FALSE,TRUE,FALSE,1.2084407411619136,FALSE
2010-07-01,4.12,5.11,5,0.18306591092584018,1.3143607926097591,-0.5345842542725502,0.2161224094406307,-0.07279013170333523,0.1645128990980344,-0.09845112933295096,0.2569322504121818,-0.29461057930135554,2.87940130761274,0.19615487910781276,0.3390038673504794,0.5999095368292874,0.703243529850091,0.05385429175380197,6.194375575906982,0.22204989809659106,0.6609961326495206,0.46484125354170786,M3A_PULSOS_CONJUNTOS,0.5976910575997267,0.8087960021004552,5.759165772866874,6.629585378947089,FALSE,TRUE,FALSE,1.1943755759069816,FALSE
2010-08-01,4.1,5.57,5,0.18306591092584015,1.3143607926097587,-0.5345842542725503,0.21612240944063094,-0.0727901317033352,0.16451289909803435,-0.09845112933295096,0.2569322504121819,-0.2946105793013558,2.9229801817642027,0.19900035466874902,0.33900386735039945,0.5999095368292874,0.698938700486708,0.053124791039316166,6.326854748627924,0.22280890457375851,0.6609961326496006,0.46199577798085156,M3A_PULSOS_CONJUNTOS,0.5948160233634322,0.8030613776099839,5.8901573202285356,6.763552177027313,FALSE,TRUE,FALSE,1.326854748627924,FALSE
2010-09-01,3.76,5.68,5,0.1830659109258405,1.3143607926097576,-0.5345842542725506,0.21612240944063207,-0.07279013170333362,0.16451289909803526,-0.0984511293329505,0.25693225041218043,-0.2946105793013567,2.955547990189043,0.20111773592895107,0.3390038673502076,0.5999095368292874,0.6957353818051658,0.0523259415100526,6.426803283788825,0.2214510614571348,0.6609961326497924,0.4598783967208413,M3A_PULSOS_CONJUNTOS,0.5931784209883133,0.7982923426220183,5.992767178994675,6.860839388582975,FALSE,TRUE,FALSE,1.426803283788825,FALSE
2010-10-01,4.51,5.89,5,0.18306591092584057,1.3143607926097605,-0.5345842542725485,0.21612240944063815,-0.0727901317033346,0.16451289909803204,-0.09845112933295122,0.25693225041217616,-0.2946105793013572,2.9867667980913244,0.2031463490667197,0.3390038673502005,0.5999095368292874,0.6926663575891931,0.051462913931646294,6.523464475001452,0.21906909012805528,0.6609961326497995,0.4578497835830798,M3A_PULSOS_CONJUNTOS,0.5918008997436819,0.7935318154347044,6.094096948224505,6.9528320017783996,FALSE,TRUE,FALSE,1.523464475001452,FALSE
2010-11-01,5.25,6.22,5,0.18306591092584107,1.3143607926097582,-0.534584254272547,0.21612240944063837,-0.07279013170333302,0.16451289909803418,-0.09845112933295085,0.2569322504121753,-0.29461057930135776,2.993153042325388,0.20367641487923646,0.33900386735019894,0.5999095368292874,0.6918644379011136,0.050350337912203814,6.5449901371343024,0.20505099273342348,0.6609961326498011,0.45731971777056457,M3A_PULSOS_CONJUNTOS,0.5931795889837725,0.7905492868184547,6.143097576382608,6.9468826978859965,FALSE,TRUE,FALSE,1.5449901371343024,FALSE
2010-12-01,5.39,6.2,5,0.18306591092584112,1.3143607926097585,-0.5345842542725475,0.21612240944064298,-0.07279013170333516,0.16451289909803443,-0.09845112933295035,0.2569322504121725,-0.2946105793013567,2.963365425941778,0.20158810196993718,0.33900386735019117,0.5999095368292874,0.6950237800003329,0.04915254130861884,6.450399705804737,0.18273915233464272,0.6609961326498088,0.4594080306798717,M3A_PULSOS_CONJUNTOS,0.5986865692868227,0.7913609907138431,6.0922375486634595,6.808561862946015,FALSE,TRUE,FALSE,1.4503997058047373,FALSE
2011-01-01,4.9,5.85,5,0.18306591092581484,1.3143607926097323,-0.5345842542725449,0.21612240944056657,-0.07279013170330766,0.16451289909815484,-0.09845112933301645,0.25693225041219236,-0.294610579301355,2.92548537681968,0.19881792239119284,0.3390038673501974,0.5999095368292874,0.6992146964700517,0.04817055765138348,6.329777804069858,0.16607611734365016,0.6609961326498026,0.4621782102586098,M3A_PULSOS_CONJUNTOS,0.6048021383581298,0.7936272545819737,6.0042745953840555,6.65528101275566,FALSE,TRUE,FALSE,1.3297778040698578,FALSE
2011-02-01,5.24,5.81,5,0.18306591092580454,1.3143607926097165,-0.5345842542725435,0.2161224094405651,-0.0727901317033005,0.16451289909813763,-0.09845112933301446,0.25693225041219997,-0.2946105793013544,2.9165108725003237,0.19854826656748367,0.3390038673501974,0.5999095368292874,0.6996226501786886,0.04744750864524683,6.306680355577994,0.16046561423529548,0.6609961326498026,0.4624478660823189,M3A_PULSOS_CONJUNTOS,0.606627242077852,0.7926180582795253,5.992173530919717,6.62118718023627,FALSE,TRUE,FALSE,1.3066803555779938,FALSE
2011-03-01,4.99,6.13,5,0.1830659109257725,1.3143607926097087,-0.5345842542725395,0.21612240944056252,-0.07279013170329848,0.16451289909813532,-0.09845112933301668,0.2569322504122011,-0.2946105793013549,2.9148017127039347,0.19884997537584914,0.33900386735019733,0.5999095368292874,0.6991662045302762,0.04662462557523612,6.307099316582834,0.15497961960171508,0.6609961326498026,0.4621461572739535,M3A_PULSOS_CONJUNTOS,0.6077836176101483,0.7905487914504041,6.003344843825754,6.610853789339913,FALSE,TRUE,FALSE,1.3070993165828337,FALSE
2011-04-01,5.76114812916453,6.19,5,0.18306591092575714,1.3143607926097103,-0.534584254272538,0.21612240944055944,-0.07279013170329653,0.16451289909814024,-0.09845112933301697,0.256932250412204,-0.29461057930135415,2.8894500584093223,0.19716336710091173,0.33900386735019783,0.5999095368292874,0.7017178204802456,0.04570395525318926,6.22950829053658,0.14602757358880822,0.6609961326498022,0.4638327655488904,M3A_PULSOS_CONJUNTOS,0.6121397142329644,0.7912959267275267,5.943299505552743,6.515717075520416,FALSE,TRUE,FALSE,1.2295082905365797,FALSE
2011-05-01,6.3930220625962,5.74,5,0.18306591092600735,1.3143607926097438,-0.5345842542725547,0.2161224094405806,-0.07279013170330885,0.16451289909810043,-0.09845112933301753,0.2569322504121888,-0.2946105793013629,2.8363919747274657,0.19325783616001346,0.3390038673501987,0.5999095368292874,0.7076263738710824,0.04454774139178088,6.064057606600945,0.1348914883267863,0.6609961326498013,0.4677382964897878,M3A_PULSOS_CONJUNTOS,0.6203144051505877,0.7949383425915771,5.799675147659438,6.328440065542451,FALSE,TRUE,FALSE,1.0640576066009446,FALSE
