codigo_modelo,fecha_inicial,fecha_final,observaciones,lambda_promedio,lambda_inicial,lambda_final,lambda_minimo,fecha_lambda_minimo,lambda_maximo,fecha_lambda_maximo,porcentaje_lambda_fuera_0_1,porcentaje_lambda_significativamente_menor_1,pi_estrella_promedio,pi_estrella_inicial,pi_estrella_final,MAE_pi_estrella_meta,porcentaje_ancla_dentro_banda_meta,minimo_abs_denominador_1_menos_d,minimo_abs_denominador_ancla
M0A,2010-05-01,2026-06-01,194,0.6819311891231704,0.6819311891225174,0.6819311891232094,0.6819311891210912,2010-08-01,0.6819311891232331,2011-03-01,0,100,4.435568402806094,4.435568402796361,4.435568402806324,0.42589635239625423,100,0.08194478023474383,0.055880701427874484
M3B,2010-05-01,2026-06-01,194,0.8283801486765592,0.7527089375165723,0.8817656603907008,0.7448612182321765,2010-11-01,0.8928730291485234,2023-04-01,0,100,4.535464462135856,6.091738546558888,3.850230259125608,0.4422063604065382,86.08247422680412,0.7178966446996924,0.5347333693358822
M3A,2010-05-01,2026-06-01,194,0.8283801604735752,0.7527089504926776,0.8817656682485621,0.7448612269703117,2010-11-01,0.8928730398022523,2023-04-01,0,100,4.535464456178092,6.091738506024315,3.8502302395932646,0.44220636379169553,86.08247422680412,0.7178967433769667,0.5347334491099198
M3AD,2010-05-01,2026-06-01,194,0.9061548278775113,0.8862119019870592,0.9147514041002835,0.8782050529024692,2010-11-01,0.9243434197678819,2015-11-01,0,100,4.481564454681016,5.955123632095227,3.7983794652109686,0.4313962493624617,91.75257731958763,0.9714109941446427,0.8530980435028361
