modelo,observaciones,parametros_contados,log_verosimilitud,AIC,AICc,BIC,delta_AIC,peso_Akaike,delta_BIC,peso_BIC_aproximado
Anclaje constante SSM,186,4,57.531545770942365,-107.06309154188473,-106.8420970667466,-94.16010484703193,8.985490232961737,0.006914360960006872,2.5339968855353305,0.20081085575278299
TVP base sin sorpresa,186,6,64.02429088742323,-116.04858177484647,-115.57930803182971,-96.69410173256726,0,0.6179117597793224,0,0.7129147810754981
TVP con sorpresa en transición,186,7,64.52533482022211,-115.05066964044423,-114.42145615729815,-92.47044292445182,0.9979121344022417,0.3751738792606706,4.223658808115445,0.08627436317171888
