fecha,beta_base,beta_base_li_95,beta_base_ls_95,beta_dummy,beta_dummy_li_95,beta_dummy_ls_95,diferencia_dummy_menos_base,diferencia_absoluta
2012-01-01,0.05077718585293875,0.01637954252818731,0.08517482917769019,0.11413664559791956,0.05527394179717787,0.17299934939866124,0.0633594597449808,0.0633594597449808
2012-02-01,0.05071139586145883,0.01689932772487774,0.08452346399803992,0.11427438473256624,0.05842779488008737,0.1701209745850451,0.06356298887110741,0.06356298887110741
2012-03-01,0.050561788832740914,0.01733297320283239,0.08379060446264944,0.11368707033830013,0.06086547288062352,0.16650866779597673,0.06312528150555921,0.06312528150555921
2012-04-01,0.05003985986489262,0.017370510513300963,0.08270920921648428,0.10941092144165518,0.05916439569580664,0.15965744718750371,0.05937106157676256,0.05937106157676256
2012-05-01,0.04947079133742817,0.01735454536206188,0.08158703731279446,0.10528959569310971,0.05748288697104564,0.15309630441517377,0.05581880435568154,0.05581880435568154
2012-06-01,0.048781355453897016,0.017195306168741563,0.08036740473905246,0.1005887046332251,0.05493565810665568,0.14624175115979451,0.05180734917932808,0.05180734917932808
2012-07-01,0.04795035151846081,0.01686971852820383,0.07903098450871779,0.09517749235272108,0.051392143722683886,0.13896284098275827,0.047227140834260266,0.047227140834260266
2012-08-01,0.046959298545154377,0.016346667884815595,0.07757192920549316,0.08900742659463766,0.04666922987098202,0.1313456233182933,0.04204812804948328,0.04204812804948328
2012-09-01,0.04560993171779342,0.015393906943686867,0.07582595649189998,0.08016631312129327,0.038301509931678544,0.12203111631090799,0.03455638140349985,0.03455638140349985
2012-10-01,0.04488208213237464,0.015024760938202798,0.0747394033265465,0.07132519964794885,0.030678608646545903,0.11197179064935181,0.02644311751557421,0.02644311751557421
2012-11-01,0.04404469793975422,0.014484762781196765,0.07360463309831167,0.06192587858081272,0.021988093869705835,0.1018636632919196,0.0178811806410585,0.0178811806410585
2012-12-01,0.04327883740774582,0.01393934330369381,0.07261833151179782,0.054296877772062886,0.014081574678026489,0.09451218086609928,0.01101804036431707,0.01101804036431707
2013-01-01,0.042795251820994584,0.013615462081600298,0.07197504156038886,0.05054515392481079,0.009426914999679022,0.09166339284994257,0.007749902103816209,0.007749902103816209
2013-02-01,0.04232252267605646,0.013283747172929582,0.07136129817918334,0.04703901103119456,0.005058760052160979,0.08901926201022814,0.004716488355138097,0.004716488355138097
2013-03-01,0.04171579582993715,0.012817263462278218,0.07061432819759608,0.0419036950537473,-6.759682272969719e-4,0.08448335833479158,1.8789922381015622e-4,1.8789922381015622e-4
2013-04-01,0.04114265285564196,0.012379935825603535,0.06990536988568039,0.037158687294037665,-0.005905774116944866,0.0802231487050202,-0.003983965561604297,0.003983965561604297
2013-05-01,0.040888755312127434,0.012243105620859583,0.06953440500339528,0.036235818058604465,-0.0074710187932620145,0.07994265491047095,-0.004652937253522969,0.004652937253522969
2013-06-01,0.040660144113178684,0.012133924757385353,0.06918636346897201,0.035528313830851206,-0.008574522137703829,0.07963114979940625,-0.005131830282327478,0.005131830282327478
2013-07-01,0.04066240012042813,0.012265258110908717,0.06905954212994754,0.03760744324598941,-0.006590919574125283,0.0818058060661041,-0.0030549568744387204,0.0030549568744387204
2013-08-01,0.04054901730740425,0.012292848735703528,0.06880518587910497,0.03819177760955648,-0.00569967342710255,0.0820832286462155,-0.0023572396978477697,0.0023572396978477697
2013-09-01,0.040437048403440194,0.012331262075254083,0.06854283473162631,0.03874696576360427,-0.004605309418591261,0.0820992409457998,-0.0016900826398359228,0.0016900826398359228
2013-10-01,0.04044605682680656,0.012467387883446923,0.0684247257701662,0.040703366708912905,-0.0024310715752786094,0.08383780499310442,2.5730988210634353e-4,2.5730988210634353e-4
2013-11-01,0.04034766079984406,0.012467534427676494,0.06822778717201163,0.041278983749223314,-0.0020769028003227996,0.08463487029876943,9.313229493792541e-4,9.313229493792541e-4
2013-12-01,0.040233070224172614,0.012463247593409197,0.06800289285493603,0.04163918783325233,-0.0016139549068931933,0.08489233057339785,0.0014061176090797156,0.0014061176090797156
2014-01-01,0.040395839306685735,0.012751795527503797,0.06803988308586767,0.045424996541140225,0.0027065811765785847,0.08814341190570187,0.00502915723445449,0.00502915723445449
2014-02-01,0.040539666386799976,0.013012559998101754,0.06806677277549819,0.04899606595141615,0.006857569940896133,0.09113456196193617,0.008456399564616177,0.008456399564616177
2014-03-01,0.040410448566865265,0.012966164539704998,0.06785473259402552,0.04944301768956534,0.007299537751269687,0.091586497627861,0.009032569122700077,0.009032569122700077
2014-04-01,0.04014444022064898,0.012769051413275914,0.06751982902802205,0.04839417800055157,0.006072177155638743,0.0907161788454644,0.008249737779902587,0.008249737779902587
2014-05-01,0.040030372614429294,0.012705902888251366,0.06735484234060722,0.049413571497889545,0.006661911246613542,0.09216523174916555,0.009383198883460252,0.009383198883460252
2014-06-01,0.03968157257964989,0.012395306849703806,0.06696783830959598,0.04767666837832088,0.004364336860931593,0.09098899989571016,0.007995095798670991,0.007995095798670991
2014-07-01,0.03935414540933309,0.012104776579882483,0.06660351423878369,0.04634754450412977,0.0024418030453367476,0.09025328596292279,0.006993399094796682,0.006993399094796682
2014-08-01,0.03910719359851871,0.011903874229292295,0.06631051296774512,0.046061913384246214,0.001795778840367676,0.09032804792812475,0.006954719785727502,0.006954719785727502
2014-09-01,0.03874805449175734,0.011614859904284628,0.06588124907923006,0.04438993090628206,2.992654026961125e-4,0.088480596409868,0.005641876414524717,0.005641876414524717
2014-10-01,0.03839860939095225,0.011343309807858363,0.06545390897404614,0.04290470192977187,-9.029668708759458e-4,0.08671237073041968,0.004506092538819617,0.004506092538819617
2014-11-01,0.03809581670272194,0.011137713645030942,0.06505391976041294,0.04200049978910263,-0.001081380215926929,0.08508237979413219,0.0039046830863806864,0.0039046830863806864
2014-12-01,0.03782346834270092,0.010974435463369427,0.06467250122203241,0.04148240356489244,-5.610448015484146e-4,0.0835258519313333,0.0036589352221915172,0.0036589352221915172
2015-01-01,0.0376468047280049,0.01090108695348254,0.06439252250252725,0.04218306474556074,0.001174793088250213,0.08319133640287127,0.004536260017555839,0.004536260017555839
2015-02-01,0.037236736107625075,0.0105630906568891,0.06391038155836105,0.040077488929746254,-3.2300934641638773e-4,0.0804779872059089,0.0028407528221211786,0.0028407528221211786
2015-03-01,0.03696316543424284,0.010353511761839015,0.06357281910664667,0.03970713382175224,-7.580645274705283e-5,0.07949007409625153,0.002743968387509399,0.002743968387509399
2015-04-01,0.036854473449010466,0.010289375228299442,0.0634195716697215,0.04139268981187061,0.00216305717357429,0.08062232245016693,0.004538216362860142,0.004538216362860142
2015-05-01,0.03654616508578028,0.010002840597789837,0.06308948957377072,0.04067726561360175,0.001894623512896175,0.07945990771430733,0.004131100527821473,0.004131100527821473
2015-06-01,0.03597437368079499,0.009439122063698225,0.06250962529789175,0.03677258956322605,-0.0015085547411666511,0.07505373386761875,7.982158824310637e-4,7.982158824310637e-4
2015-07-01,0.03553614011961895,0.008966359730352869,0.062105920508885026,0.034514776993414965,-0.003702682291308164,0.0727322362781381,-0.0010213631262039821,0.0010213631262039821
2015-08-01,0.035100891150209965,0.008464030986403581,0.06173775131401635,0.03219617919687305,-0.0061266160979391235,0.07051897449168523,-0.0029047119533369137,0.0029047119533369137
2015-09-01,0.034425496285434405,0.007667233016128202,0.061183759554740605,0.02670715224628063,-0.012347963621867412,0.06576226811442867,-0.007718344039153776,0.007718344039153776
2015-10-01,0.03388436205385516,0.00694556335570309,0.06082316075200722,0.02246094203662553,-0.018160473245901785,0.06308235731915285,-0.011423420017229628,0.011423420017229628
2015-11-01,0.03332740442931537,0.006171911186381274,0.06048289767224947,0.01758247989371179,-0.025065196225356308,0.06023015601277989,-0.015744924535603583,0.015744924535603583
2015-12-01,0.03287812649209171,0.005485969630096052,0.060270283354087364,0.013597272793025415,-0.03140986439513406,0.05860440998118489,-0.01928085369906629,0.01928085369906629
2016-01-01,0.03276471563397173,0.005114057907681428,0.06041537336026203,0.01326667328989032,-0.034565268189968766,0.061098614769749406,-0.01949804234408141,0.01949804234408141
2016-02-01,0.03271155696871422,0.004822436667540578,0.06060067726988787,0.013634049961308889,-0.03664036384282163,0.0639084637654394,-0.019077507007405334,0.019077507007405334
2016-03-01,0.032718695668765355,0.0046122320445367015,0.06082515929299401,0.014721567739442887,-0.0376464153383727,0.06708955081725848,-0.017997127929322468,0.017997127929322468
2016-04-01,0.03272534094126,0.0044224873282954665,0.061028194554224535,0.015786721961332906,-0.038354322158879815,0.06992776608154563,-0.016938618979927093,0.016938618979927093
2016-05-01,0.03277517140604599,0.004295328136103706,0.06125501467598827,0.017347216583582938,-0.03834429992641846,0.07303873309358433,-0.01542795482246305,0.01542795482246305
2016-06-01,0.03282416302263595,0.004187510481234023,0.06146081556403788,0.018899071587900093,-0.038067812662621034,0.07586595583842122,-0.013925091434735859,0.013925091434735859
2016-07-01,0.03286689288018199,0.004093230268993862,0.061640555491370125,0.02037439724893881,-0.03761046630906597,0.07835926080694358,-0.012492495631243182,0.012492495631243182
2016-08-01,0.032902433768216346,0.004010687833512366,0.061794179702920324,0.021763787489891433,-0.037006224084464585,0.08053379906424746,-0.011138646278324914,0.011138646278324914
2016-09-01,0.03293341981795063,0.003935450850227326,0.06193138878567393,0.02308531129315159,-0.0363795313415793,0.08255015392788248,-0.009848108524799039,0.009848108524799039
2016-10-01,0.03297167238525533,0.003883506601104498,0.06205983816940616,0.02449770927473682,-0.03548891542089545,0.0844843339703691,-0.008473963110518509,0.008473963110518509
2016-11-01,0.03301694026515633,0.003851786432992582,0.062182094097320076,0.025994538248472247,-0.03439835700304459,0.08638743349998909,-0.007022402016684082,0.007022402016684082
2016-12-01,0.03302996934094824,0.0038024818970483,0.06225745678484818,0.027093417683896583,-0.03356398018806135,0.08775081555585451,-0.005936551657051658,0.005936551657051658
2017-01-01,0.03304208694453342,0.003771530449378547,0.0623126434396883,0.02818152908612473,-0.03251666220910582,0.08887972038135528,-0.004860557858408693,0.004860557858408693
2017-02-01,0.033047875768313834,0.003753572746423378,0.06234217879020429,0.02918952587198954,-0.03132752180022169,0.08970657354420078,-0.003858349896324293,0.003858349896324293
2017-03-01,0.03305224185121551,0.0037536857431464538,0.06235079795928457,0.030177921367885305,-0.029936260144451877,0.09029210288022249,-0.0028743204833302054,0.0028743204833302054
2017-04-01,0.033048843400612635,0.003765277725748563,0.06233240907547671,0.031067059896269476,-0.028419377449191485,0.09055349724173044,-0.0019817835043431584,0.0019817835043431584
2017-05-01,0.03302774040148709,0.0037764117292260445,0.06227906907374814,0.031740498279791335,-0.026904391517331566,0.09038538807691424,-0.0012872421216957586,0.0012872421216957586
