fecha,exp_inf_12m,exp_inf_24m,infl_gt,d_exp24,d_exp24_lag1,exp12_lag1,shock_inf,dummy_sep2012,alpha,se_alpha,rho,se_rho,gamma_sep2012,se_gamma_sep2012,beta_t,se_beta_t,beta_li_95,beta_ls_95,indice_anclaje,ajustado_tvp,residuo_tvp,residuo_estandarizado
2012-01-01,5.97,5.95,5.44,0.33000000000000007,-0.4399999999999995,3.77,1.6700000000000004,0,0.012840968242618545,0.015354434322051734,-0.3229611690188058,0.06565829273901576,0.6865217740919032,0.1578256393136999,0.11413664559791956,0.030032543590108388,0.05527394179717787,0.17299934939866124,-0.11413664559791956,0.3455520807594186,-0.015552080759418552,NA
2012-02-01,6,6.11,5.17,0.16000000000000014,0.33000000000000007,4.25,0.9199999999999999,0,0.012840968242618545,0.015354434322051755,-0.32296116901880584,0.06565829273901576,0.6865217740919032,0.1578256393136999,0.11427438473256624,0.02849368166608655,0.05842779488008737,0.1701209745850451,-0.11427438473256624,0.011396216420373528,0.1486037835796266,NA
2012-03-01,5.59,5.47,4.55,-0.6400000000000006,0.16000000000000014,6.26,-1.71,0,0.012840968242618545,0.015354434322051459,-0.3229611690188057,0.06565829273901576,0.6865217740919032,0.1578256393136999,0.11368707033830013,0.0269502898391637,0.06086547288062352,0.16650866779597673,-0.11368707033830013,-0.2332377090788836,-0.40676229092111693,NA
2012-04-01,5.84,5.54,4.27,0.07000000000000028,-0.6400000000000006,5.81,-1.54,0,0.012840968242618662,0.015354434322051308,-0.32296116901880567,0.06565829273901583,0.6865217740919032,0.1578256393136999,0.10941092144165518,0.025636453599243013,0.05916439569580664,0.15965744718750371,-0.10941092144165518,0.0510432973945055,0.018956702605494785,NA
2012-05-01,5.26,5.28,3.9,-0.2599999999999998,0.07000000000000028,5.7,-1.8000000000000003,0,0.012840968242618657,0.015354434322051278,-0.3229611690188056,0.0656582927390157,0.6865217740919032,0.1578256393136999,0.10528959569310971,0.02439162612127432,0.05748288697104564,0.15309630441517377,-0.10528959569310971,-0.19928758583629536,-0.06071241416370443,NA
2012-06-01,4.89,5.11,3.47,-0.16999999999999993,-0.2599999999999998,5.45,-1.98,0,0.012840968242618666,0.015354434322051334,-0.3229611690188056,0.06565829273901566,0.6865217740919032,0.1578256393136999,0.1005887046332251,0.023292798687463052,0.05493565810665568,0.14624175115979451,-0.1005887046332251,-0.10235476298627763,-0.0676452370137223,NA
2012-07-01,4.71,4.9,2.86,-0.20999999999999996,-0.16999999999999993,5.11,-2.2500000000000004,0,0.012840968242618662,0.015354434322051316,-0.3229611690188056,0.06565829273901569,0.6865217740919032,0.1578256393136999,0.09517749235272108,0.02233987408718244,0.051392143722683886,0.13896284098275827,-0.09517749235272108,-0.14640499081780686,-0.0635950091821931,NA
2012-08-01,4.44,4.55,2.71,-0.35000000000000053,-0.20999999999999996,5.57,-2.8600000000000003,0,0.01284096824261865,0.015354434322051299,-0.3229611690188056,0.06565829273901569,0.6865217740919032,0.1578256393136999,0.08900742659463766,0.021601517710332405,0.04666922987098202,0.1313456233182933,-0.08900742659463766,-0.1738984263240959,-0.17610157367590462,NA
2012-09-01,4.91,5.17,3.28,0.6200000000000001,-0.35000000000000053,5.68,-2.4,1,0.012840968242618689,0.0153544343220513,-0.3229611690188056,0.06565829273901576,0.6865217740919032,0.1578256393136999,0.08016631312129327,0.021359985958843614,0.038301509931678544,0.12203111631090799,-0.08016631312129327,0.6200000000000001,0,NA
2012-10-01,4.7,4.76,3.35,-0.41000000000000014,0.6200000000000001,5.89,-2.5399999999999996,0,0.012840968242618689,0.015354434322051278,-0.3229611690188056,0.06565829273901576,0.6865217740919031,0.1578256393136999,0.07132519964794885,0.020738437707028337,0.030678608646545903,0.11197179064935181,-0.07132519964794885,-0.36856096365483093,-0.04143903634516921,1.1262123319268178
2012-11-01,4.48,4.82,3.11,0.0600000000000005,-0.41000000000000014,6.22,-3.11,0,0.012840968242618645,0.015354434322051245,-0.32296116901880556,0.06565829273901569,0.6865217740919031,0.1578256393136999,0.06192587858081272,0.02037679519936644,0.021988093869705835,0.1018636632919196,-0.06192587858081272,-0.047334434845998585,0.10733443484599908,1.9060224071323881
2012-12-01,4.65,4.93,3.45,0.10999999999999943,0.0600000000000005,6.2,-2.75,0,0.01284096824261867,0.015354434322051256,-0.32296116901880556,0.06565829273901566,0.6865217740919031,0.1578256393136999,0.054296877772062886,0.020518388812881046,0.014081574678026489,0.09451218086609928,-0.054296877772062886,-0.15585311577168276,0.2658531157716822,2.4706757892935864
2013-01-01,4.53,4.83,3.86,-0.09999999999999964,0.10999999999999943,5.85,-1.9899999999999998,0,0.012840968242618678,0.015354434322051207,-0.32296116901880556,0.06565829273901568,0.6865217740919032,0.15782563931369992,0.05054515392481079,0.020979078824645354,0.009426914999679022,0.09166339284994257,-0.05054515392481079,-0.12326961665982322,0.023269616659823578,0.4800993519275741
2013-02-01,4.41,4.61,4.18,-0.21999999999999975,-0.09999999999999964,5.81,-1.63,0,0.012840968242618675,0.015354434322051186,-0.3229611690188055,0.06565829273901566,0.6865217740919031,0.1578256393136999,0.04703901103119456,0.021418888974577315,0.005058760052160979,0.08901926201022814,-0.04703901103119456,-0.03153650283634801,-0.18846349716365174,-0.946694896370371
2013-03-01,4.59,4.66,4.34,0.04999999999999982,-0.21999999999999975,6.13,-1.79,0,0.012840968242618692,0.015354434322051167,-0.32296116901880556,0.06565829273901566,0.6865217740919032,0.15782563931369992,0.0419036950537473,0.021724717197309357,-6.759682272969719e-4,0.08448335833479158,-0.0419036950537473,0.008884811280548174,0.04111518871945165,0.681267391265351
2013-04-01,4.85,4.93,4.13,0.2699999999999996,0.04999999999999982,6.19,-2.0600000000000005,0,0.012840968242618687,0.01535443432205115,-0.3229611690188055,0.06565829273901568,0.6865217740919032,0.15782563931369992,0.037158687294037665,0.021972067727095763,-0.005905774116944866,0.0802231487050202,-0.037158687294037665,-0.07985398603403915,0.3498539860340387,2.633913283523262
2013-05-01,4.71,4.83,4.27,-0.09999999999999964,0.2699999999999996,5.74,-1.4700000000000006,0,0.012840968242618694,0.015354434322051089,-0.3229611690188055,0.06565829273901568,0.6865217740919032,0.1578256393136999,0.036235818058604465,0.022299816321432662,-0.0074710187932620145,0.07994265491047095,-0.036235818058604465,-0.12762519993860724,0.027625199938607597,0.20782435571077731
2013-06-01,4.87,5.21,4.79,0.3799999999999999,-0.09999999999999964,6.16,-1.37,0,0.012840968242618692,0.015354434322051077,-0.32296116901880556,0.06565829273901566,0.6865217740919032,0.1578256393136999,0.035528313830851206,0.022501860399697437,-0.008574522137703829,0.07963114979940625,-0.035528313830851206,-0.0035367048037670268,0.3835367048037669,2.492844841190967
2013-07-01,4.88,4.81,4.74,-0.40000000000000036,0.3799999999999999,5.88,-1.1399999999999997,0,0.012840968242618692,0.015354434322051034,-0.32296116901880556,0.06565829273901568,0.6865217740919032,0.1578256393136999,0.03760744324598941,0.02255059948486082,-0.006590919574125283,0.0818058060661041,-0.03760744324598941,-0.1527567612849553,-0.24724323871504506,-1.7167034515564605
2013-08-01,4.85,4.89,4.42,0.08000000000000007,-0.40000000000000036,5.95,-1.5300000000000002,0,0.01284096824261869,0.015354434322050992,-0.32296116901880556,0.06565829273901566,0.6865217740919032,0.1578256393136999,0.03819177760955648,0.022394008962852995,-0.00569967342710255,0.0820832286462155,-0.03819177760955648,0.0835920161075196,-0.0035920161075195245,-0.24099239230895292
2013-09-01,4.84,4.91,4.21,0.020000000000000462,0.08000000000000007,6.43,-2.2199999999999998,0,0.012840968242618689,0.015354434322051023,-0.3229611690188055,0.06565829273901568,0.6865217740919032,0.1578256393136999,0.03874696576360427,0.02211891418625687,-0.004605309418591261,0.0820992409457998,-0.03874696576360427,-0.09901418927408726,0.11901418927408772,0.6953350256529836
2013-10-01,4.72,4.71,4.15,-0.20000000000000018,0.020000000000000462,6.51,-2.3599999999999994,0,0.012840968242618683,0.015354434322050971,-0.3229611690188055,0.06565829273901569,0.6865217740919032,0.1578256393136999,0.040703366708912905,0.022007770869480497,-0.0024310715752786094,0.08383780499310442,-0.040703366708912905,-0.08967820057079201,-0.11032179942920817,-0.8792622803738257
2013-11-01,4.69,4.7,4.63,-0.009999999999999787,-0.20000000000000018,6.06,-1.4299999999999997,0,0.012840968242618685,0.015354434322050968,-0.3229611690188055,0.06565829273901568,0.6865217740919032,0.1578256393136999,0.041278983749223314,0.022120756754477035,-0.0020769028003227996,0.08463487029876943,-0.041278983749223314,0.01840425528499051,-0.0284042552849903,-0.2977818870507206
2013-12-01,5.09,5.19,4.39,0.4900000000000002,-0.009999999999999787,5.62,-1.2300000000000004,0,0.01284096824261869,0.015354434322050945,-0.3229611690188055,0.06565829273901566,0.6865217740919031,0.1578256393136999,0.04163918783325233,0.02206833548030515,-0.0016139549068931933,0.08489233057339785,-0.04163918783325233,-0.03514562110209371,0.525145621102094,3.350570291904521
2014-01-01,4.73,4.94,4.14,-0.25,0.4900000000000002,5.95,-1.8100000000000005,0,0.01284096824261869,0.01535443432205096,-0.3229611690188055,0.06565829273901568,0.6865217740919031,0.1578256393136999,0.045424996541140225,0.02179551037749625,0.0027065811765785847,0.08814341190570187,-0.045424996541140225,-0.2276292483160599,-0.022370751683940093,-0.37397775597890714
2014-02-01,4.56,4.68,3.5,-0.2600000000000007,-0.25,6.11,-2.6100000000000003,0,0.012840968242618687,0.015354434322050914,-0.3229611690188055,0.06565829273901569,0.6865217740919031,0.1578256393136999,0.04899606595141615,0.021499627719133163,0.006857569940896133,0.09113456196193617,-0.04899606595141615,-0.03429847163587611,-0.22570152836412455,-1.7670409856046376
2014-03-01,4.46,4.54,3.25,-0.13999999999999968,-0.2600000000000007,5.47,-2.2199999999999998,0,0.012840968242618692,0.015354434322050902,-0.3229611690188055,0.06565829273901569,0.6865217740919032,0.1578256393136999,0.04944301768956534,0.021502170586152634,0.007299537751269687,0.091586497627861,-0.04944301768956534,-0.012952627083326701,-0.12704737291667298,-0.8194102467568587
2014-04-01,4.51,4.66,3.27,0.1200000000000001,-0.13999999999999968,5.54,-2.27,0,0.01284096824261868,0.015354434322050902,-0.3229611690188055,0.06565829273901566,0.6865217740919033,0.1578256393136999,0.04839417800055157,0.021593254355051102,0.006072177155638743,0.0907161788454644,-0.04839417800055157,-0.0517992521560007,0.1717992521560008,1.1861544656158904
2014-05-01,4.19,4.28,3.22,-0.3799999999999999,0.1200000000000001,5.28,-2.06,0,0.012840968242618685,0.015354434322050858,-0.3229611690188055,0.06565829273901568,0.6865217740919032,0.1578256393136999,0.049413571497889545,0.021812472366071856,0.006661911246613542,0.09216523174916555,-0.049413571497889545,-0.12770632932529047,-0.2522936706747094,-1.6534773938187628
2014-06-01,4.24,4.36,3.13,0.08000000000000007,-0.3799999999999999,5.11,-1.9800000000000004,0,0.012840968242618678,0.015354434322050942,-0.3229611690188055,0.06565829273901568,0.6865217740919032,0.1578256393136999,0.04767666837832088,0.022098534390953835,0.004364336860931593,0.09098899989571016,-0.04767666837832088,0.04116640908068939,0.038833590919310684,0.30713069826064876
2014-07-01,4.24,4.41,3.41,0.04999999999999982,0.08000000000000007,4.9,-1.4900000000000002,0,0.012840968242618675,0.015354434322050919,-0.32296116901880545,0.06565829273901568,0.6865217740919032,0.1578256393136999,0.04634754450412977,0.022401300128530893,0.0024418030453367476,0.09025328596292279,-0.04634754450412977,-0.08205376659003914,0.13205376659003898,0.877790702729064
2014-08-01,4.09,4.06,3.7,-0.35000000000000053,0.04999999999999982,4.55,-0.8499999999999996,0,0.012840968242618689,0.015354434322050872,-0.32296116901880545,0.06565829273901569,0.6865217740919032,0.1578256393136999,0.046061913384246214,0.022585177530324112,0.001795778840367676,0.09032804792812475,-0.046061913384246214,-0.04245971658493079,-0.3075402834150697,-2.1626900861801253
