parametro,estimacion,error_estandar,limite_inferior_95,limite_superior_95,estadistico_z,p_valor,significativo_5pct
alpha,0.012840968242618706,0.015354434322050962,-0.017253170031586856,0.042935106516824265,0.8363035702446822,0.40298414515433556,FALSE
rho,-0.3229611690188054,0.06565829273901566,-0.4516490580736638,-0.194273279963947,-4.918817647338772,8.706853405267773e-7,TRUE
gamma_sep2012,0.6865217740919034,0.1578256393136999,0.37718920520004284,0.995854342983764,4.349874818041118,1.362152696330842e-5,TRUE
