modelo,log_verosimilitud,parametros_aproximados,AIC_aproximado,BIC_aproximado,H,Q_beta,Q_beta_sobre_H,beta_inicial,beta_final
TVP-AR(1) base,59.02427478488893,5,-108.04854956977786,-92.25327307370522,0.02649355094378551,1.1321529388996648e-5,4.2733151977320335e-4,0.05077718585293875,0.008361587971108222
TVP-AR(1) + pulso septiembre 2012,66.77728746360722,6,-121.55457492721445,-102.60024313192727,0.022095851687182456,1.1718259801634839e-4,0.0053033754785892515,0.11413664559791956,-4.763278401064081e-4
