diagnostico,rezago,estadistico,p_valor
Ljung-Box,6,17.408138322554436,0.00789470875603826
Ljung-Box,12,32.708329446095064,0.001074793230117388
Ljung-Box,24,39.5861497519011,0.023679731487098676
Jarque-Bera,NA,1466.6058775313836,3.39295e-319
