fecha,d_inflacion,d_expectativa,d_inflacion_lag1,d_expectativa_lag1,alpha_t,beta_t,rho_t,alpha_se,beta_se,beta_li_95,beta_ls_95
2010-03-01,1.4500000000000002,2.01,1.05,0.48,-0.007737486643284958,0.3699051705736788,-0.26076164601295027,0.01616699388981191,0.08306964960960896,0.2070916491304835,0.532718692016874
2010-04-01,-0.18000000000000016,-0.4500000000000002,1.4500000000000002,2.01,-0.007737486678252342,0.35932098906655896,-0.26076164601295027,0.016166993859091608,0.08175502866469248,0.199084077328722,0.5195579008043959
2010-05-01,-0.2400000000000002,-0.10999999999999943,-0.18000000000000016,-0.4500000000000002,-0.007737486704467312,0.3523952136632036,-0.26076164601294993,0.01616699382859547,0.08091771201419988,0.19379941240398782,0.5109910149224194
2010-06-01,0.5600000000000005,-0.25,-0.2400000000000002,-0.10999999999999943,-0.007737486727569715,0.345307929712079,-0.2607616460129498,0.016166993798421608,0.0800421427917556,0.18842821259482578,0.5021876468293323
2010-07-01,0.04999999999999982,-0.33999999999999986,0.5600000000000005,-0.25,-0.0077374867469239125,0.3379613172657609,-0.2607616460129498,0.016166993768596184,0.07914754690665675,0.18283497586401914,0.49308765866750265
2010-08-01,-0.020000000000000462,0.45999999999999996,0.04999999999999982,-0.33999999999999986,-0.007737486754584939,0.3325023762541339,-0.2607616460129494,0.016166993739015038,0.07836760319534486,0.17890469643653198,0.4861000560717359
2010-09-01,-0.33999999999999986,0.10999999999999943,-0.020000000000000462,0.45999999999999996,-0.0077374867694697935,0.326939314766665,-0.2607616460129494,0.016166993709736108,0.0775442725077113,0.17495533344419142,0.47892329608913853
2010-10-01,0.75,0.20999999999999996,-0.33999999999999986,0.10999999999999943,-0.007737486789222075,0.3214043164645551,-0.2607616460129494,0.016166993680801357,0.07667436109532982,0.17112533018008957,0.4716833027490206
2010-11-01,0.7400000000000002,0.33000000000000007,0.75,0.20999999999999996,-0.007737486816063477,0.3165641427690201,-0.2607616460129494,0.016166993652231124,0.07581298037371076,0.1679734316759051,0.4651548538621352
2010-12-01,0.13999999999999968,-0.019999999999999574,0.7400000000000002,0.33000000000000007,-0.007737486845995541,0.3110557557728715,-0.2607616460129493,0.016166993623910997,0.07511817558239131,0.16382683704702844,0.4582846744987145
2011-01-01,-0.4899999999999993,-0.35000000000000053,0.13999999999999968,-0.019999999999999574,-0.0077374868728106675,0.3062122765301466,-0.2607616460129492,0.01616699359584977,0.07456969438660817,0.160058361194236,0.4523661918660572
2011-02-01,0.33999999999999986,-0.040000000000000036,-0.4899999999999993,-0.35000000000000053,-0.007737486891846172,0.301682771045054,-0.2607616460129493,0.016166993568095856,0.07397719354515138,0.15669013601920834,0.4466754060708996
2011-03-01,-0.25,0.3200000000000003,0.33999999999999986,-0.040000000000000036,-0.007737486911365849,0.2972216622857087,-0.26076164601294927,0.016166993540695736,0.07341430010424824,0.15333227813116704,0.44111104644025034
2011-04-01,0.7711481291645299,0.0600000000000005,-0.25,0.3200000000000003,-0.007737486935195438,0.29233812590221675,-0.26076164601294927,0.016166993513584953,0.07284642046524305,0.14956176538767887,0.43511448641675465
2011-05-01,0.6318739334316703,-0.4500000000000002,0.7711481291645299,0.0600000000000005,-0.007737486963494672,0.2877767089355114,-0.26076164601294927,0.016166993486832072,0.0722611277686414,0.14614750102672708,0.4294059168442957
2011-06-01,0.029277304363179546,0.41999999999999993,0.6318739334316703,-0.4500000000000002,-0.0077374869788685244,0.2860886210674331,-0.26076164601294927,0.016166993460339733,0.07185659137034507,0.14525228992974515,0.42692495220512106
2011-07-01,0.6173750989612596,-0.28000000000000025,0.029277304363179546,0.41999999999999993,-0.007737486996825781,0.2839299615012568,-0.2607616460129493,0.01616699343410065,0.07159046299209627,0.14361523240020055,0.42424469060231307
2011-08-01,0.5861516652435608,0.07000000000000028,0.6173750989612596,-0.28000000000000025,-0.0077374870113739,0.2818000747027837,-0.2607616460129493,0.016166993408199874,0.07126446352649121,0.14212429281329264,0.4214758565922747
2011-09-01,-0.3765105071147108,0.47999999999999954,0.5861516652435608,0.07000000000000028,-0.007737487022548789,0.2802705277722143,-0.2607616460129493,0.016166993382568287,0.07105249328319481,0.1410101999253784,0.4195308556190502
2011-10-01,-0.5993156240494892,0.08000000000000007,-0.3765105071147108,0.47999999999999954,-0.0077374870405339784,0.27759022988214727,-0.2607616460129493,0.01616699335722712,0.07091411931991161,0.1386011100197445,0.41657934974455
2011-11-01,-0.5951561248999404,-0.4500000000000002,-0.5993156240494892,0.08000000000000007,-0.007737487064845378,0.2755965632685914,-0.2607616460129493,0.016166993332248365,0.07079497584136736,0.13684096033312818,0.4143521662040546
2011-12-01,0.14515612489994023,-0.4399999999999995,-0.5951561248999404,-0.4500000000000002,-0.007737487084050031,0.27272062292062016,-0.2607616460129493,0.016166993307621735,0.07076782501081606,0.13401823463518783,0.4114230112060525
2012-01-01,-0.7599999999999998,0.33000000000000007,0.14515612489994023,-0.4399999999999995,-0.007737487095535867,0.2685203851887107,-0.2607616460129494,0.01616699328332053,0.07079514707615794,0.12976444663922504,0.40727632373819633
2012-02-01,-0.27000000000000046,0.16000000000000014,-0.7599999999999998,0.33000000000000007,-0.007737487110689349,0.26416667653312836,-0.2607616460129493,0.01616699325931762,0.07077632638005171,0.1254476258701749,0.40288572719608184
2012-03-01,-0.6200000000000001,-0.6400000000000006,-0.27000000000000046,0.16000000000000014,-0.007737487134902169,0.2617977574309994,-0.2607616460129494,0.0161669932356727,0.07095902281008026,0.12272062834508596,0.4008748865169129
2012-04-01,-0.28000000000000025,0.07000000000000028,-0.6200000000000001,-0.6400000000000006,-0.007737487148754232,0.25862242043759426,-0.2607616460129493,0.0161669932123636,0.07111457387177765,0.11924041687299694,0.3980044240021916
2012-05-01,-0.36999999999999966,-0.2599999999999998,-0.28000000000000025,0.07000000000000028,-0.0077374871640252295,0.25570069020991326,-0.26076164601294927,0.016166993189362412,0.0713243503377816,0.11590753232714412,0.3954938480926824
2012-06-01,-0.4299999999999997,-0.16999999999999993,-0.36999999999999966,-0.2599999999999998,-0.00773748717605932,0.2525176880341887,-0.2607616460129493,0.016166993166692022,0.07150797910912361,0.11236462437306391,0.3926707516953135
2012-07-01,-0.6100000000000003,-0.20999999999999996,-0.4299999999999997,-0.16999999999999993,-0.007737487185370378,0.2490442444369512,-0.2607616460129493,0.016166993144339364,0.07167802871075964,0.10855788968103439,0.38953059919286803
2012-08-01,-0.1499999999999999,-0.35000000000000053,-0.6100000000000003,-0.20999999999999996,-0.007737487191901127,0.2452261607032406,-0.2607616460129493,0.01616699312230916,0.071857537041858,0.1043879760834461,0.38606434532303513
2012-09-01,0.5699999999999998,0.6200000000000001,-0.1499999999999999,-0.35000000000000053,-0.007737487193500474,0.2405409073761421,-0.2607616460129493,0.016166993100602906,0.072119390570099,0.09918949927177048,0.3818923154805137
2012-10-01,0.07000000000000028,-0.41000000000000014,0.5699999999999998,0.6200000000000001,-0.007737487206510851,0.23634907795043764,-0.26076164601294927,0.016166993079206528,0.07232742858481583,0.09458992282980583,0.37810823307106944
2012-11-01,-0.2400000000000002,0.0600000000000005,0.07000000000000028,-0.41000000000000014,-0.00773748721204127,0.23338632270469434,-0.26076164601294927,0.016166993058147564,0.0725777519782332,0.09113654274847663,0.3756361026609121
2012-12-01,0.3400000000000003,0.10999999999999943,-0.2400000000000002,0.0600000000000005,-0.007737487216465332,0.2304458927710226,-0.26076164601294927,0.016166993037391584,0.07277706351405584,0.08780546938288913,0.37308631615915605
2013-01-01,0.4099999999999997,-0.09999999999999964,0.3400000000000003,0.10999999999999943,-0.007737487224650014,0.227765643214564,-0.26076164601294927,0.01616699301696547,0.07294678908387534,0.0847925638223288,0.3707387226067992
2013-02-01,0.31999999999999984,-0.21999999999999975,0.4099999999999997,-0.09999999999999964,-0.0077374872300241685,0.22536086134031388,-0.26076164601294927,0.01616699299685892,0.07310605014604055,0.08207563600209528,0.3686460866785325
2013-03-01,0.16000000000000014,0.04999999999999982,0.31999999999999984,-0.21999999999999975,-0.007737487228806708,0.22373515596911833,-0.2607616460129493,0.01616699297706123,0.07328453550605886,0.08010010575349619,0.3673702061847405
2013-04-01,-0.20999999999999996,0.2699999999999996,0.16000000000000014,0.04999999999999982,-0.0077374872261697205,0.22224039844683688,-0.2607616460129493,0.01616699295756939,0.0734577127285612,0.07826592711216745,0.3662148697815063
2013-05-01,0.13999999999999968,-0.09999999999999964,-0.20999999999999996,0.2699999999999996,-0.007737487228619235,0.22051103244014872,-0.2607616460129493,0.01616699293839871,0.07358675155045989,0.07628364966195039,0.36473841521834705
2013-06-01,0.5200000000000005,0.3799999999999999,0.13999999999999968,-0.09999999999999964,-0.007737487231556049,0.21881116630168015,-0.2607616460129493,0.01616699291956586,0.07368582715629113,0.0743895989043061,0.3632327336990542
2013-07-01,-0.04999999999999982,-0.40000000000000036,0.5200000000000005,0.3799999999999999,-0.007737487241090284,0.21684503987240508,-0.2607616460129494,0.016166992901048415,0.07374056085364332,0.07231619639948003,0.36137388334533016
2013-08-01,-0.3200000000000003,0.08000000000000007,-0.04999999999999982,-0.40000000000000036,-0.007737487242534238,0.21609166300826477,-0.2607616460129493,0.016166992882861237,0.07383929724442245,0.07136929976544915,0.3608140262510804
2013-09-01,-0.20999999999999996,0.020000000000000462,-0.3200000000000003,0.08000000000000007,-0.007737487243863345,0.21533663074954912,-0.26076164601294927,0.016166992864979617,0.07388475462995112,0.07052517266826597,0.36014808883083227
2013-10-01,-0.05999999999999961,-0.20000000000000018,-0.20999999999999996,0.020000000000000462,-0.007737487247534361,0.2147976336778915,-0.26076164601294927,0.0161669928474274,0.07392336387206512,0.06991050287259451,0.35968476448318853
2013-11-01,0.47999999999999954,-0.009999999999999787,-0.05999999999999961,-0.20000000000000018,-0.007737487248376503,0.21408738393102844,-0.26076164601294927,0.01616699283020037,0.07392849633779416,0.06919019367775064,0.35898457418430624
2013-12-01,-0.2400000000000002,0.4900000000000002,0.47999999999999954,-0.009999999999999787,-0.007737487248390156,0.21336280435422017,-0.2607616460129493,0.0161669928132874,0.07388154957841243,0.06855762805852142,0.35816798064991895
2014-01-01,-0.25,-0.25,-0.2400000000000002,0.4900000000000002,-0.007737487256230678,0.21155521224938137,-0.2607616460129493,0.016166992796692536,0.07387984347552194,0.0667533798539019,0.35635704464486084
2014-02-01,-0.6399999999999997,-0.2600000000000007,-0.25,-0.25,-0.007737487262801332,0.20965976360896124,-0.2607616460129493,0.01616699278044249,0.07385889981166427,0.06489898004034714,0.3544205471775753
2014-03-01,-0.25,-0.13999999999999968,-0.6399999999999997,-0.2600000000000007,-0.007737487264089749,0.2073836331993845,-0.2607616460129493,0.016166992764504836,0.07380678733690552,0.06272498820444278,0.3520422781943262
2014-04-01,0.020000000000000018,0.1200000000000001,-0.25,-0.13999999999999968,-0.007737487264036172,0.20485991176921958,-0.26076164601294927,0.01616699274888006,0.07386310516496578,0.06009088585959224,0.34962893767884695
2014-05-01,-0.04999999999999982,-0.3799999999999999,0.020000000000000018,0.1200000000000001,-0.007737487266821557,0.2025407894372826,-0.26076164601294927,0.01616699273357219,0.07389082631681057,0.0577174310684295,0.34736414780613567
2014-06-01,-0.0900000000000003,0.08000000000000007,-0.04999999999999982,-0.3799999999999999,-0.00773748726273062,0.20026131230862912,-0.2607616460129492,0.016166992718591667,0.07386606123635664,0.05548649260553995,0.3450361320117183
2014-07-01,0.28000000000000025,0.04999999999999982,-0.0900000000000003,0.08000000000000007,-0.007737487258612997,0.19798145056763733,-0.2607616460129492,0.016166992703917082,0.07378850808201343,0.05335863225394835,0.34260426888132633
2014-08-01,0.29000000000000004,-0.35000000000000053,0.28000000000000025,0.04999999999999982,-0.0077374872564169705,0.19575144385267482,-0.26076164601294927,0.016166992689568595,0.07366227471974342,0.051376038382682454,0.3401268493226672
2014-09-01,-0.25,0.07000000000000028,0.29000000000000004,-0.35000000000000053,-0.007737487246567093,0.19413922959701674,-0.2607616460129492,0.01616699267554297,0.07351525082741348,0.050051985660857945,0.33822647353317553
2014-10-01,0.18999999999999995,0.040000000000000036,-0.25,0.07000000000000028,-0.007737487235325503,0.19264336112986008,-0.26076164601294927,0.016166992661822737,0.0733572382928693,0.04886581607051377,0.3364209061892064
2014-11-01,-0.26000000000000023,-0.009999999999999787,0.18999999999999995,0.040000000000000036,-0.0077374872263589675,0.19131145198944816,-0.26076164601294927,0.016166992648429086,0.07317304672698685,0.04789491576548749,0.3347279882134088
2014-12-01,-0.4299999999999997,0.04999999999999982,-0.26000000000000023,-0.009999999999999787,-0.007737487216830778,0.19001030575702554,-0.2607616460129492,0.01616699263535833,0.07294925690198689,0.047032389530171304,0.3329882219838798
2015-01-01,-0.6300000000000003,-0.31999999999999984,-0.4299999999999997,0.04999999999999982,-0.007737487209385931,0.18886530839462645,-0.2607616460129492,0.016166992622610746,0.07269902826064761,0.0463778312926976,0.33135278549655534
2015-02-01,0.1200000000000001,0.18000000000000016,-0.6300000000000003,-0.31999999999999984,-0.007737487197596076,0.18718171456609362,-0.2607616460129492,0.016166992610189983,0.07247235399910702,0.04513851085300652,0.3292249182791807
2015-03-01,-0.009999999999999787,0.040000000000000036,0.1200000000000001,0.18000000000000016,-0.007737487190235052,0.18630245062435152,-0.2607616460129492,0.016166992598081832,0.07234276215945619,0.04451324224967035,0.3280916589990327
2015-04-01,0.1499999999999999,-0.2900000000000005,-0.009999999999999787,0.040000000000000036,-0.00773748718431534,0.18537332770797613,-0.2607616460129492,0.016166992586302616,0.0721621191087299,0.04393817320677593,0.32680848220917635
2015-05-01,-0.03000000000000025,-0.25,0.1499999999999999,-0.2900000000000005,-0.007737487173014934,0.18442869368322323,-0.2607616460129492,0.01616699257484745,0.07192553690674604,0.043457231777294575,0.3254001555891519
2015-06-01,-0.1599999999999997,0.10000000000000009,-0.03000000000000025,-0.25,-0.007737487154827722,0.1837818517845077,-0.26076164601294927,0.01616699256369995,0.07164417340044507,0.04336185221749286,0.3242018513515226
