periodo,fecha_inicial,fecha_final,observaciones,beta_media,beta_mediana,beta_min,beta_max
2010-2014,2010-03-01,2014-12-01,58,0.2558611409426168,0.2471352025700959,0.19001030575702554,0.3699051705736788
2015-2019,2015-01-01,2019-12-01,60,0.14073956334117693,0.13550305159572384,0.10513475224531857,0.18886530839462645
2020-2022,2020-01-01,2022-12-01,36,0.11081779187114282,0.11016308419123477,0.10696160376434541,0.1165676722983775
2023-2026,2023-01-01,2026-06-01,42,0.1111870196816591,0.11367192890994295,0.10006199422236332,0.11768439083998629
