intento,convergencia,log_verosimilitud
1,0,4.242564489621633
2,0,4.24263800088145
3,0,6.2849359656736175
4,0,6.284541710194088
5,0,6.284941677210476
6,0,6.284938538556641
7,0,6.284941677256292
