variable,medida,observaciones,fecha_inicial,fecha_final,logLik_constante,logLik_TVP,LR_referencial,H,Q_c0,Q_c,p_LB_expectativas_12,lambda_promedio,lambda_inicial,lambda_final,lambda_min,lambda_max,porcentaje_lambda_0_1,correlacion_con_base,RMSE_con_base,max_diferencia_con_base
infl_interanual_base,Inflación interanual de la base,197,2010-02-01,2026-06-01,2.3535233449791964,30.96328655853511,57.21952642711183,0.02871160638055532,0.0029241195753064012,2.5115232324564147e-5,0.2000449418189133,0.8287566962477303,0.7534867776356037,0.8813553479315536,0.7525401481360774,0.8894481595992787,100,1,0,0
infl_interanual_ipc,Inflación interanual calculada desde IPC,185,2011-02-01,2026-06-01,54.66475296757543,67.75822828981103,26.186950644471196,0.016093259631343806,0.003383054343041523,3.7018287555196746e-5,0.27952776591729533,0.8298143288930151,0.7356105967849542,0.880923046403229,0.7346922824906179,0.8915216255176857,100,0.9965911647757276,0.00745547503360909,0.022615993581548754
infl_mensual_sa_anualizada,Inflación mensual desestacionalizada anualizada,196,2010-03-01,2026-06-01,6.670593938319222,40.39402033243219,67.44685278822594,0.002056183854846305,0.032368741793015944,1.000000000000001e-12,0.10850080845516485,0.997921122234682,0.9979211204015996,0.9979211257395302,0.997921120036821,0.9979211260232527,100,0.8676163446730617,0.1743343728706676,0.24538097226552225
infl_3m_sa_anualizada,Inflación de tres meses desestacionalizada anualizada,194,2010-05-01,2026-06-01,52.04711817021287,44.402513733530256,-15.289208873365226,0.008961936168822404,0.019064165525545004,3.628587719201446e-6,0.008661474055128515,0.9823547228418394,0.9675396079242826,0.9854593649389621,0.9675396079242826,0.988831669113933,100,0.8754262733243154,0.15716021802290672,0.2136654941929068
infl_subyacente,Inflación subyacente interanual,197,2010-02-01,2026-06-01,1.3214577775981258,17.66840179425828,32.693888033320306,0.030008329464638554,0.006369637283464767,6.226767397533692e-12,0.34634211189363007,0.7093335615915619,0.7093335536357797,0.7093335667868832,0.7093335533299457,0.7093335675497188,100,0.9305678596196697,0.12722723396755664,0.18011459433449573
