codigo,porcentaje_estable,radio_espectral_max
BASE,100,0.9547959236931222
M3AA,100,0.7396360809179219
MSA,100,0.9339619286175422
MSAA,100,0.9339645142395319
SUBY,100,0.9849822874235397
YOYIPC,100,0.953944848138465
