fecha,inflacion,expectativa,meta_inflacion,a0_t,a_t,b_t,c0_t,c_t,d_t,lambda_t,lambda_se,pi_estrella_t,pi_estrella_se,codigo,medida,lambda_li_95,lambda_ls_95,pi_estrella_li_95,pi_estrella_ls_95,brecha_ancla_meta,lambda_fuera_0_1
2011-02-01,5.24,5.81,5,0.3704179864640751,0.9603086455870834,-0.05098753323792867,3.6819916790807166,0.20420917359494795,0.2042428385721825,0.7433775233281747,0.044998009943259344,6.224333029294306,0.1543927435655393,BASE,Interanual base,0.6551830444634112,0.8315720021929383,5.921728812431521,6.526937246157091,1.2243330292943062,FALSE
2011-03-01,4.99,6.13,5,0.3704179864640751,0.9603086455870835,-0.05098753323792868,3.6963750796100343,0.20495378398333627,0.20424283857215642,0.7424417976765884,0.04428253822183022,6.256523271072914,0.13587346292459554,BASE,Interanual base,0.6556496176177828,0.8292339777353939,5.990216177285968,6.52283036485986,1.256523271072914,FALSE
2011-04-01,5.76114812916453,6.19,5,0.370417986464059,0.960308645587074,-0.050987533237912296,3.6738565921389608,0.2036554746070266,0.2042428385723607,0.744073337346213,0.043493934909965344,6.204773054889165,0.12335215837351449,BASE,Interanual base,0.6588267913767516,0.8293198833156743,5.963007267061795,6.446538842716534,1.2047730548891646,FALSE
2011-05-01,6.3930220625962,5.74,5,0.37041798646372737,0.96030864558687,-0.050987533237787375,3.598465852177258,0.199569762025334,0.20424283857221326,0.749207708458123,0.04244818717211364,6.035796556223651,0.11157980856531358,BASE,Interanual base,0.6660107903917651,0.8324046265244809,5.817104150033762,6.254488962413539,1.0357965562236506,FALSE
2011-06-01,6.42229936695938,6.16,5,0.3704179864601293,0.9603086455871086,-0.050987533237474736,3.58119120678991,0.19902139021979176,0.2042428385722177,0.7498968279937326,0.041442459157171686,6.001301379235896,0.10875624010048757,BASE,Interanual base,0.668671100614904,0.8311225553725612,5.78814306554495,6.214459692926842,1.0013013792358958,FALSE
2011-07-01,7.03967446592064,5.88,5,0.3704179864598876,0.9603086455870897,-0.0509875332374321,3.535313501828416,0.1965410940011328,0.20424283857220438,0.7530137289013059,0.04052019391908568,5.899897706366323,0.10966338775181426,BASE,Interanual base,0.6735956081733191,0.8324318496292927,5.6849614159501165,6.114833996782529,0.8998977063663229,FALSE
2011-08-01,7.6258261311642,5.95,5,0.37041798645999974,0.9603086455870893,-0.050987533237446314,3.5269090626021433,0.19660342988102295,0.2042428385722066,0.7529353935963758,0.03965169117593206,5.886484347676686,0.11269716254148873,BASE,Interanual base,0.6752195069654443,0.8306512802273074,5.665601967935512,6.10736672741786,0.8864843476766859,FALSE
2011-09-01,7.24931562404949,6.43,5,0.370417986459957,0.9603086455870897,-0.05098753323741789,3.5530315530191294,0.19923368861904986,0.20424283857220704,0.7496300400720575,0.03900275706533169,5.956230919614289,0.11437533711757883,BASE,Interanual base,0.6731860409262422,0.8260740392178727,5.732059378144208,6.180402461084371,0.9562309196142893,FALSE
2011-10-01,6.65,6.51,5,0.3704179864601096,0.9603086455870877,-0.050987533237460525,3.548781708833988,0.19941693303316427,0.20424283857220604,0.7493997632702938,0.03879138889092591,5.950934617286245,0.11294495339798312,BASE,Interanual base,0.6733700381337918,0.8254294884067958,5.729566576390644,6.172302658181847,0.9509346172862454,FALSE
2011-11-01,6.05484387510006,6.06,5,0.3704179864604528,0.960308645587087,-0.05098753323750316,3.501384042310629,0.19629551331155184,0.20424283857220082,0.7533223415051074,0.03888927870793692,5.840880819170674,0.11199173708064747,BASE,Interanual base,0.6771007558528106,0.8295439271574041,5.621381047926526,6.060380590414821,0.8408808191706738,FALSE
2011-12-01,6.2,5.62,5,0.3704179864603932,0.9603086455870887,-0.050987533237499605,3.4702750257372967,0.1943184944413571,0.20424283857219905,0.7558067914931512,0.039143677762296804,5.769956632694377,0.10948599629549614,BASE,Interanual base,0.6790865928566081,0.8325269901296943,5.5553680231437195,5.984545242245035,0.7699566326943774,FALSE
2012-01-01,5.44,5.95,4.5,0.3704179864603759,0.9603086455870893,-0.05098753323749605,3.4955917693238594,0.19595101511920754,0.20424283857219927,0.7537552602509802,0.03938598367461343,5.827869205470627,0.10741469885723165,BASE,Interanual base,0.6765601507530553,0.830950369748905,5.617340264300237,6.038398146641017,1.327869205470627,FALSE
2012-02-01,5.17,6.11,4.5,0.37041798646030405,0.9603086455870883,-0.0509875332374925,3.501357209858514,0.19630286108626963,0.20424283857219966,0.7533131078153918,0.039757009750742846,5.840907651948889,0.11067665560662578,BASE,Interanual base,0.6753908005709282,0.8312354150598555,5.6239853930305594,6.057829910867219,1.3409076519488892,FALSE
2012-03-01,4.55,5.47,4.5,0.3704179864602867,0.9603086455870883,-0.0509875332374925,3.43769593798462,0.19266448617371051,0.2042428385721995,0.7578853254326746,0.040080861193549845,5.700112236541886,0.11469505338541315,BASE,Interanual base,0.6793282810239678,0.8364423698413814,5.475314062701578,5.924910410382195,1.2001122365418864,FALSE
2012-04-01,4.27,5.54,4.5,0.37041798646029006,0.9603086455870883,-0.05098753323748895,3.419186206515139,0.19149234679726743,0.20424283857219971,0.7593583117069544,0.04049894434768755,5.658423465555811,0.12107398827834497,BASE,Interanual base,0.6799818393735949,0.838734784040314,5.42112280906563,5.8957241220459915,1.1584234655558108,FALSE
2012-05-01,3.9,5.28,4.5,0.3704179864602444,0.9603086455870878,-0.050987533237485394,3.372455511034927,0.18896359846974584,0.20424283857220016,0.7625361006733575,0.04083282639002216,5.557830070896872,0.12747557056992204,BASE,Interanual base,0.6825052315619374,0.8425669697847776,5.307982543671131,5.807677598122614,1.0578300708968724,FALSE
2012-06-01,3.47,5.11,4.5,0.3704179864602349,0.9603086455870876,-0.05098753323748362,3.3323015670768026,0.18673154549624438,0.2042428385722006,0.7653410430373024,0.04114831277310224,5.471529406821045,0.1345441942038388,BASE,Interanual base,0.6846918319774326,0.8459902540971723,5.207827631852558,5.735231181789532,0.9715294068210447,FALSE
2012-07-01,2.86,4.9,4.5,0.370417986460242,0.9603086455870876,-0.050987533237485394,3.298323691783375,0.18475396930197546,0.2042428385722007,0.7678261933948821,0.041426560632720856,5.398210245527083,0.14215692329786486,BASE,Interanual base,0.6866316265513844,0.8490207602383798,5.1195877957102445,5.676832695343921,0.8982102455270828,FALSE
2012-08-01,2.71,4.55,4.5,0.3704179864602433,0.9603086455870877,-0.05098753323748495,3.282070046979321,0.1834261760413552,0.2042428385722006,0.76949478442363,0.04163450329683222,5.359960748855449,0.14985565341176543,BASE,Interanual base,0.6878926574476247,0.8510969113996352,5.066249065288671,5.653672432422226,0.8599607488554488,FALSE
2012-09-01,3.28,5.17,4.5,0.37041798646024393,0.9603086455870876,-0.05098753323748495,3.3207286965664378,0.1837576145707456,0.20424283857220105,0.7690782772962599,0.04169468002527641,5.426031299565767,0.15737182683929465,BASE,Interanual base,0.6873582060997966,0.8507983484927232,5.117588186779476,5.734474412352058,0.9260312995657669,FALSE
2012-10-01,3.35,4.76,4.5,0.37041798646024227,0.9603086455870877,-0.050987533237484506,3.2693843366051167,0.1815121519500421,0.20424283857220116,0.7719000710915862,0.041548295848852466,5.322606266487719,0.15042768563552683,BASE,Interanual base,0.6904669076088203,0.8533332345743521,5.027773420364373,5.617439112611065,0.8226062664877194,FALSE
2012-11-01,3.11,4.82,4.5,0.3704179864602398,0.9603086455870876,-0.050987533237484506,3.252310658779343,0.18045428342370914,0.2042428385722012,0.7732294572128934,0.04140038739509927,5.285706885248352,0.14660802395133965,BASE,Interanual base,0.6920861889724927,0.854372725453294,4.998360438459141,5.5730533320375635,0.7857068852483522,FALSE
2012-12-01,3.45,4.93,4.5,0.3704179864602358,0.9603086455870873,-0.050987533237483174,3.2371626141474983,0.17946456865530938,0.2042428385722012,0.774473196906827,0.041222845025154616,5.252639171898225,0.14266087378483153,BASE,Interanual base,0.6936779053172478,0.8552684884964062,4.97302899727694,5.532249346519509,0.7526391718982248,FALSE
2013-01-01,3.86,4.83,4,0.37041798646023605,0.9603086455870872,-0.05098753323748362,3.1899679404133323,0.17742188829524472,0.20424283857220127,0.7770401613767409,0.040923015658649586,5.158961616814461,0.13299804068717777,BASE,Interanual base,0.696832524547019,0.8572477982064628,4.8982902470532,5.4196329865757225,1.1589616168144614,FALSE
2013-02-01,4.18,4.61,4,0.3704179864602384,0.9603086455870875,-0.05098753323748273,3.138292271781025,0.17521587830405475,0.20424283857220127,0.77981237644199,0.04056733273178528,5.057346476584393,0.12275626237446766,BASE,Interanual base,0.700301865338838,0.859322887545142,4.816748623453687,5.297944329715099,1.0573464765843932,FALSE
2013-03-01,4.34,4.66,4,0.37041798646023927,0.9603086455870876,-0.05098753323748273,3.1273794476245587,0.17467222120497441,0.2042428385722011,0.7804955711720316,0.040240138743136374,5.035349024084466,0.11699282039462174,BASE,Interanual base,0.7016263485025894,0.8593647938414738,4.806047309661245,5.2646507385076875,1.035349024084466,FALSE
2013-04-01,4.13,4.93,4,0.37041798646024177,0.960308645587088,-0.050987533237484506,3.1461280190068943,0.17543846759448967,0.2042428385722011,0.7795326563197915,0.03997476992050297,5.07179301588534,0.1150270055224206,BASE,Interanual base,0.7011835469853306,0.8578817656542524,4.8463442278119055,5.297241803958774,1.0717930158853397,FALSE
2013-05-01,4.27,4.83,4,0.37041798646024254,0.9603086455870878,-0.050987533237484506,3.149797842405253,0.17551331864255298,0.2042428385722012,0.7794385936437749,0.0397615672223446,5.078321823012187,0.11316735726563754,BASE,Interanual base,0.7015073539191111,0.8573698333684386,4.856517878545961,5.300125767478414,1.0783218230121872,FALSE
2013-06-01,4.79,5.21,4,0.3704179864602412,0.9603086455870878,-0.050987533237485394,3.1644700196913496,0.17606824248817338,0.2042428385722012,0.7787412403901457,0.039521890399632296,5.1065460797753195,0.11175672919438953,BASE,Interanual base,0.7012797586059271,0.8562027221743643,4.88750691552432,5.325585244026319,1.1065460797753195,FALSE
2013-07-01,4.74,4.81,4,0.37041798646024526,0.9603086455870883,-0.05098753323748628,3.1136153421492425,0.17366706964597056,0.20424283857220116,0.7817587097370686,0.03921975525844259,5.0050874998362955,0.10662949124645825,BASE,Interanual base,0.7048894019480457,0.8586280175260915,4.7960975373034085,5.214077462369183,1.0050874998362955,FALSE
2013-08-01,4.42,4.89,4,0.3704179864602471,0.9603086455870884,-0.05098753323748628,3.1053294681874246,0.17342015817671472,0.2042428385722012,0.7820689946848193,0.03910843787014624,4.989787610193844,0.1060623268326483,BASE,Interanual base,0.7054178649677103,0.8587201244019282,4.781909269485337,5.19766595090235,0.9897876101938436,FALSE
2013-09-01,4.21,4.91,4,0.3704179864602397,0.9603086455870881,-0.05098753323748584,3.1012557895164305,0.17338418638444766,0.2042428385722012,0.7821141991693161,0.03910285704833936,4.982953813668426,0.10705687717065124,BASE,Interanual base,0.7054740076619528,0.8587543906766795,4.7731261901166215,5.192781437220231,0.9829538136684262,FALSE
2013-10-01,4.15,4.71,4,0.37041798646024515,0.9603086455870886,-0.050987533237486726,3.0878746142706794,0.17291357769553875,0.2042428385722012,0.782705596534895,0.03909766237393375,4.957704783225407,0.10778926780371295,BASE,Interanual base,0.7060755864022781,0.859335606667512,4.746441700410187,5.168967866040627,0.9577047832254069,FALSE
2013-11-01,4.63,4.7,4,0.370417986460244,0.9603086455870887,-0.05098753323748628,3.0976718643264625,0.17347391866731554,0.20424283857220127,0.782001435769604,0.039061170786914276,4.977913032954282,0.10904225582032727,BASE,Interanual base,0.705442947833284,0.858559923705924,4.764194138753438,5.191631927155126,0.977913032954282,FALSE
2013-12-01,4.39,5.19,4,0.37041798646024077,0.9603086455870886,-0.05098753323748628,3.124440771711996,0.17477838102777607,0.20424283857220132,0.7803621638614254,0.038971869022918965,5.0314775163481285,0.11057824877518044,BASE,Interanual base,0.703978704166292,0.8567456235565588,4.814748131275264,5.248206901420993,1.0314775163481285,FALSE
2014-01-01,4.14,4.94,4,0.37041798646024054,0.9603086455870884,-0.050987533237485394,3.0879930696392286,0.17299052910074483,0.20424283857220144,0.7826088944140268,0.03897679476082992,4.958507584294482,0.11073384091108024,BASE,Interanual base,0.7062157804499907,0.859002008378063,4.741473244238977,5.175541924349988,0.9585075842944821,FALSE
2014-02-01,3.5,4.68,4,0.37041798646023977,0.9603086455870882,-0.050987533237484506,3.044601173084503,0.1708806015679297,0.2042428385722016,0.7852603660376429,0.0390955335883014,4.872324181542781,0.11260994565691924,BASE,Interanual base,0.7086345282481962,0.8618862038270897,4.651612743754207,5.093035619331355,0.8723241815427807,FALSE
2014-03-01,3.25,4.54,4,0.3704179864602418,0.9603086455870881,-0.05098753323748495,3.0184868047296427,0.16952638093640418,0.2042428385722015,0.7869621674126952,0.03929274706894102,4.820086937216787,0.11665573710480417,BASE,Interanual base,0.709949798303929,0.8639745365214614,4.591445893901398,5.048727980532176,0.8200869372167867,FALSE
2014-04-01,3.27,4.66,4,0.3704179864602412,0.9603086455870881,-0.050987533237485394,2.9982773848153688,0.16839051150886333,0.2042428385722015,0.7883895745195353,0.0394149663484535,4.779146907478728,0.11984016782283147,BASE,Interanual base,0.7111376600247082,0.8656414890143623,4.544264494644742,5.014029320312713,0.7791469074787276,FALSE
2014-05-01,3.22,4.28,4,0.37041798646024104,0.960308645587088,-0.05098753323748495,2.938142801586198,0.16588375558346746,0.20424283857220127,0.7915397264087097,0.03942555696204724,4.664656063146027,0.11896514040881531,BASE,Interanual base,0.7142670546926648,0.8688123981247546,4.431488672528999,4.897823453763055,0.664656063146027,FALSE
2014-06-01,3.13,4.36,4,0.3704179864602412,0.960308645587088,-0.05098753323748584,2.9105032198681866,0.16449962735021426,0.20424283857220135,0.7932791116135751,0.03939787134219684,4.610643141267401,0.11852030784271839,BASE,Interanual base,0.7160607027153266,0.8704975205118236,4.378347606459073,4.842938676075729,0.6106431412674009,FALSE
2014-07-01,3.41,4.41,4,0.3704179864602402,0.9603086455870878,-0.050987533237485616,2.8731274361901753,0.1627842788656301,0.20424283857220138,0.7954347296434605,0.039302801042146125,4.539100355390005,0.11667098617590273,BASE,Interanual base,0.7184026551093108,0.8724668041776102,4.310429424444465,4.767771286335544,0.5391003553900049,FALSE
2014-08-01,3.7,4.06,4,0.3704179864602395,0.9603086455870878,-0.05098753323748584,2.8065615807660524,0.16010365565152812,0.2042428385722015,0.7988033744311394,0.03912436990328601,4.415238105764293,0.11201774000649868,BASE,Interanual base,0.7221210185028759,0.8754857303594028,4.195687369721984,4.634788841806602,0.4152381057642929,FALSE
2014-09-01,3.45,4.13,4,0.37041798646024,0.9603086455870877,-0.05098753323748584,2.781208067869531,0.15890778169373054,0.20424283857220163,0.8003061871179292,0.038964783054593256,4.367136337686146,0.10966237150626096,BASE,Interanual base,0.7239366156655098,0.8766757585703486,4.1522020390746235,4.582070636297669,0.36713633768614606,FALSE
2014-10-01,3.64,4.17,4,0.37041798646023893,0.9603086455870877,-0.05098753323748606,2.770441760560695,0.15828213143700573,0.20424283857220163,0.8010924197615692,0.03887972410346961,4.345961222356756,0.1099926919312296,BASE,Interanual base,0.724889560789915,0.8772952787332234,4.130379507608937,4.5615429371045755,0.3459612223567561,FALSE
2014-11-01,3.38,4.16,4,0.37041798646023916,0.9603086455870878,-0.05098753323748606,2.757550708687051,0.1575790354893363,0.20424283857220163,0.8019759756775573,0.038802140651042566,4.320973403204601,0.11059981989474807,BASE,Interanual base,0.7259251774784563,0.8780267738766583,4.104201739514278,4.5377450668949235,0.32097340320460077,FALSE
