fecha,ipc,ipc_sa,infl_interanual_base,infl_interanual_ipc,infl_mensual_sa,infl_mensual_sa_anualizada,infl_3m_sa_anualizada,infl_subyacente,exp_inf_24m,meta_inflacion
2011-01-01,57.1192562,57.15091451806299,4.9,4.724974877391874,0.6725166351962741,8.07019962235529,6.445606240227164,3.44,5.85,5
2011-02-01,57.5557571,57.58193830238827,5.24,5.05429581964405,0.7513555210411305,9.016266252493566,6.497176501019908,3.78,5.81,5
2011-03-01,58.0546152,58.05131943972163,4.99,4.765552937782136,0.8118489862985356,9.742187835582428,8.942884570143761,3.84,6.13,5
2011-04-01,58.4854473,58.49135821691229,5.76114812916453,5.606177740459106,0.7551583285872354,9.061899943046823,9.273451343707606,4.15,6.19,5
2011-05-01,58.7745582,58.854718142001374,6.3930220625962,6.2006417891272925,0.6192982291226556,7.431578749471868,8.745222176033707,4.56,5.74,5
2011-06-01,59.0863446,59.0618133539269,6.42229936695938,6.22929132280543,0.35125766036356865,4.215091924362824,6.902856872293839,4.7,6.16,5
2011-07-01,59.64756,59.48961568996726,7.03967446592064,6.798302529205191,0.7217191668310363,8.660630001972436,6.769100225269042,5.18,5.88,5
2011-08-01,60.004697,59.905585667070575,7.6258261311642,7.352947891525119,0.6967979540453584,8.3615754485443,7.079099124959853,5.4,5.95,5
2011-09-01,59.9650151,59.974034324985666,7.24931562404949,6.996365343283983,0.1141956662159771,1.3703479945917252,6.130851148369487,5.38,6.43,5
2011-10-01,59.9423398,59.97379994370031,6.65,6.432642267197952,-3.90805364336444e-4,-0.00468966437203732,3.242411259587996,5.27,6.51,5
2011-11-01,60.0727231,60.08644768746134,6.05484387510006,5.8818313927715415,0.1876520814165339,2.2518249769984067,1.2058277690726982,5.46,6.06,5
2011-12-01,60.2031065,60.287461611625936,6.2,6.015392281310206,0.33398285755623647,4.007794290674838,2.0849765344337357,5.27,5.62,5
2012-01-01,60.2597949,60.29319386000531,5.44,5.352383387403403,0.00950774128947173,0.11409289547366086,2.1245707210489684,4.64,5.95,4.5
2012-02-01,60.5602436,60.58779149571472,5.17,5.088446492358578,0.48741862599630537,5.849023511955664,3.3236368993680543,4.4,6.11,4.5
2012-03-01,60.7586531,60.75520383150058,4.55,4.552530107782715,0.27593260172267264,3.3111912206720717,3.091435876033799,4.25,5.47,4.5
2012-04-01,60.9854068,60.9915703789602,4.27,4.185664357737284,0.38829257854180455,4.6595109425016545,4.60657522504313,4.11,5.54,4.5
2012-05-01,61.0647706,61.14805405834544,3.9,3.822603636672728,0.2562375080580992,3.0748500966971903,3.6818507532903055,3.98,5.28,4.5
2012-06-01,61.1384655,61.113082262098466,3.47,3.414137613532109,-0.05720836277705032,-0.6865003533246039,2.3492868952914137,3.85,5.11,4.5
2012-07-01,61.3538815,61.191418920116654,2.86,2.820519486275952,0.1281010395748794,1.5372124748985527,1.308520739423713,3.56,4.9,4.5
2012-08-01,61.6316548,61.52985617817083,2.71,2.675277268201981,0.5515557359713874,6.618668831656649,2.489793651076866,3.53,4.55,4.5
2012-09-01,61.9321035,61.941418591047174,3.28,3.227736964373751,0.6666553623877469,7.999864348652963,5.385248551736055,3.66,5.17,4.5
