codigo,nombre,correlacion_lambda,MAE_lambda,correlacion_pi_estrella,MAE_pi_estrella
YOYIPC,Interanual calculada desde IPC,0.9999889332469217,0.00652951468116984,0.999955827950907,0.02298886998597532
MSA,Mensual desestacionalizada,0.9903201498051525,2.0059539919074014,0.6907042295000543,7.682647899208706
MSAA,Mensual SA anualizada,0.9831735983947744,0.02223062637635257,0.8258835714295408,0.3381131434557005
M3AA,3 meses SA anualizada,0.3388029912990537,0.15137128785416576,0.9362645417413391,0.17896596752303462
SUBY,Inflación subyacente,0.5720294016182267,0.08668783212684944,0.9164227215878591,0.38124463619679855
