codigo,nombre,observaciones,logLik,AIC,BIC,H_inflacion,H_expectativa,Q_c0,Q_c,lambda_promedio,lambda_inicial,lambda_final,porcentaje_lambda_fuera_0_1,pi_estrella_promedio,MAE_pi_estrella_meta,LB12_inflacion_p,LB12_expectativa_p,correlacion_residuos,convergencia
BASE,Interanual base,185,-97.72851593692918,215.45703187385837,247.6605901246416,0.3318195486512009,0.0159851088789305,0.003409395749079943,3.602042660429197e-5,0.8363438665966416,0.7433775233281747,0.8867048968172344,0,4.45293284586273,0.40850615095317444,1.1102230246251565e-16,0.3273505995034931,0.018749541553219874,0
YOYIPC,Interanual calculada desde IPC,185,-90.19480713696079,200.38961427392158,232.5931725247048,0.30510568915816794,0.016093262311972507,0.0033830586643788414,3.701833999886768e-5,0.8298143519154718,0.7356106212756066,0.8809230598344782,0,4.475921715848705,0.4259764341535938,1.1102230246251565e-16,0.2795275768198129,0.022788378014022077,0
MSA,Mensual desestacionalizada,185,-38.70938488079808,97.41876976159617,129.6223280123794,0.14177502642912143,0.03195594872274247,6.950446760133374e-12,3.5851523705189654e-5,-1.1759162140642778,-1.6874115867932948,NA,100,-3.1562329536614135,7.25989149024678,0.25832227890485937,0.12198890695640163,0.008228412603104578,0
MSAA,Mensual SA anualizada,185,-495.93220878938627,1011.8644175787725,1044.0679758295557,20.41568989674767,0.031956279845404154,3.3177973546357985e-11,2.4884765635121853e-7,0.8231134651752114,0.7760587851568397,0.8585106035076098,0,4.272805720700299,0.2422962556400389,0.25832227890489323,0.12199130305781958,0.008228186041447164,0
M3AA,3 meses SA anualizada,185,-350.7644021001794,721.5288042003588,753.732362451142,4.217356002845827,0.007937542565879675,0.019340773442832127,1.000000000000001e-12,0.9877151544508074,0.9877151533188477,0.9877151539622844,0,4.381184349720386,0.42432771526537255,7.639655574820381e-11,0.20482554176613932,0.015053919911467538,0
SUBY,Inflación subyacente,185,146.2249194489952,-272.4498388979904,-240.24628064720713,0.020250138388367648,0.0017625562008694682,0.0022490404838935826,0.002137001467065874,0.8043116794884423,0.4616318102650907,0.9510183573805181,6.486486486486487,4.719464941711252,0.7587105641766073,0,0.44897275327018726,0.08153078707446938,0
