fecha_inicio,fecha_fin,theta1,se_theta1,p_theta1,theta2,se_theta2,p_theta2,anclaje,se_anclaje,wald_anclaje_perfecto,p_anclaje_perfecto,r2_ajustado,rmse,n,theta1_ic_inf,theta1_ic_sup,theta2_ic_inf,theta2_ic_sup,anclaje_ic_inf,anclaje_ic_sup,restricciones_validas
2010-02-01,2015-01-01,-0.17874147646400385,0.08418758931116783,0.03802107682786729,0.9309842650245259,0.057205007425556516,2.740156806090261e-23,0.24775721143947793,0.09073685005378783,267.1329851084143,9.8357915585583255e-59,0.7679337286765204,0.39598272567644677,60,-0.3437491515138928,-0.013733801414114899,0.8188624504704352,1.0431060795786167,0.0699129853340538,0.4256014375449021,FALSE
2010-03-01,2015-02-01,-0.17110874881652832,0.089059928022803575,0.05961581258765547,0.9329821419282988,0.05767229789199488,3.6467670453024373e-23,0.23812660688822962,0.09926983440051819,261.7899466013148,1.4224446842964977e-57,0.7655447025445408,0.3953609638858091,60,-0.34566620774122336,0.0034487101081666915,0.8199444380599888,1.0460198457966088,0.04355773146321398,0.4326954823132453,FALSE
2010-04-01,2015-03-01,-0.10417329663078388,0.04240298287699216,0.017033707797678148,0.9438197317687201,0.06356743660174977,2.0368666830932127e-21,0.16035356486206365,0.05953796920567143,238.65808112386452,1.499878753375439e-52,0.8477309660804613,0.31249324209674284,60,-0.18728314306968852,-0.02106345019187926,0.8192275560292905,1.0684119075081497,0.04365914521894765,0.27704798450517965,FALSE
2010-05-01,2015-04-01,-0.09154927349456311,0.03939093082220975,0.023643218663939758,0.935035592600664,0.06361098651607101,3.232583499443136e-21,0.15651368089389905,0.05888471139732924,234.87606306624863,9.938273392037779e-52,0.8476251707715523,0.31014308912629107,60,-0.16875549790609423,-0.014343049083032008,0.8103580590291648,1.0597131261721633,0.04109964655513375,0.27192771523266435,FALSE
2010-06-01,2015-05-01,-0.0738344435698542,0.03610239437969538,0.04538697008054264,0.9271022560119204,0.06447968876003324,8.872202089784976e-21,0.1467321875579337,0.05847171929569476,229.21741245332163,1.6829503654145233e-50,0.8537583156730464,0.3026520303766734,60,-0.14459513655405715,-0.0030737505856512637,0.8007220660422553,1.0534824459815857,0.032127617738371986,0.26133675737749545,FALSE
2010-07-01,2015-06-01,-0.07504139124336086,0.03727670457503323,0.04875432932451447,0.9268998150616498,0.06553363873792777,1.8689447876302614e-20,0.1481415761817112,0.05738775754106849,231.72557263477088,4.8021004949633403e-51,0.8533014659763357,0.3027592726882115,60,-0.148103732210426,-0.0019790502762957324,0.7984538831353114,1.055345746987988,0.03566157140121695,0.26062158096220545,FALSE
2010-08-01,2015-07-01,-0.07468341777728517,0.03588702167609594,0.04185269972704095,0.9252953985245834,0.0652102238184643,1.6161176370880164e-20,0.14938801925270184,0.055938319729999735,238.5565400448875,1.5779946203277757e-52,0.8547503065503719,0.30196459614069654,60,-0.1450219802624332,-0.004344855292137129,0.7974833598403934,1.0531074372087734,0.03974891258190237,0.2590271259235013,FALSE
2010-09-01,2015-08-01,-0.06459417598628041,0.03262237127417752,0.0524481310209789,0.9216138391336869,0.06539033946203243,2.1918325453663466e-20,0.1429803368525936,0.055020901404456465,244.01594313258764,1.0294640864210181e-53,0.8651370544580064,0.29153166328343977,60,-0.12853402368366834,-6.543282888924751e-4,0.7934487737881033,1.0497789044792705,0.035139370099858916,0.2508213036053283,FALSE
2010-10-01,2015-09-01,-0.06245320885310915,0.03221483856593986,0.05741554557426261,0.9145553566120233,0.06437175874522355,1.5261124070524417e-20,0.14789785224108587,0.05320665107381048,256.9093207581021,1.6324873423738736e-56,0.8665825398517087,0.28958531688852124,60,-0.12559429244235126,6.87874736132979e-4,0.7883867094713851,1.0407240037526615,0.043612816136417334,0.2521828883457544,FALSE
2010-11-01,2015-10-01,-0.06270222349017038,0.03398415772544835,0.07013880899073083,0.9146030521295277,0.06790968490682325,1.66688739661272e-19,0.14809917136064266,0.052356554040029674,266.87187230455237,1.1207512746577785e-58,0.8656386774514652,0.28958667109319225,60,-0.12931117263204914,0.0039067256517083815,0.7815000697121541,1.0477060345469014,0.0454803254421845,0.2507180172791008,FALSE
2010-12-01,2015-11-01,-0.059784500084809955,0.03481736373649512,0.09129905242190799,0.9002267348389876,0.06602700690196066,9.67780617289981e-20,0.15955776524582244,0.050297381647689855,280.76462595125173,1.0782913413990198e-61,0.8631642205997088,0.28809469868072074,60,-0.12802653300834038,0.008457532838720472,0.7708138013111447,1.0296396683668305,0.06097489721635033,0.2581406332752946,FALSE
