modelo,intento,convergencia,log_verosimilitud
M0,1,0,-184.446487804377
M0,2,0,-184.44648780437794
M0,3,0,-220.92727980056964
M3,1,0,-162.2753606223401
M3,2,0,-146.33274507356032
M3,3,0,-146.3327450734957
M3,4,0,-146.33274507587277
M3,5,0,-146.3327450739999
M3,6,0,-146.3327450752034
M3,7,0,-146.33274507389515
M3,8,0,-146.33274509235386
M3,9,0,-146.33274514884286
