modelo,descripcion,log_verosimilitud,parametros_contados,AIC,BIC
VAR,VAR(1) constante,-184.44648780437643,8,384.89297560875286,411.15860543865676
TVP-VAR,TVP-VAR restringido: c0_t y c_t variantes,-146.33274507349557,10,312.66549014699115,345.497527434371
