fecha,inflacion,expectativa,meta_inflacion,a0_t,a_t,b_t,c0_t,c_t,d_t,c0_se,c_se,c0_li_95,c0_ls_95,c_li_95,c_ls_95,lambda_t,lambda_se,pi_estrella_t,pi_estrella_se,denominador_lambda,denominador_ancla,lambda_li_95,lambda_ls_95,pi_estrella_li_95,pi_estrella_ls_95,lambda_fuera_0_1,lambda_no_distinta_de_1,brecha_ancla_meta,banda_inferior,banda_superior,ancla_dentro_banda_meta,radio_espectral,estable
2010-02-01,2.48,4.25,5,0.2961636298995572,0.9455722819098648,-0.016130876850479287,3.602240941291651,0.18438591434244292,0.2520246348694647,0.27908138155537127,0.03965647154535847,3.0552514846874423,4.14923039789586,0.10666065835960287,0.26211117032528297,0.753486648172879,0.0463857756300804,6.391604626833373,0.2761636386237137,0.7479753651305353,0.5635894507880924,0.6625721985429658,0.8444010978027923,5.850333841291359,6.932875412375386,FALSE,FALSE,1.3916046268333728,4,6,FALSE,0.9412568911980829,TRUE
2010-03-01,3.93,6.26,5,0.2961636298995572,0.9455722819098648,-0.016130876850479328,3.659889548901746,0.1850939719957117,0.252024634869465,0.28188584549819123,0.03931469160053194,3.107403443973669,4.212375653829823,0.10803859239536974,0.2621493515960537,0.752540015855456,0.04582108085995856,6.502061701700479,0.2603708526908342,0.747975365130535,0.5628813931348233,0.6627323476372396,0.8423476840736724,5.99174420780246,7.012379195598498,FALSE,FALSE,1.5020617017004794,4,6,FALSE,0.9412402149130039,TRUE
2010-04-01,3.75,5.81,5,0.2961636298995558,0.9455722819098689,-0.01613087685048071,3.6085673799571785,0.18348086745530184,0.2520246348694606,0.2902404794876374,0.038979645232638985,3.039706493305773,4.177428266608584,0.10708216666918104,0.25987956824142266,0.754696643754731,0.04525013607381029,6.392564311642314,0.2314450922532138,0.7479753651305394,0.5644944976752375,0.6660080067545262,0.8433852807549358,5.938940266427465,6.846188356857163,FALSE,FALSE,1.3925643116423139,4,6,FALSE,0.9412782058222404,TRUE
2010-05-01,3.51,5.7,5,0.29616362989958767,0.9455722819098663,-0.01613087685048953,3.5671568553694675,0.1822023290832778,0.25202463486945703,0.2941374153842496,0.03862272818412056,2.990658114710641,4.143655596028294,0.10650317285772143,0.25790148530883417,0.7564059759488492,0.04473947465955397,6.304925523300238,0.2129448766779435,0.747975365130543,0.5657730360472651,0.668718216928881,0.8440937349688173,5.887561234319145,6.72228981228133,FALSE,FALSE,1.3049255233002377,4,6,FALSE,0.9413083142281576,TRUE
2010-06-01,4.07,5.45,5,0.29616362989956463,0.9455722819098583,-0.016130876850482423,3.5272412766792614,0.1809719411784235,0.25202463486945526,0.29614616960073903,0.03825148510321855,2.9468054501023224,4.107677103256201,0.10600040802094476,0.25594347433590225,0.7580509337405272,0.04424755441793889,6.220846519927026,0.1986484573023743,0.7479753651305447,0.5670034239521212,0.6713273206773909,0.8447745468036636,5.831502698029929,6.610190341824122,FALSE,FALSE,1.2208465199270258,4,6,FALSE,0.9413372862358995,TRUE
2010-07-01,4.12,5.11,5,0.29616362989958994,0.9455722819098606,-0.01613087685048953,3.5024998287376903,0.18019901493191207,0.25202463486945614,0.2968801726591272,0.0378339899356282,2.9206253826017683,4.084374274873612,0.10604575726662993,0.2543522725971942,0.7590842916324363,0.04371109971709538,6.1688019015099345,0.18635826630387053,0.7479753651305439,0.5677763501986318,0.6734121104622904,0.8447564728025821,5.8035464113330235,6.534057391686845,FALSE,FALSE,1.1688019015099345,4,6,FALSE,0.9413554851171424,TRUE
2010-08-01,4.1,5.57,5,0.29616362989958234,0.9455722819098595,-0.016130876850482423,3.528623986128261,0.18120421409507775,0.2520246348694619,0.2980122859893921,0.03744758625798105,2.944530638638602,4.11271733361792,0.10780829372147786,0.25460013446867763,0.7577403982236051,0.043180929467678916,6.225835559346406,0.181217586448099,0.7479753651305381,0.5667711510354603,0.6731073316479901,0.84237346479922,5.870655616542858,6.5810155021499535,FALSE,FALSE,1.2258355593464056,4,6,FALSE,0.9413318170811344,TRUE
2010-09-01,3.76,5.68,5,0.2961636298995722,0.9455722819098552,-0.01613087685047887,3.554038413245175,0.18218429819314597,0.2520246348694619,0.3015118083391553,0.037121144076827,2.9630861279868874,4.144990698503463,0.10942819273764272,0.2549404036486492,0.7564300822108616,0.042683119009044465,6.28153857656867,0.17702635169934497,0.7479753651305381,0.5657910669373921,0.6727727062052975,0.8400874582164257,5.934573302923433,6.6285038502139075,FALSE,FALSE,1.2815385765686704,4,6,FALSE,0.9413087388201471,TRUE
2010-10-01,4.51,5.89,5,0.2961636298995698,0.9455722819098548,-0.016130876850477094,3.581975654792091,0.1832532231861612,0.25202463486946236,0.3052190408599053,0.03678847508458579,2.9837573273108178,4.180193982273365,0.11114913697422393,0.2553573093980984,0.7550009910364098,0.04217100356531451,6.342899257427923,0.17300040995390603,0.7479753651305376,0.5647221419443764,0.6723473428564832,0.8376546392163364,6.003824684607602,6.681973830248243,FALSE,FALSE,1.3428992574279226,4,6,FALSE,0.941283566829642,TRUE
2010-11-01,5.25,6.22,5,0.29616362989957185,0.9455722819098541,-0.016130876850477094,3.5908178470160257,0.18370547878990226,0.25202463486946225,0.3088504932809725,0.036385773080222825,2.9854820035778897,4.196153690454162,0.11239067400301851,0.255020283576786,0.7543963513319163,0.04157855243306968,6.3636531630333,0.16466608378767775,0.7479753651305378,0.5642698863406355,0.6729038860337895,0.8358888166300431,6.040913569334196,6.6863927567324035,FALSE,FALSE,1.3636531630333,4,6,FALSE,0.9412729161579684,TRUE
