subperiodo,fecha_inicial,fecha_final,observaciones,lambda_promedio,pi_estrella_promedio,meta_promedio,brecha_ancla_meta_promedio,c0_promedio,c_promedio,d_promedio,radio_espectral_maximo
2010-2014,2010-02-01,2014-12-01,59,0.7739177296811646,5.473579176416222,4.491525423728813,0.9820537526874082,3.1613551766137253,0.16910396869127192,0.25202463486946214,0.9421066368837347
2015-2019,2015-01-01,2019-12-01,60,0.8222558603354015,4.341052905363557,4,0.34105290536355665,2.6709623317993834,0.13294823776544126,0.2520246348694625,0.9429702537471703
2020-2022,2020-01-01,2022-12-01,36,0.8680569365529687,4.127319035050277,4,0.1273190350502773,2.6793726302265655,0.09869016105823494,0.2520246348694625,0.9435180143970919
2023-2026,2023-01-01,2026-06-01,42,0.8813932554279841,3.989819774182986,4,-0.010180225817014004,2.6302112954964474,0.08871492307819798,0.25202463486946247,0.9436436731269435
