fecha,raiz_1_real,raiz_1_imaginaria,raiz_2_real,raiz_2_imaginaria,radio_espectral,estable
2010-02-01,0.9412568911981071,0,0.25634002558103935,0,0.9412568911981071,TRUE
2010-03-01,0.9412402149130285,0,0.2563567018661181,0,0.9412402149130285,TRUE
2010-04-01,0.9412782058222591,0,0.25631871095688613,0,0.9412782058222591,TRUE
2010-05-01,0.9413083142281806,0,0.25628860255096736,0,0.9413083142281806,TRUE
2010-06-01,0.9413372862359408,0,0.2562596305432213,0,0.9413372862359408,TRUE
2010-07-01,0.9413554851171668,0,0.2562414316619775,0,0.9413554851171668,TRUE
2010-08-01,0.9413318170811354,0,0.2562650996979739,0,0.9413318170811354,TRUE
2010-09-01,0.941308738820148,0,0.25628817795895853,0,0.941308738820148,TRUE
2010-10-01,0.9412835668296435,0,0.25631334994946364,0,0.9412835668296435,TRUE
2010-11-01,0.9412729161579708,0,0.25632400062113575,0,0.9412729161579708,TRUE
2010-12-01,0.9412916468240943,0,0.25630526995501374,0,0.9412916468240943,TRUE
2011-01-01,0.9413216961559425,0,0.25627522062316793,0,0.9413216961559425,TRUE
2011-02-01,0.9413267658025306,0,0.25627015097657824,0,0.9413267658025306,TRUE
2011-03-01,0.9413242043889909,0,0.2562727123901186,0,0.9413242043889909,TRUE
2011-04-01,0.9413427572705108,0,0.25625415950859814,0,0.9413427572705108,TRUE
2011-05-01,0.9413867577513768,0,0.2562101590277305,0,0.9413867577513768,TRUE
2011-06-01,0.9413954538714573,0,0.25620146290765,0,0.9413954538714573,TRUE
2011-07-01,0.9414230359728606,0,0.256173880806249,0,0.9414230359728606,TRUE
2011-08-01,0.9414232123147482,0,0.2561737044643623,0,0.9414232123147482,TRUE
2011-09-01,0.9413995675741275,0,0.2561973492049838,0,0.9413995675741275,TRUE
2011-10-01,0.9414044183034898,0,0.25619249847562214,0,0.9414044183034898,TRUE
2011-11-01,0.9414425016545556,0,0.2561544151245562,0,0.9414425016545556,TRUE
2011-12-01,0.9414677319777152,0,0.256129184801396,0,0.9414677319777152,TRUE
2012-01-01,0.9414577717689299,0,0.2561391450101813,0,0.9414577717689299,TRUE
2012-02-01,0.9414642019638801,0,0.2561327148152312,0,0.9414642019638801,TRUE
2012-03-01,0.9415099779113812,0,0.2560869388677297,0,0.9415099779113812,TRUE
2012-04-01,0.9415318221541167,0,0.256065094624994,0,0.9415318221541167,TRUE
2012-05-01,0.9415669812722465,0,0.25602993550686415,0,0.9415669812722465,TRUE
2012-06-01,0.941598410113931,0,0.25599850666517926,0,0.941598410113931,TRUE
2012-07-01,0.9416262783726943,0,0.25597063840641604,0,0.9416262783726943,TRUE
2012-08-01,0.9416466577369014,0,0.25595025904220886,0,0.9416466577369014,TRUE
2012-09-01,0.9416506904662347,0,0.2559462263128755,0,0.9416506904662347,TRUE
2012-10-01,0.9416796283838178,0,0.25591728839529254,0,0.9416796283838178,TRUE
2012-11-01,0.9416967430244102,0,0.25590017375470014,0,0.9416967430244102,TRUE
2012-12-01,0.941713658179171,0,0.2558832585999395,0,0.941713658179171,TRUE
2013-01-01,0.9417402893030045,0,0.2558566274761061,0,0.9417402893030045,TRUE
2013-02-01,0.9417672941240105,0,0.25582962265510006,0,0.9417672941240105,TRUE
2013-03-01,0.9417769580672473,0,0.2558199587118629,0,0.9417769580672473,TRUE
2013-04-01,0.9417735832855901,0,0.25582333349352004,0,0.9417735832855901,TRUE
2013-05-01,0.9417769364501203,0,0.25581998032898984,0,0.9417769364501203,TRUE
2013-06-01,0.9417756917674162,0,0.25582122501169385,0,0.9417756917674162,TRUE
2013-07-01,0.9418031234686178,0,0.255793793310492,0,0.9418031234686178,TRUE
2013-08-01,0.9418092230283008,0,0.25578769375080873,0,0.9418092230283008,TRUE
2013-09-01,0.9418136796360036,0,0.25578323714310613,0,0.9418136796360036,TRUE
2013-10-01,0.9418220595455521,0,0.2557748572335576,0,0.9418220595455521,TRUE
2013-11-01,0.9418205337509854,0,0.25577638302812417,0,0.9418205337509854,TRUE
2013-12-01,0.9418135403644424,0,0.25578337641466714,0,0.9418135403644424,TRUE
2014-01-01,0.9418393185785191,0,0.2557575982005903,0,0.9418393185785191,TRUE
2014-02-01,0.9418689899690156,0,0.25572792681009404,0,0.9418689899690156,TRUE
2014-03-01,0.941892255781533,0,0.2557046609975767,0,0.941892255781533,TRUE
2014-04-01,0.9419141511135227,0,0.2556827656655871,0,0.9419141511135227,TRUE
2014-05-01,0.9419495791072804,0,0.2556473376718291,0,0.9419495791072804,TRUE
2014-06-01,0.9419741553203781,0,0.2556227614587314,0,0.9419741553203781,TRUE
2014-07-01,0.9420022785899826,0,0.2555946381891269,0,0.9420022785899826,TRUE
2014-08-01,0.9420390596930337,0,0.25555785708607553,0,0.9420390596930337,TRUE
2014-09-01,0.9420605479314856,0,0.2555363688476236,0,0.9420605479314856,TRUE
2014-10-01,0.9420763061915594,0,0.25552061058755,0,0.9420763061915594,TRUE
2014-11-01,0.9420923666444179,0,0.2555045501346916,0,0.9420923666444179,TRUE
2014-12-01,0.9421066368837356,0,0.25549027989537393,0,0.9421066368837356,TRUE
2015-01-01,0.9421267919585914,0,0.25547012482051806,0,0.9421267919585914,TRUE
2015-02-01,0.942137393822313,0,0.25545952295679647,0,0.942137393822313,TRUE
2015-03-01,0.9421577650532649,0,0.2554391517258446,0,0.9421577650532649,TRUE
2015-04-01,0.9421888076214324,0,0.25540810915767703,0,0.9421888076214324,TRUE
2015-05-01,0.9422182494292041,0,0.25537866734990544,0,0.9422182494292041,TRUE
2015-06-01,0.9422381408135068,0,0.2553587759656031,0,0.9422381408135068,TRUE
2015-07-01,0.9422589856986302,0,0.25533793108047925,0,0.9422589856986302,TRUE
2015-08-01,0.942276821526079,0,0.2553200952530306,0,0.942276821526079,TRUE
2015-09-01,0.9422828701703059,0,0.2553140466088037,0,0.9422828701703059,TRUE
2015-10-01,0.9422871581338265,0,0.2553097586452833,0,0.9422871581338265,TRUE
2015-11-01,0.9422844979346372,0,0.25531241884447226,0,0.9422844979346372,TRUE
2015-12-01,0.9422757642801018,0,0.2553211524990077,0,0.9422757642801018,TRUE
2016-01-01,0.9422694765857428,0,0.25532744019336684,0,0.9422694765857428,TRUE
2016-02-01,0.9422641310616082,0,0.2553327857175014,0,0.9422641310616082,TRUE
2016-03-01,0.9422633202936768,0,0.2553335964854328,0,0.9422633202936768,TRUE
2016-04-01,0.942250867784387,0,0.25534604899472263,0,0.942250867784387,TRUE
2016-05-01,0.9422430223874627,0,0.2553538943916469,0,0.9422430223874627,TRUE
2016-06-01,0.9422319352470422,0,0.25536498153206755,0,0.9422319352470422,TRUE
2016-07-01,0.9422316775477345,0,0.25536523923137505,0,0.9422316775477345,TRUE
