modelo,H_inflacion,H_expectativa,Q_a0,Q_a,Q_b,Q_c0,Q_c,Q_d,convergencia,intento_seleccionado,log_verosimilitud
M0,0.3354283499399491,0.05805148649824799,0,0,0,0,0,0,0,1,-184.44648780437643
M3,0.3354281555658814,0.028711619968192416,0,0,0,0.0029241190146198554,2.5115325237782435e-5,0,0,3,-146.33274507349557
