fecha,residuo_inflacion,residuo_expectativa
2010-02-01,NA,NA
2010-03-01,NA,NA
2010-04-01,NA,NA
2010-05-01,-0.755658847683288,-2.74633997128724
2010-06-01,0.760316456884335,-0.865280060248334
2010-07-01,-0.769649336859668,-7.1730257424411
2010-08-01,-0.513562833077536,-0.711829561106556
2010-09-01,-0.55927132498405,0.351075867485851
2010-10-01,1.12072811935503,1.92252956965602
2010-11-01,1.42168120634826,1.64154269606875
2010-12-01,0.527325681071153,-0.351637820864621
2011-01-01,-0.536434696766688,-2.02618587004849
2011-02-01,0.579124863477212,-0.719794378518532
2011-03-01,-0.368610219430983,0.634614580699092
2011-04-01,1.41952504622939,0.962556421434156
2011-05-01,1.17596450226082,-2.46467929439962
2011-06-01,-0.182902853650527,0.159655182610017
2011-07-01,0.983876526924168,-1.53720010971874
2011-08-01,0.487624935279256,-0.826547821472661
2011-09-01,-1.03269039745515,1.26389737371619
2011-10-01,-0.867349672032653,1.09148106295227
2011-11-01,-0.748429463543221,-1.00193181528553
2011-12-01,0.206191488622691,-1.97255927081034
2012-01-01,-1.53378675974327,0.406084049493153
2012-02-01,-0.572487091283318,1.55295417099478
2012-03-01,-1.1071241722939,-1.90741698596959
2012-04-01,-0.930798215584733,0.0389917653803275
2012-05-01,-1.05297722076097,-0.986333953542084
2012-06-01,-1.28948736276686,-0.963211219393072
2012-07-01,-1.64337507495505,-1.10505206084581
2012-08-01,-0.90311976574642,-1.61183678192293
2012-09-01,0.220492667466984,2.28982613786476
2012-10-01,-0.33391294351781,-1.39988145910654
2012-11-01,-0.971038878898704,-0.637418583280759
2012-12-01,0.0639913914730448,0.369838308302811
2013-01-01,0.248949518563485,-0.694355666609195
2013-02-01,0.0952057560197627,-2.02174724441339
2013-03-01,-0.209590734452413,-1.3601103146968
2013-04-01,-0.750968280499638,0.214210576876459
2013-05-01,-0.072017771770057,-0.303268250570028
2013-06-01,0.56561061731393,1.589608626739
2013-07-01,-0.261597913890591,-1.61580184776936
2013-08-01,-0.79043924586235,-0.448728040583196
2013-09-01,-0.589100032764547,0.0564083560207949
2013-10-01,-0.342464751671436,-0.758100445836572
2013-11-01,0.545581712804508,-0.414130116729229
2013-12-01,-0.603444802575477,1.65371205855046
2014-01-01,-0.587574089994633,-0.0756716154656176
2014-02-01,-1.30512384390702,-0.95611768513232
2014-03-01,-0.740472626749316,-0.563200552226692
2014-04-01,-0.304873352798962,0.533641798618355
2014-05-01,-0.403705231816474,-1.59018060405897
2014-06-01,-0.456238071656514,-0.498741185706315
2014-07-01,0.172196958343082,-0.042841867946927
2014-08-01,0.236193913588351,-2.1091769924144
2014-09-01,-0.603984839349602,-1.25325758791225
2014-10-01,0.121127022527757,-0.462910663251641
2014-11-01,-0.597682516381858,-0.594788331717567
2014-12-01,-0.902033298966928,0.090275411114589
2015-01-01,-1.30001744676908,-1.13475080471409
2015-02-01,-0.0649867573050762,0.92235495338165
2015-03-01,-0.28329107687941,0.613443183679887
2015-04-01,-0.00893957462312998,-1.02599008771782
2015-05-01,-0.21991030228618,-1.94532240709544
2015-06-01,-0.377539406355214,-0.680641514499491
2015-07-01,-0.259449199445609,-0.954444482037884
2015-08-01,-0.717207579300184,-1.78255069939662
2015-09-01,-0.222982911199689,-0.278556990153353
2015-10-01,0.466951130136121,-0.795677335831544
2015-11-01,0.431823274119398,-0.358203472202784
2015-12-01,0.913203520629326,0.794812424499112
2016-01-01,2.18831826121044,0.526026091819573
2016-02-01,-0.0810984629219972,0.340960457801977
2016-03-01,0.0452053833766582,-0.382638961645515
2016-04-01,-0.217540229347626,0.810082146611
2016-05-01,0.484439389254898,0.43434997045203
2016-06-01,0.179652561217207,1.17982307875009
2016-07-01,0.370293317794189,0.658384833190874
2016-08-01,0.270186605902429,0.43161351398437
2016-09-01,-0.229765051502348,-0.0130422716137168
2016-10-01,0.393710079607928,0.265788641073714
2016-11-01,-0.0782383131377063,0.79831222380038
2016-12-01,-0.69681814102797,0.81371667981597
2017-01-01,-0.6990952450835,-0.269275169608892
2017-02-01,0.164736125896579,0.788695041448658
2017-03-01,0.0277180133492926,-0.536485725123418
2017-04-01,0.134044123887247,0.87588538205416
2017-05-01,-0.297224043771991,-1.3694860806275
2017-06-01,0.711626674894661,-0.0578345844404124
2017-07-01,1.49509442511852,0.488211315556884
2017-08-01,-0.725427432169185,-0.650962499105857
2017-09-01,-0.547720842391681,1.26959451454148
2017-10-01,-0.274660501429058,0.0044870787386166
2017-11-01,0.826906555094145,0.868823559950457
2017-12-01,1.74973891658597,-0.365740700852543
2018-01-01,-1.44531532878545,-0.528287637515534
2018-02-01,-0.890436867514348,-0.192575497225481
2018-03-01,-0.0382034940736687,0.892615255836262
2018-04-01,-0.405533885591718,-0.208376210787279
2018-05-01,0.236020233652464,0.32818611839714
2018-06-01,-0.5390909489628,-0.213700201286648
2018-07-01,-2.10233189350592,-0.13829370625138
2018-08-01,0.980080495884459,1.02342158577555
