fecha,d_exp24,shock_externo,shock_domestico,alpha_t,beta_ext_t,beta_dom_t,indice_anclaje_externo,indice_anclaje_domestico
2011-05-01,-0.4500000000000002,1.2038745209254456,0.24507375360041822,0.008595513804999321,0.01158369123186932,-0.017975167440757306,-0.01158369123186932,0.017975167440757306
2011-06-01,0.41999999999999993,0.5367401390942009,-1.4688044742489343,0.008595941630824893,0.011600443557072583,-0.017974838500906667,-0.011600443557072583,0.017974838500906667
2011-07-01,-0.28000000000000025,0.5321917462827425,-0.26745729398030615,0.008596176490297475,0.011718767885945586,-0.017974842334170398,-0.011718767885945586,0.017974842334170398
2011-08-01,0.07000000000000028,0.5736830215267994,-0.5285607038914282,0.008596523270752788,0.011826273134547925,-0.017974651508609663,-0.011826273134547925,0.017974651508609663
2011-09-01,0.47999999999999954,0.2923288312159628,-0.7356996131085424,0.008596829161597297,0.01194102488410779,-0.017974526656875822,-0.01194102488410779,0.017974526656875822
2011-10-01,0.08000000000000007,-0.39785051223185586,-1.8299972615694828,0.008597017391105818,0.01211273469154389,-0.017974774362241597,-0.01211273469154389,0.017974774362241597
2011-11-01,-0.4500000000000002,0.18365443840627524,-0.42240160808198635,0.00859724485997747,0.012319161721820519,-0.017975113359610884,-0.012319161721820519,0.017975113359610884
2011-12-01,-0.4399999999999995,-0.45303262691271723,-2.285454167572247,0.008597535130398586,0.012497805248385296,-0.017975135838079748,-0.012497805248385296,0.017975135838079748
2012-01-01,0.33000000000000007,0.16825167707447217,-0.4560079267031244,0.008597684526885911,0.012539749504541993,-0.017974870489318485,-0.012539749504541993,0.017974870489318485
2012-02-01,0.16000000000000014,0.15004471917734694,-0.35407543900918337,0.008597786616373426,0.012606355909533429,-0.017974865394142198,-0.012606355909533429,0.017974865394142198
2012-03-01,-0.6400000000000006,-0.39034622148569387,-0.37141574047741005,0.008597867010117244,0.012682810180927628,-0.017974994138539452,-0.012682810180927628,0.017974994138539452
2012-04-01,0.07000000000000028,-0.5744453378673029,-0.2804312636686172,0.008597756106877503,0.012724252932319883,-0.017974669266420287,-0.012724252932319883,0.017974669266420287
2012-05-01,-0.2599999999999998,-0.9559708440302082,-0.17885925753157725,0.00859768944350308,0.012769849851509037,-0.017974415678915473,-0.012769849851509037,0.017974415678915473
2012-06-01,-0.16999999999999993,-0.4525941950023819,0.13907176450051154,0.008597446112481288,0.01280908883222517,-0.017973991033526593,-0.01280908883222517,0.017973991033526593
2012-07-01,-0.20999999999999996,-0.6028447227097008,0.2981879678664043,0.008597148621672877,0.01285152891446888,-0.017973455624124703,-0.01285152891446888,0.017973455624124703
2012-08-01,-0.35000000000000053,0.5057184645365594,0.6416300221656951,0.008596759377770154,0.012902698667980576,-0.01797277933581604,-0.012902698667980576,0.01797277933581604
2012-09-01,0.6200000000000001,0.6400414001174188,2.8539210761248848,0.008596509260675036,0.012987821503655987,-0.017971848403930388,-0.012987821503655987,0.017971848403930388
