fecha,d_exp24,shock_inf,alpha_t,beta_t,indice_anclaje_A
2011-03-01,0.3200000000000003,-0.5099999999999998,0.09393392241677441,0.017575195938638016,-0.017575195938638016
2011-04-01,0.0600000000000005,-0.4788518708354754,0.09408366463723661,0.017541617333339476,-0.017541617333339476
2011-05-01,-0.4500000000000002,0.3230220625962019,0.09426852704752332,0.017499651002168548,-0.017499651002168548
2011-06-01,0.41999999999999993,0.4622993669593791,0.0945881968546768,0.017505412326114383,-0.017505412326114383
2011-07-01,-0.28000000000000025,0.6596744659206415,0.09476886160294568,0.017476786524984377,-0.017476786524984377
2011-08-01,0.07000000000000028,1.665826131164203,0.09514855683043905,0.017482665441304494,-0.017482665441304494
2011-09-01,0.47999999999999954,0.9193156240494869,0.09567621869550078,0.017498702696473092,-0.017498702696473092
2011-10-01,0.08000000000000007,-0.040000000000000036,0.09591530228168924,0.017478840521181767,-0.017478840521181767
2011-11-01,-0.4500000000000002,-0.6351561248999387,0.09615661044352602,0.017452618073018678,-0.017452618073018678
2011-12-01,-0.4399999999999995,-0.6499999999999968,0.09618159383952801,0.01746534623927266,-0.01746534623927266
2012-01-01,0.33000000000000007,-0.5,0.0959914239851387,0.017515929393777146,-0.017515929393777146
2012-02-01,0.16000000000000014,-0.7999999999999998,0.09595231302843187,0.01753196121046798,-0.01753196121046798
2012-03-01,-0.6400000000000006,-1.4500000000000002,0.09606019117681032,0.01752698023718647,-0.01752698023718647
2012-04-01,0.07000000000000028,-1.3200000000000003,0.09553828176439631,0.017571671605911988,-0.017571671605911988
2012-05-01,-0.2599999999999998,-1.94,0.09521388826189597,0.017599250346485615,-0.017599250346485615
2012-06-01,-0.16999999999999993,-1.7899999999999996,0.0947384730192489,0.017635731880579857,-0.017635731880579857
2012-07-01,-0.20999999999999996,-2.03,0.0942359734139481,0.017673943845129988,-0.017673943845129988
2012-08-01,-0.35000000000000053,-2,0.09367158766043653,0.017715642280028896,-0.017715642280028896
2012-09-01,0.6200000000000001,-1.1600000000000006,0.09280486188846744,0.01777462909097282,-0.01777462909097282
2012-10-01,-0.41000000000000014,-1.56,0.0926282769420533,0.017765575277478147,-0.017765575277478147
2012-11-01,0.0600000000000005,-1.5900000000000003,0.09208134091197413,0.017783671948376968,-0.017783671948376968
2012-12-01,0.10999999999999943,-1.0300000000000002,0.09178576321713268,0.017783689189534935,-0.017783689189534935
2013-01-01,-0.09999999999999964,-0.7900000000000005,0.09165140086155749,0.017765806238346567,-0.017765806238346567
2013-02-01,-0.21999999999999975,-0.35000000000000053,0.09148700493197633,0.017752271076424637,-0.017752271076424637
2013-03-01,0.04999999999999982,-0.07000000000000028,0.09126226072117491,0.017758454938793446,-0.017758454938793446
2013-04-01,0.2699999999999996,-0.45999999999999996,0.09103978280858246,0.017760936194515617,-0.017760936194515617
2013-05-01,-0.09999999999999964,-0.5800000000000001,0.09093069467031402,0.01773522683071505,-0.01773522683071505
2013-06-01,0.3799999999999999,0.08000000000000007,0.09079001241893148,0.017715747161218216,-0.017715747161218216
2013-07-01,-0.40000000000000036,-0.1299999999999999,0.09062552674052321,0.017662239363417404,-0.017662239363417404
2013-08-01,0.08000000000000007,-0.45999999999999996,0.09041681916358028,0.017647634520752072,-0.017647634520752072
2013-09-01,0.020000000000000462,-0.6399999999999997,0.09024818469944272,0.017623066823120998,-0.017623066823120998
2013-10-01,-0.20000000000000018,-0.6899999999999995,0.0901118060677601,0.017592735220127984,-0.017592735220127984
2013-11-01,-0.009999999999999787,-0.08999999999999986,0.08988555240285905,0.017577299921386732,-0.017577299921386732
2013-12-01,0.4900000000000002,-0.3000000000000007,0.08965782880927249,0.017563732474021248,-0.017563732474021248
2014-01-01,-0.25,-0.9500000000000002,0.08955565253779728,0.017502304799018077,-0.017502304799018077
2014-02-01,-0.2600000000000007,-1.2300000000000004,0.08930823099262827,0.017458362177489604,-0.017458362177489604
2014-03-01,-0.13999999999999968,-1.3099999999999996,0.08888802746302496,0.017430484599506798,-0.017430484599506798
2014-04-01,0.1200000000000001,-1.19,0.08842282371637011,0.01740653556780447,-0.01740653556780447
2014-05-01,-0.3799999999999999,-1.2899999999999996,0.08816488338136513,0.017362667686978417,-0.017362667686978417
2014-06-01,0.08000000000000007,-1.0600000000000005,0.08760029710503557,0.017345985227681732,-0.017345985227681732
2014-07-01,0.04999999999999982,-0.8300000000000001,0.08717386388651556,0.0173143973834107,-0.0173143973834107
2014-08-01,-0.35000000000000053,-0.54,0.086820498769982,0.017272741653013558,-0.017272741653013558
2014-09-01,0.07000000000000028,-0.6399999999999997,0.08632213376687899,0.017261794695575705,-0.017261794695575705
2014-10-01,0.040000000000000036,-0.6000000000000001,0.08588168979307013,0.01724049763070273,-0.01724049763070273
2014-11-01,-0.009999999999999787,-0.7000000000000002,0.08547860250415568,0.017212080145366897,-0.017212080145366897
2014-12-01,0.04999999999999982,-1.21,0.08509465409672862,0.017180535809843155,-0.017180535809843155
2015-01-01,-0.31999999999999984,-1.8800000000000003,0.08484840423358381,0.017135976822930443,-0.017135976822930443
2015-02-01,0.18000000000000016,-1.31,0.08432229007347032,0.017108442486693475,-0.017108442486693475
2015-03-01,0.040000000000000036,-1.3599999999999999,0.08409629370224184,0.017054707685203632,-0.017054707685203632
2015-04-01,-0.2900000000000005,-1.2399999999999998,0.08402681243099598,0.016987811368337505,-0.016987811368337505
2015-05-01,-0.25,-1.0700000000000003,0.08374657834248048,0.01694035254512339,-0.01694035254512339
2015-06-01,0.10000000000000009,-1.0699999999999998,0.08330731936780274,0.016909890628063976,-0.016909890628063976
2015-07-01,-0.10999999999999988,-0.9300000000000002,0.08302250946524535,0.0168629208772443,-0.0168629208772443
2015-08-01,-0.25,-1.2000000000000002,0.08269899920521176,0.01682071017994537,-0.01682071017994537
2015-09-01,0.08999999999999986,-1.1600000000000001,0.08220694863869075,0.01679456190695577,-0.01679456190695577
2015-10-01,-0.1200000000000001,-0.8300000000000001,0.08187877660717507,0.01675225693457822,-0.01675225693457822
2015-11-01,0.0900000000000003,-0.43000000000000016,0.08150275072058687,0.016716545635095788,-0.016716545635095788
2015-12-01,0.2799999999999998,0.04999999999999982,0.08116576495351824,0.016670451135029192,-0.016670451135029192
2016-01-01,0.1499999999999999,1.21,0.08081791443543716,0.016599505951669424,-0.016599505951669424
2016-02-01,0.29000000000000004,0.6499999999999995,0.08043395098874254,0.016525147535591835,-0.016525147535591835
2016-03-01,-0.09999999999999964,0.31999999999999984,0.07992948957871056,0.016429588189581512,-0.016429588189581512
2016-04-01,0.20000000000000018,0.09999999999999964,0.07946311327755536,0.016347639961099884,-0.016347639961099884
2016-05-01,-0.03000000000000025,0.1800000000000006,0.07898201106758879,0.016248850624356492,-0.016248850624356492
2016-06-01,0.22999999999999954,0.27999999999999936,0.07851003056963761,0.01615585680766297,-0.01615585680766297
2016-07-01,0.020000000000000462,0.29000000000000004,0.07799302640227339,0.016044473427653333,-0.016044473427653333
2016-08-01,0.040000000000000036,0.45999999999999996,0.07748055812032206,0.01593487880996262,-0.01593487880996262
2016-09-01,-0.03000000000000025,0.15999999999999925,0.07697255265791214,0.015826393724841674,-0.015826393724841674
2016-10-01,0.009999999999999787,0.33000000000000007,0.07647234379741141,0.015723481445893014,-0.015723481445893014
2016-11-01,0.16999999999999993,0.25,0.07598069744977506,0.015623536565342941,-0.015623536565342941
2016-12-01,0.0600000000000005,-0.4399999999999995,0.07546068536669212,0.015510615632103706,-0.015510615632103706
2017-01-01,-0.2599999999999998,-0.8499999999999996,0.0749693232985464,0.015390248052378399,-0.015390248052378399
2017-02-01,0.05999999999999961,-0.45999999999999996,0.07432717347165017,0.015290168308452394,-0.015290168308452394
2017-03-01,-0.17999999999999972,-0.40000000000000036,0.07371544174269626,0.015182526109879949,-0.015182526109879949
2017-04-01,0.22999999999999954,-0.1299999999999999,0.07304816202664172,0.015090765607922437,-0.015090765607922437
2017-05-01,-0.33999999999999986,-0.44999999999999973,0.07240533193741112,0.014977496243457214,-0.014977496243457214
2017-06-01,0.08999999999999986,0.16000000000000014,0.0716409122743062,0.014895127868282352,-0.014895127868282352
2017-07-01,0.22000000000000064,1.0499999999999998,0.07086795843860048,0.01480665949078609,-0.01480665949078609
2017-08-01,0.02999999999999936,0.3899999999999997,0.06997991592118953,0.014705655895692643,-0.014705655895692643
2017-09-01,0.2400000000000002,-0.1200000000000001,0.06909579499621138,0.014605802270331588,-0.014605802270331588
2017-10-01,-0.21999999999999975,-0.39999999999999947,0.06823517628461366,0.014483550292232646,-0.014483550292232646
2017-11-01,0.09999999999999964,0.1900000000000004,0.06730509944318445,0.014381157052550738,-0.014381157052550738
2017-12-01,-0.07000000000000028,1.1899999999999995,0.0663634250981185,0.014271783104784354,-0.014271783104784354
2018-01-01,0.15000000000000036,0.17999999999999972,0.06558456045176128,0.014178055825181165,-0.014178055825181165
2018-02-01,-0.15000000000000036,-0.7299999999999995,0.06478698690978515,0.014072441766047196,-0.014072441766047196
2018-03-01,0.0600000000000005,-0.5300000000000002,0.0639179671786072,0.013978020662231572,-0.013978020662231572
2018-04-01,-0.16000000000000014,-0.6299999999999999,0.06308443776623567,0.01387594143092953,-0.01387594143092953
2018-05-01,0.020000000000000462,-0.33000000000000007,0.06218008593454018,0.013786718581677569,-0.013786718581677569
2018-06-01,-0.05000000000000071,-0.5199999999999996,0.061283127640988734,0.013694933450348333,-0.013694933450348333
2018-07-01,-0.0699999999999994,-1.7399999999999998,0.06037229846501323,0.013606198947409756,-0.013606198947409756
2018-08-01,-0.03000000000000025,-0.8999999999999999,0.05949273741409623,0.013515409305698315,-0.013515409305698315
2018-09-01,-0.009999999999999787,0.47999999999999954,0.05862074041653554,0.01342365849303978,-0.01342365849303978
2018-10-01,0,0.21999999999999975,0.05776948601619124,0.013336849768192636,-0.013336849768192636
2018-11-01,0.14999999999999947,-1.15,0.056923034049687855,0.013252537518629315,-0.013252537518629315
2018-12-01,-0.08999999999999986,-2.1300000000000003,0.05627147390365336,0.013148843905299525,-0.013148843905299525
2019-01-01,-0.3099999999999996,-0.14000000000000057,0.055649742554491205,0.013043548726509532,-0.013043548726509532
2019-02-01,0.17999999999999972,0.4299999999999997,0.05499102139655543,0.012968469940090977,-0.012968469940090977
2019-03-01,0.09999999999999964,-0.0600000000000005,0.05428062663440106,0.012879647922245108,-0.012879647922245108
2019-04-01,-0.04999999999999982,0.41000000000000014,0.05357477657493698,0.012782163413569303,-0.012782163413569303
2019-05-01,0.08999999999999986,0.21999999999999975,0.05289804761682841,0.012692801830953858,-0.012692801830953858
2019-06-01,-0.02999999999999936,0.3799999999999999,0.052209210373867936,0.012597145932817657,-0.012597145932817657
2019-07-01,0.23999999999999932,-0.03000000000000025,0.05154025780858056,0.012507474474718623,-0.012507474474718623
2019-08-01,-0.0699999999999994,-1.5600000000000005,0.05087706395824637,0.012395850066614438,-0.012395850066614438
2019-09-01,-0.1900000000000004,-2.8,0.05020991167914141,0.01228451585141991,-0.01228451585141991
2019-10-01,-0.1200000000000001,-2.16,0.04939797698865437,0.012179095159836138,-0.012179095159836138
2019-11-01,0.03000000000000025,-1.2599999999999998,0.0485399169722358,0.012076116629062304,-0.012076116629062304
2019-12-01,-0.15000000000000036,-0.6399999999999997,0.0477653702372773,0.011965558022212597,-0.011965558022212597
2020-01-01,0.010000000000000675,-2.1100000000000003,0.04692034501228603,0.011867593458538467,-0.011867593458538467
2020-02-01,-0.26000000000000023,-2.83,0.0462470910937484,0.011760318743873295,-0.011760318743873295
2020-03-01,0.14000000000000012,-2.15,0.04523969260164593,0.011666547224166166,-0.011666547224166166
2020-04-01,-0.020000000000000018,-1.98,0.044638803538899534,0.011551152466639606,-0.011551152466639606
2020-05-01,-0.010000000000000231,-1.7499999999999998,0.04413222634509582,0.011430310303402004,-0.011430310303402004
2020-06-01,-0.18999999999999995,-1.3899999999999997,0.043707491124714566,0.01130411970660744,-0.01130411970660744
2020-07-01,0.1299999999999999,-0.6200000000000001,0.043119020261448024,0.011191400641902657,-0.011191400641902657
2020-08-01,0.020000000000000018,0.7000000000000002,0.04260617634924787,0.011064731601104388,-0.011064731601104388
2020-09-01,0.07000000000000028,1.3599999999999999,0.04210558740637913,0.010940064738603834,-0.010940064738603834
2020-10-01,0.16000000000000014,1.5299999999999998,0.04160295097265697,0.010815225700496242,-0.010815225700496242
2020-11-01,0.11999999999999922,1.2699999999999996,0.04099063723424096,0.010682188549406758,-0.010682188549406758
2020-12-01,-0.009999999999999787,0.33000000000000007,0.04031737707584213,0.010543663159009427,-0.010543663159009427
2021-01-01,-0.13999999999999968,0.75,0.03965347846069194,0.010408382076548836,-0.010408382076548836
2021-02-01,0.2699999999999996,1.67,0.03910281656687046,0.010290367902433551,-0.010290367902433551
2021-03-01,-0.04999999999999982,1.2800000000000002,0.038280056366988606,0.010153720078573913,-0.010153720078573913
2021-04-01,0.04999999999999982,0.6000000000000005,0.037574391025742206,0.010027534295718605,-0.010027534295718605
2021-05-01,0.020000000000000462,0.6299999999999999,0.03685996193435937,0.009899678086646964,-0.009899678086646964
2021-06-01,-0.17999999999999972,-0.6299999999999999,0.036152461002989696,0.009773079545315054,-0.009773079545315054
2021-07-01,-0.11000000000000032,-0.4600000000000004,0.03535678522985816,0.009662487368404405,-0.009662487368404405
2021-08-01,0.019999999999999574,-0.6799999999999997,0.034521246739173006,0.009561805738634327,-0.009561805738634327
2021-09-01,0.0600000000000005,-0.5499999999999998,0.033705035314630975,0.009457873643212695,-0.009457873643212695
2021-10-01,-0.31000000000000005,-1.25,0.03292066658072926,0.009347320364217288,-0.009347320364217288
2021-11-01,0.18999999999999995,-1.3299999999999996,0.031844852551454174,0.009263431717386247,-0.009263431717386247
2021-12-01,-0.0600000000000005,-1.1,0.031017710913887695,0.009158160274622077,-0.009158160274622077
2022-01-01,0.07000000000000028,-1.3499999999999996,0.03015826680162926,0.009056247226053282,-0.009056247226053282
2022-02-01,-0.16999999999999993,-1.2200000000000002,0.02941384132621529,0.008944590497572708,-0.008944590497572708
2022-03-01,-0.1200000000000001,0.33000000000000007,0.02852314002875546,0.008846645784028282,-0.008846645784028282
2022-04-01,0.14000000000000012,0.8300000000000001,0.02767067747640347,0.008761952973610277,-0.008761952973610277
2022-05-01,0.06999999999999984,1.6800000000000006,0.026742898935986158,0.008666882546000877,-0.008666882546000877
2022-06-01,0.15000000000000036,3.26,0.02579202198154638,0.008570239724164526,-0.008570239724164526
2022-07-01,0.34999999999999964,3.749999999999999,0.024684459270604607,0.008468100222009445,-0.008468100222009445
2022-08-01,0.040000000000000036,3.9899999999999993,0.02279443093138246,0.008342097856061891,-0.008342097856061891
2022-09-01,0.0600000000000005,3.589999999999999,0.021102675552575712,0.008221778509745757,-0.008221778509745757
2022-10-01,0.05999999999999961,4.1,0.019483071774651337,0.008103757640014496,-0.008103757640014496
2022-11-01,0.1299999999999999,3.5300000000000002,0.01795962800781853,0.007988419020004925,-0.007988419020004925
2022-12-01,-0.08999999999999986,2.9700000000000006,0.01626277503203371,0.007867462344658877,-0.007867462344658877
2023-01-01,-0.08999999999999986,3.539999999999999,0.01492975654429224,0.007760515599630607,-0.007760515599630607
2023-02-01,-0.1299999999999999,4.45,0.014043583990440521,0.0076680047294819444,-0.0076680047294819444
2023-03-01,-0.0600000000000005,3.4400000000000013,0.013903923682352458,0.0075946790220142776,-0.0075946790220142776
2023-04-01,-0.040000000000000036,3.13,0.014097038320298546,0.007532416513944352,-0.007532416513944352
2023-05-01,-0.08999999999999986,1.4299999999999997,0.014530589972351985,0.007478939082407943,-0.007478939082407943
2023-06-01,-0.05999999999999961,-0.10000000000000053,0.015105871301162536,0.007436796436739557,-0.007436796436739557
2023-07-01,-0.03000000000000025,-0.41000000000000014,0.015675627360048405,0.007400972699477366,-0.007400972699477366
2023-08-01,-0.040000000000000036,-0.20000000000000018,0.0162347401248776,0.007368117761011815,-0.007368117761011815
