fecha_fin,beta_roll,se_roll,beta_low95,beta_up95
2016-02-01,0.12735327605027083,0.04266190248963231,0.04373594717059151,0.21097060492995015
2016-03-01,0.12018505518679634,0.04167007911823455,0.03851170011505661,0.20185841025853607
2016-04-01,0.12277918942554807,0.04142878671171002,0.041578767470596426,0.2039796113804997
2016-05-01,0.13516516279792395,0.03990575801053235,0.05694987709728054,0.21338044849856735
2016-06-01,0.1292999523761194,0.03969362654741515,0.05150044434318572,0.20709946040905308
2016-07-01,0.1433622183177349,0.03904584697748847,0.06683235824185751,0.2198920783936123
2016-08-01,0.15815220937944782,0.04125114744674987,0.07729996038381808,0.23900445837507756
2016-09-01,0.1399471881687498,0.042205742562687096,0.05722393274588308,0.2226704435916165
2016-10-01,0.1359051360255586,0.041818381890455905,0.053941107520265014,0.21786916453085217
2016-11-01,0.13908549869020614,0.03994426116389411,0.06079474680897369,0.2173762505714386
2016-12-01,0.14013586226556213,0.03861915505003348,0.0644423183674965,0.21582940616362775
2017-01-01,0.13909737154148807,0.03821727469060761,0.06419151314789716,0.21400322993507898
2017-02-01,0.14015983586964537,0.037912915503739,0.06585052148231693,0.2144691502569738
2017-03-01,0.1255081133430399,0.036491973130629074,0.053983846007006925,0.1970323806790729
2017-04-01,0.13239382909777495,0.036588725397146714,0.06067992731936739,0.2041077308761825
2017-05-01,0.12677274872102845,0.038531212327151294,0.051251572559811914,0.20229392488224499
2017-06-01,0.12676468437713165,0.03905677300421664,0.05021340928886704,0.20331595946539627
2017-07-01,0.12737847417749765,0.038688119853363276,0.051549759264905626,0.20320718909008967
2017-08-01,0.11589877502756028,0.039434763070264875,0.03860663940984113,0.19319091064527943
2017-09-01,0.13592625078705975,0.03570517798860426,0.0659441019293954,0.2059083996447241
2017-10-01,0.12433616750625302,0.0363204203143291,0.053148143690168,0.19552419132233806
2017-11-01,0.13423351032969108,0.03652873673899135,0.06263718632126802,0.20582983433811414
