fecha,exp_inf_24m,infl_gt,meta_inflacion,tcdep,exp_gap_24,infl_gap,exp_gap_24_lag1,infl_gap_lag1,tcdep_lag1
2010-02-01,4.25,2.48,5,2.6810029736855867,-0.75,-2.52,-1.23,-3.5700000000000003,6.417040081645364
2010-03-01,6.26,3.93,5,-0.5330054666899731,1.2599999999999998,-1.0699999999999998,-0.75,-2.52,2.6810029736855867
2010-04-01,5.81,3.75,5,-1.1787190461963526,0.8099999999999996,-1.25,1.2599999999999998,-1.0699999999999998,-0.5330054666899731
2010-05-01,5.7,3.51,5,-1.2541646415335617,0.7000000000000002,-1.4900000000000002,0.8099999999999996,-1.25,-1.1787190461963526
2010-06-01,5.45,4.07,5,-1.4800587228730675,0.4500000000000002,-0.9299999999999997,0.7000000000000002,-1.4900000000000002,-1.2541646415335617
2010-07-01,5.11,4.12,5,-1.9927431417775752,0.11000000000000032,-0.8799999999999999,0.4500000000000002,-0.9299999999999997,-1.4800587228730675
2010-08-01,5.57,4.1,5,-2.969280415730857,0.5700000000000003,-0.9000000000000004,0.11000000000000032,-0.8799999999999999,-1.9927431417775752
2010-09-01,5.68,3.76,5,-2.9179653221912183,0.6799999999999997,-1.2400000000000002,0.5700000000000003,-0.9000000000000004,-2.969280415730857
2010-10-01,5.89,4.51,5,-3.396485964657847,0.8899999999999997,-0.4900000000000002,0.6799999999999997,-1.2400000000000002,-2.9179653221912183
2010-11-01,6.22,5.25,5,-3.5923745769808058,1.2199999999999998,0.25,0.8899999999999997,-0.4900000000000002,-3.396485964657847
2010-12-01,6.2,5.39,5,-4.262975209822972,1.2000000000000002,0.3899999999999997,1.2199999999999998,0.25,-3.5923745769808058
2011-01-01,5.85,4.9,5,-4.90872571931833,0.8499999999999996,-0.09999999999999964,1.2000000000000002,0.3899999999999997,-4.262975209822972
2011-02-01,5.81,5.24,5,-4.326633305035976,0.8099999999999996,0.2400000000000002,0.8499999999999996,-0.09999999999999964,-4.90872571931833
2011-03-01,6.13,4.99,5,-4.052261776382116,1.13,-0.009999999999999787,0.8099999999999996,0.2400000000000002,-4.326633305035976
2011-04-01,6.19,5.761148129164525,5,-4.812855812876604,1.1900000000000004,0.7611481291645248,1.13,-0.009999999999999787,-4.052261776382116
2011-05-01,5.74,6.393022062596202,5,-4.510466146025394,0.7400000000000002,1.3930220625962022,1.1900000000000004,0.7611481291645248,-4.812855812876604
2011-06-01,6.16,6.422299366959379,5,-2.703818574016781,1.1600000000000001,1.422299366959379,0.7400000000000002,1.3930220625962022,-4.510466146025394
2011-07-01,5.88,7.039674465920641,5,-3.0751882297027855,0.8799999999999999,2.0396744659206414,1.1600000000000001,1.422299366959379,-2.703818574016781
2011-08-01,5.95,7.625826131164203,5,-2.3582111473118506,0.9500000000000002,2.625826131164203,0.8799999999999999,2.0396744659206414,-3.0751882297027855
