term,estimate,std.error,statistic,p.value
(Intercept),1.2433203733073404,0.26692727263761734,4.657899363454263,6.5428378531865135e-6
infl_gt_lag1,0.06922365859140264,0.012114296838438846,5.714211853531188,5.032576127996642e-8
"lag(d_tasa_pol, 3)",-0.2263847849912826,0.16206388742853103,-1.396886058845877,0.1643237546249333
exp24_lag1,0.7548165866052836,0.045043708334681715,16.757425498737355,1.900441361350224e-37
imae_lag2,-0.0039003390571540927,9.243904165519408e-4,-4.219363363483048,4.0329866088371613e-05
tcdep_var,-0.0019751358774326095,0.00673560212545019,-0.2932382050848344,0.7697085651779065
deficit_fiscal,-0.003550362645549287,0.003881590212541558,-0.9146670439548041,0.3617011721845409
d_effr,-0.271354895799525,0.07740182584525032,-3.50579450595966,5.863810746280049e-4
d_infl_us,-0.02964164804874874,0.03678187233855341,-0.8058765409198447,0.4214739328672481
oil_var,0.0011279483129395852,4.47513906372806e-4,2.520476563693501,0.012668990987924686
