fecha_inicio,fecha_fin,ventana,n_obs,estimate,std.error,statistic,p.value,ic_inf,ic_sup,r_squared,adj_r_squared
2010-02-01,2012-07-01,30,30,0.14985888382885393,0.03828232327230656,3.9145712960754886,5.839527511292967e-4,0.07482690897061355,0.2248908586870943,0.46096772528474306,0.39877169358682873
2010-03-01,2012-08-01,30,30,0.18102750144356886,0.045586877651197746,3.9710440980116686,5.041519172701671e-4,0.0916788630795874,0.2703761398075503,0.3126425068554448,0.23333202687722687
2010-04-01,2012-09-01,30,30,0.1502499428662852,0.038610930095904245,3.8913836701961078,6.202090754783094e-4,0.07457391046871925,0.22592597526385116,0.5138857978328136,0.4577956975827536
2010-05-01,2012-10-01,30,30,0.15904118072593348,0.04290646815201406,3.7066947613227863,9.99786397101383e-4,0.0749460484441711,0.24313631300769586,0.5425649468272332,0.4897839791534524
2010-06-01,2012-11-01,30,30,0.16265425419410287,0.046521786739958354,3.4963028205104676,0.0017122162633473618,0.07147322768733147,0.25383528070087424,0.5666431500720512,0.5166404366188264
2010-07-01,2012-12-01,30,30,0.15716034066324253,0.04844008964543802,3.2444271225258463,0.00322632890318181,0.06221950955029243,0.2521011717761926,0.56964649834544,0.5199903250776061
2010-08-01,2013-01-01,30,30,0.15116043983603772,0.04592310918378783,3.291598555121387,0.0028682128049833146,0.061152799777713,0.24116807989436245,0.5471889055632967,0.49494147158983093
2010-09-01,2013-02-01,30,30,0.15049933380024924,0.045049370826429715,3.3407643889213605,0.0025358941817377723,0.06220418945425761,0.23879447814624088,0.5420980218718177,0.4892631782416428
2010-10-01,2013-03-01,30,30,0.14440297758256918,0.04574663025128974,3.1565817370449487,0.0040112205002488,0.054741229875970784,0.23406472528916755,0.5417886441459223,0.4889181030858364
2010-11-01,2013-04-01,30,30,0.1662270696357908,0.043247447940606906,3.843627255510561,7.019957292601862e-4,0.08146362924893034,0.2509905100226512,0.546375959073412,0.4940347235818826
2010-12-01,2013-05-01,30,30,0.19209529679783213,0.03815079999866094,5.035157763521984,3.062853220238782e-5,0.11732110281906596,0.2668694907765983,0.5754686162481413,0.5264842258152345
2011-01-01,2013-06-01,30,30,0.2142294743386755,0.04491421391612101,4.769747829467908,6.171654997775838e-5,0.12619923266915067,0.30225971600820034,0.5610984788476947,0.5104559956378133
