fecha_inicio,fecha_fin,beta,se_beta,p_beta,rho,se_rho,p_rho,gamma,se_gamma,p_gamma,r2_ajustado,beta_ic_inf,beta_ic_sup,rho_ic_inf,rho_ic_sup,gamma_ic_inf,gamma_ic_sup,velocidad_ajuste,vida_media,multiplicador_lp,rho_ic_incluye_uno
2010-02-01,2013-01-01,0.17026252748603865,0.04192030172468246,2.9449660622507046e-4,0.09185823138667162,0.13154774064374158,0.490040748032045,-0.0366131895950005,0.021162099233719662,0.09324234743208963,0.481753907350274,0.08809873610566103,0.25242631886641625,-0.16597534027506186,0.3496918030484051,-0.07809090409309104,0.004864524903090042,0.9081417686133284,0.2903223498028656,0.18748452430066961,FALSE
2010-03-01,2013-02-01,0.1871704495764127,0.046241014152086604,3.0623143166276707e-4,-0.04053710804616106,0.209923565556924,0.8480978506546689,-0.02186278554473242,0.025385939718037695,0.3955263944928825,0.3407792010623857,0.09653806183832297,0.27780283731450245,-0.4519872965377321,0.37091308044541,-0.0716192273920863,0.02789365630262146,1.040537108046161,NA,0.17987868777488072,FALSE
2010-04-01,2013-03-01,0.15134045203121368,0.03777531660190884,3.4405693465451614e-4,0.28186576370889327,0.08684835212816167,0.0027477739076428934,-0.038120606595321724,0.017460387973965884,0.03646381297566892,0.5801936850970839,0.07730083149147236,0.225380072570955,0.11164299353769641,0.4520885338800901,-0.07234296702429485,-0.0038982461663485887,0.7181342362911067,0.5473693907087199,0.21074117397999323,FALSE
2010-05-01,2013-04-01,0.16516913219372797,0.04122159502168564,3.435471294752311e-4,0.24898881382980143,0.09159016730453431,0.010501358976740734,-0.033933002908660116,0.017115292554172448,0.056051172384732145,0.5750035194999301,0.08437480595122412,0.24596345843623182,0.06947208591291418,0.42850554174668865,-0.06747897631483812,-3.870295024821155e-4,0.7510111861701986,0.49854246965418875,0.21992899071984845,FALSE
2010-06-01,2013-05-01,0.17131753260756907,0.04552709584687171,6.782427892541067e-4,0.24066982239136614,0.0924810255853288,0.01391119210137014,-0.03247179938478807,0.01719463312092914,0.06805487466784574,0.5760898702473198,0.08208442474770053,0.2605506404674376,0.059407012244121704,0.4219326325386106,-0.06617328030180919,0.0012296815322330387,0.7593301776086339,0.48664811751900167,0.22561665222775829,FALSE
2010-07-01,2013-06-01,0.17409977575928576,0.05068355480396242,0.0016593197579343256,0.2432120421384503,0.09477016156177542,0.015161503725322696,-0.027883165541677243,0.017926966800762376,0.129692515994609,0.5469484625806358,0.07476000834351941,0.2734395431750521,0.05746252547737046,0.42896155879953013,-0.0630200204711715,0.007253689387817012,0.7567879578615497,0.4902649480892446,0.23005093296045334,FALSE
2010-08-01,2013-07-01,0.1646552076086405,0.04811164258763429,0.0017167947295964189,0.19580042457479524,0.09165607599380958,0.04040638631750566,-0.034831776637322606,0.016300872011470215,0.04035788454570934,0.5385996856112163,0.0703563881368773,0.2589540270804037,0.016154515626928462,0.375446333522662,-0.06678148577980422,-0.0028820674948409827,0.8041995754252047,0.4250717156865601,0.20474421106425267,FALSE
2010-09-01,2013-08-01,0.16416825441898922,0.04669561753953702,0.0013347379800722453,0.19745105442969915,0.0998186821019138,0.05658188220776009,-0.03491290214395211,0.016114051704719416,0.037819123518471304,0.5305733412434295,0.07264484404149665,0.25569166479648175,0.0018064375099481056,0.3930956713494502,-0.06649644348520217,-0.003329360802702054,0.8025489455703009,0.4272713597304711,0.20455855723831184,FALSE
2010-10-01,2013-09-01,0.16484090518093414,0.04900998525917777,0.002010117748172438,0.19719204918264535,0.10002151211100983,0.05736548949998348,-0.0343632091960219,0.017103860652323482,0.05302603413312558,0.5266411163516679,0.06878133407294572,0.26090047628892254,0.0011498854450660845,0.39323421292022465,-0.06788677607457592,-8.39642317467873e-4,0.8028079508173547,0.4269259258327207,0.205330434275229,FALSE
2010-11-01,2013-10-01,0.1819286954718899,0.04676110715595723,4.757830025774803e-4,0.189766761112879,0.09998715605528352,0.06676024070134486,-0.028410192584164266,0.01492160352049462,0.06594027300702304,0.5403787602565371,0.09027692544621373,0.27358046549756604,-0.006208064755476722,0.38574158698123473,-0.05765653548433372,8.361503160051881e-4,0.810233238887121,0.4170662199536321,0.22453867200236596,FALSE
2010-12-01,2013-11-01,0.2069017927895883,0.041654521161918576,2.1865790258560723e-5,0.1726394049510762,0.09627584739911009,0.08240197679424933,-0.01717157565488032,0.01265834615084865,0.18442086289131587,0.576835268677773,0.1252589313122279,0.28854465426694875,-0.016061255951179576,0.36134006585333195,-0.04198193411054368,0.007638782800783034,0.8273605950489238,0.39460709463055754,0.2500745068446893,FALSE
2011-01-01,2013-12-01,0.23575925418990504,0.04858084688231502,3.045727191211837e-5,0.11026896291482832,0.10397316882599734,0.29683292762702745,-0.006455254016187523,0.01661887321555121,0.7002708470194383,0.5725337857335717,0.1405407943005676,0.3309777140792425,-0.09351844798412648,0.31405637381378315,-0.039028245518667896,0.026117737486292848,0.8897310370851716,0.3143763040802792,0.2649781162656422,FALSE
2011-02-01,2014-01-01,0.22989015189426323,0.05031249838916416,6.917104933483384e-5,0.12456438748979126,0.10193770007831594,0.23064591642528956,-0.00915982615255831,0.018796100380330586,0.6293493060393991,0.5750684146153628,0.13127765505150146,0.328502648737025,-0.07523350466370798,0.3243622796432905,-0.04600018289800626,0.027680530592889642,0.8754356125102087,0.3327746680152123,0.26260086819529793,FALSE
2011-03-01,2014-02-01,0.2323850308706019,0.05601998716935523,2.3050528936910947e-4,0.11788776281092149,0.10411357727523832,0.26592203765044803,-0.00882797616585436,0.02550268593702275,0.7314891852293026,0.5727414631631587,0.12258585601866563,0.34218420572253816,-0.08617484864854562,0.3219503742703886,-0.05881324060241895,0.04115728827071023,0.8821122371890785,0.32420016870634377,0.26344156794731183,FALSE
2011-04-01,2014-03-01,0.25304816232101923,0.05412543739899538,5.094845934080672e-5,0.12842216071495072,0.10455091178431614,0.22828406187437555,0.009279581504832601,0.023322688195476317,0.6933622236308477,0.5926285318888082,0.1469623050189883,0.35913401962305014,-0.07649762638230892,0.3333419478122104,-0.036432887358300976,0.05499205036796618,0.8715778392850493,0.3377198734966924,0.2903334055952975,FALSE
2011-05-01,2014-04-01,0.3040319010377103,0.047890474907415714,3.972993394609852e-7,0.04915709622071917,0.11673087852920352,0.6764864042515937,0.03890280744179439,0.015705707696745255,0.018721482831363215,0.6348536195730974,0.21016657021917548,0.39789723185624504,-0.17963542569651972,0.27794961813795804,0.008119620356173692,0.06968599452741508,0.9508429037792808,0.23007247431917535,0.31974987648252484,FALSE
2011-06-01,2014-05-01,0.30675882029476564,0.0522851419266098,1.5955556681309828e-6,0.05621018335675091,0.12686637297925793,0.6606989044281522,0.036993692433601066,0.023356063595730715,0.12305062871029789,0.6458679733065698,0.20427994211861045,0.40923769847092084,-0.19244790768259462,0.30486827439609643,-0.008784192214031136,0.08277157708123327,0.9437898166432491,0.24078836023087755,0.3250287456859899,FALSE
