fecha_fin,estimate,std.error,statistic,p.value,ic_inf,ic_sup
2016-01-01,0.5552433849852444,0.034668392433854,16.015838808927413,5.876605894431469e-23,0.48729333581489054,0.6231934341555982
2016-02-01,0.5483685492518561,0.03576697670291912,15.331699791307802,4.593063812434532e-22,0.4782652749141346,0.6184718235895775
2016-03-01,0.5386530502081092,0.03657631825214781,14.72682533257646,2.9661263426408784e-21,0.46696346643389947,0.6103426339823189
2016-04-01,0.5288108896440777,0.03572212854740503,14.803454081475564,2.336032910433397e-21,0.4587955176911639,0.5988262615969916
2016-05-01,0.526304779856445,0.03692094711311756,14.254910044532831,1.3119178268362787e-20,0.45393972351473455,0.5986698361981554
2016-06-01,0.5191744339826895,0.03831930631114704,13.548638635758973,1.2797086643158978e-19,0.4440685936128413,0.5942802743525377
2016-07-01,0.5178211250793221,0.039993258434666806,12.947710322859473,9.344764195088678e-19,0.4394343385473751,0.5962079116112691
2016-08-01,0.5236132834342718,0.04254119659760071,12.308381646787135,8.152887872761684e-18,0.44023253810297447,0.6069940287655692
2016-09-01,0.5224265672049108,0.04716917162891786,11.075593426038212,6.149944966775886e-16,0.4299749908122318,0.6148781435975897
2016-10-01,0.5071628783562941,0.05181481064964044,9.787990576393499,6.825798994400466e-14,0.4056058494829989,0.6087199072295895
2016-11-01,0.49531669353437763,0.05558519542304179,8.910946336784011,1.860512894349944e-12,0.38636971050521574,0.6042636765635395
2016-12-01,0.49085413849879517,0.05824142385080287,8.427921332353014,1.1793590098272748e-11,0.37670094775122154,0.6050073292463688
2017-01-01,0.47291961196774135,0.06205760077898228,7.620655746135616,2.6535407203977285e-10,0.35128671444093607,0.5945525094945466
2017-02-01,0.4377401873201834,0.06191618886589404,7.069882616132863,2.236958747060447e-9,0.3163844571430311,0.5590959174973357
2017-03-01,0.42082488552387387,0.06333657375069772,6.644263505321647,1.1572520496387063e-8,0.29668520097250634,0.5449645700752414
2017-04-01,0.40267798104427505,0.061882938965671666,6.507092064060704,1.96186589193663e-8,0.2813874206715586,0.5239685414169915
2017-05-01,0.3872852130547073,0.06111282997703528,6.337216149215144,3.765190525710172e-8,0.2675040662997182,0.5070663598096965
2017-06-01,0.3809462770674785,0.05978762679638225,6.371657439504349,3.2996267139955885e-8,0.26376252854656934,0.4981300255883877
2017-07-01,0.3805676968735188,0.058117965236941405,6.548193752516638,1.6750723592082588e-8,0.26665648500911365,0.494478908737924
2017-08-01,0.37381421604952264,0.056583256130598225,6.606445821829916,1.3386853880916297e-8,0.2629110340335501,0.4847173980654952
2017-09-01,0.4025215101417294,0.050892185139094624,7.9092990218751344,8.692900412959508e-11,0.30277282726910393,0.5022701930143548
2017-10-01,0.40772012151559106,0.049302234176540755,8.269810249483472,2.165404121976309e-11,0.31108774252957117,0.504352500501611
2017-11-01,0.41475133929581376,0.04755068754656117,8.722299522792246,3.819792787366906e-12,0.32155199170455384,0.5079506868870737
2017-12-01,0.42439418465889067,0.044039089988192774,9.636760995122154,1.200805664034802e-13,0.33807756828203284,0.5107108010357485
2018-01-01,0.41165429652976954,0.04122271164047504,9.986104265047464,3.268152429925669e-14,0.33085778171443847,0.4924508113451006
2018-02-01,0.4087463968617956,0.04063021377599265,10.06015865718416,2.484270987918695e-14,0.32911117786085,0.4883816158627412
2018-03-01,0.4084278566063158,0.040595533587770405,10.060906225638492,2.4774102165002272e-14,0.3288606107742858,0.4879951024383458
2018-04-01,0.4040072837989149,0.03994586603973433,10.113869690471775,2.0369146936645295e-14,0.3257133863610356,0.48230118123679416
2018-05-01,0.4016313330717652,0.03934770718178629,10.207235995130024,1.4434661740779992e-14,0.32450982699546405,0.4787528391480663
2018-06-01,0.3945115497870411,0.036850589150752434,10.705705359909715,2.3336037246020307e-15,0.32228439505156636,0.46673870452251587
2018-07-01,0.3917607666993014,0.0371920507877067,10.533454283967375,4.366274486337752e-15,0.31886434715539624,0.4646571862432065
2018-08-01,0.3742191458020473,0.03795409988993767,9.859781865127559,5.2245043137058165e-14,0.29982911001776946,0.4486091815863251
2018-09-01,0.3669332769814738,0.03751384970820311,9.781274911415903,6.998845136277152e-14,0.29340613155339573,0.4404604224095519
2018-10-01,0.3598194545745671,0.037260448686457566,9.656873904080083,1.1137550945385318e-13,0.2867889751491103,0.4328499340000239
2018-11-01,0.35715633640677313,0.03675094099865088,9.7182909253911145,8.853098076234318e-14,0.2851244920494174,0.42918818076412885
