especificacion,modelo,observaciones,parametros_contados,log_verosimilitud,AIC,AICc,BIC,delta_AIC,peso_Akaike,delta_BIC,peso_BIC_aproximado
Núcleo Strohsal,Constante SSM,187,5,47.74419477656558,-85.48838955313116,-85.15689784042398,-69.33284646885822,0,0.8235436831632418,0,0.9916046945657163
Núcleo Strohsal,TVP Strohsal,187,7,48.20365153168459,-82.40730306336918,-81.78160473934683,-59.789542745387074,3.0810864897619723,0.17645631683675814,9.543303723471148,0.008395305434283597
Strohsal + tipo de cambio,Constante SSM,187,6,45.10401898712923,-78.20803797425846,-77.74137130759179,-58.82138627313094,0,0.8335347017082821,0,0.9921705059532294
Strohsal + tipo de cambio,TVP Strohsal,187,8,45.493130521111794,-74.98626104222359,-74.17727227817865,-49.137392107386894,3.221776932034871,0.16646529829171777,9.683994165744046,0.007829494046770545
