especificacion,modelo,theta1_promedio,theta2_promedio,anclaje_promedio,beta_control_tc,alpha0,alpha1,Q_theta1,Q_theta2,Q_nu,H,convergencia,log_verosimilitud
Núcleo Strohsal,Constante SSM,0.13109379282624015,-0.03256595434821138,0.9014721615219713,NA,0.02728691783423337,0.8858419662079283,0,0,0.0336616286413085,0,0,47.74419477656558
Núcleo Strohsal,TVP Strohsal,0.14621617386411398,-0.02697875284444109,0.8807625789803271,NA,0.03205095963016917,0.8738429259764632,7.043808870529762e-5,7.196621901882565e-11,0.03287151548396008,0,0,48.20365153168459
Strohsal + tipo de cambio,Constante SSM,0.13236751372902536,-0.03051452992419346,0.8981470161951681,-0.01596439216754576,0.027033601329391872,0.88537976702926,0,0,0.03374640931831931,0,0,45.10401898712923
Strohsal + tipo de cambio,TVP Strohsal,0.14623136843664278,-0.02603212807737399,0.8798007596407312,-0.01403186696740668,0.03125308761968719,0.8748661970032804,6.451549550392443e-5,6.401027195533559e-11,0.03302106060584869,0,0,45.493130521111794
