especificacion,fecha_inicial,fecha_final,observaciones,anclaje_promedio,anclaje_promedio_porcentaje,anclaje_inicial,anclaje_final,anclaje_minimo,fecha_anclaje_minimo,anclaje_maximo,fecha_anclaje_maximo,porcentaje_meses_A_significativamente_menor_1,porcentaje_meses_A_significativamente_mayor_0,porcentaje_meses_theta1_significativo_positivo,porcentaje_meses_theta2_significativo_positivo,porcentaje_meses_A_fuera_0_1
Núcleo Strohsal,2011-01-01,2026-07-01,187,0.8807625789803271,88.07625789803271,0.8226369054948506,0.8742611537698461,0.8180774685006269,2011-10-01,0.9166063389213669,2023-03-01,29.946524064171122,100,100,0,0
Strohsal + tipo de cambio,2011-01-01,2026-07-01,187,0.8798007596407312,87.98007596407312,0.8253608412124677,0.8741140908216132,0.8212426270349413,2011-10-01,0.9128557645579684,2023-03-01,29.946524064171122,100,100,0,0
