fecha,exp_inf_24m,exp_inf_12m,infl_gt,meta_inflacion,d_exp24,gap_meta_largo,x_inflacion,x_expectativa_corta,control_tc,theta1_inflacion,theta1_se,theta1_li_95,theta1_ls_95,theta2_expectativa_corta,theta2_se,theta2_li_95,theta2_ls_95,parametro_anclaje,anclaje_porcentaje,anclaje_se,anclaje_li_95,anclaje_ls_95,z_anclaje_igual_uno,p_anclaje_igual_uno,anclaje_significativamente_menor_uno,anclaje_significativamente_mayor_cero,theta1_significativamente_positivo,theta2_significativamente_positivo,fuera_rango_0_1,residuo_estado_u
2011-01-01,5.85,5.99,4.9,5,-0.35000000000000053,-1.2000000000000002,0.3899999999999997,0.71,-4.26297520982297,0.20067130543819828,0.056720854020032956,0.08950047438657976,0.3118421364898168,-0.026032146650666,0.060705035840480294,-0.14501183057822054,0.09294753727688852,0.8253608412124677,82.53608412124677,0.0805378030929063,0.6675096477563928,0.9832120346685426,-2.1684122496621017,0.03012733451124859,TRUE,TRUE,TRUE,FALSE,FALSE,0.7304035139714902
2011-02-01,5.81,5.5,5.24,5,-0.040000000000000036,-0.8499999999999996,-0.09999999999999964,0.9900000000000002,-4.90872571931833,0.20074910663532297,0.05616707585241953,0.09066366084765137,0.31083455242299457,-0.02603214651013697,0.06070503528355263,-0.14501182934613333,0.09294753632585939,0.825283039874814,82.5283039874814,0.08013629765001239,0.668218782626408,0.98234729712322,-2.1802474689839753,0.02923912265788129,TRUE,TRUE,TRUE,FALSE,FALSE,0.7869681494356153
2011-03-01,6.13,6.24,4.99,5,0.3200000000000003,-0.8099999999999996,0.2400000000000002,0.5,-4.32663330503598,0.20079597549746894,0.05561604260844236,0.09179053502227685,0.30980141597266103,-0.026032146065775984,0.06070503481314936,-0.14501182797979886,0.0929475358482469,0.825236170568307,82.5236170568307,0.07973182452890415,0.6689646660699876,0.9815076750666264,-2.191895525585748,0.028387051242444283,TRUE,TRUE,TRUE,FALSE,FALSE,1.034114295960487
2011-04-01,6.19,6.07,5.76114812916453,5,0.0600000000000005,-1.13,-0.009999999999999787,1.2400000000000002,-4.05226177638212,0.2007903876133136,0.055074566416889265,0.0928462209720515,0.30873455425457574,-0.02603214572984799,0.060705034278023554,-0.14501182659504358,0.09294753513534759,0.8252417581165344,82.52417581165345,0.07931178698956767,0.6697935120674694,0.9806900041655995,-2.203433417865777,0.027564215000963087,TRUE,TRUE,TRUE,FALSE,FALSE,1.1674269664178483
2011-05-01,5.74,5.96,6.3930220625962,5,-0.4500000000000002,-1.1900000000000004,0.7611481291645301,1.0700000000000003,-4.8128558128766,0.20079795576178186,0.054528018872459186,0.09392500262344151,0.3076709089001222,-0.02603214701249058,0.06070503386822065,-0.14501182707448723,0.09294753304950606,0.8252341912507087,82.52341912507087,0.07888894030193135,0.6706147094803929,0.9798536730210246,-2.2153397938977344,0.026736750404241658,TRUE,TRUE,TRUE,FALSE,FALSE,0.5474840564356326
2011-06-01,6.16,6.38,6.42229936695938,5,0.41999999999999993,-0.7400000000000002,1.3930220625962004,0.96,-4.51046614602539,0.20198614656419356,0.05398670609795653,0.09617414696824987,0.30779814616013723,-0.02603214664844405,0.06070503345442844,-0.14501182589942285,0.09294753260253476,0.8240460000842504,82.40460000842505,0.07846901175383945,0.670249563144275,0.9778424370242259,-2.2423374015174877,0.024939574221361702,TRUE,TRUE,TRUE,FALSE,FALSE,0.8403294413577751
2011-07-01,5.88,5.96,7.03967446592064,5,-0.28000000000000025,-1.1600000000000001,1.42229936695938,1.38,-2.70381857401678,0.20185793126926027,0.053524057049143016,0.09695270714647278,0.3067631553920478,-0.026032147184492777,0.060705032988148055,-0.14501182552157885,0.09294753115259329,0.8241742159152324,82.41742159152324,0.07804477855170826,0.6712092607724802,0.9771391710579846,-2.2528833747446013,0.024266503386673386,TRUE,TRUE,TRUE,FALSE,FALSE,0.5908823327199939
2011-08-01,5.95,6.33,7.6258261311642,5,0.07000000000000028,-0.8799999999999999,2.0396744659206396,0.96,-3.07518822970279,0.20214782839274184,0.0529756353337229,0.09831749108051746,0.3059781657049662,-0.026032147318040773,0.06070503264605158,-0.14501182498463006,0.09294753034854852,0.823884318925299,82.3884318925299,0.07766327402180558,0.6716670989210949,0.9761015389295031,-2.267682933702394,0.023348538779792052,TRUE,TRUE,TRUE,FALSE,FALSE,0.5195244653724118
2011-09-01,6.43,6.69,7.24931562404949,5,0.47999999999999954,-0.9500000000000002,2.6258261311642004,1.33,-2.35821114731185,0.20398190429804736,0.05244564696537562,0.10119032510000879,0.3067734834960859,-0.026032146730492003,0.060705032229067965,-0.1450118235798084,0.09294753011882441,0.8220502424324447,82.20502424324448,0.07717023682271847,0.6707993575814899,0.9733011272833996,-2.3059376891165364,0.021114114306931393,TRUE,TRUE,TRUE,FALSE,FALSE,0.8959116354609702
2011-10-01,6.51,6.69,6.65,5,0.08000000000000007,-1.4299999999999997,2.2493156240494896,1.6900000000000004,-2.72179944174362,0.2047895196238402,0.05214602483007922,0.10258518901995356,0.30699385022772685,-0.02603214665878149,0.06070503180632034,-0.1450118226795278,0.09294752936196482,0.8212426270349413,82.12426270349414,0.07682478972562647,0.6706688060528507,0.9718164480170319,-2.3268189031623283,0.019974905881969585,TRUE,TRUE,TRUE,FALSE,FALSE,1.0551661340433385
