variable,transformacion,prueba,estadistico,critico_1pct,critico_5pct,critico_10pct,rechaza_H0_5pct,interpretacion_5pct
Inflación,Primera diferencia,ADF,-8.33800274879735,-3.46,-2.88,-2.57,TRUE,Se rechaza raíz unitaria
Expectativa 24 meses,Primera diferencia,ADF,-12.15835793463391,-3.46,-2.88,-2.57,TRUE,Se rechaza raíz unitaria
