term,estimate,std.error,statistic,p.value
(Intercept),1.2433203733073404,0.2599645283181421,4.7826539311000795,3.8122775873230516e-6
infl_gt_lag1,0.06922365859140264,0.012416833814516741,5.574984704270748,9.913975102317968e-8
"lag(d_tasa_pol, 3)",-0.2263847849912826,0.10793972828805923,-2.097325874187199,0.037489010803050726
exp24_lag1,0.7548165866052836,0.039309221573067044,19.202023250504936,6.470097877270394e-44
imae_lag2,-0.0039003390571540927,0.0010685578482571814,-3.650096308323923,3.5145290723153814e-4
tcdep_var,-0.0019751358774326095,0.006975396703538227,-0.2831574978998304,0.7774110489549723
deficit_fiscal,-0.003550362645549287,0.00374588045057374,-0.9478045795629952,0.3446150086552787
d_effr,-0.271354895799525,0.11201605230709254,-2.4224643719420165,0.016498123053008743
d_infl_us,-0.02964164804874874,0.044248295148615335,-0.6698935619822703,0.5038620542654086
oil_var,0.0011279483129395852,5.258578303919956e-4,2.1449681791345907,0.033418467597280975
