fecha_inicio,fecha_fin,beta,se_beta,p_beta,rho,se_rho,p_rho,r2_ajustado,beta_ic_inf,beta_ic_sup,rho_ic_inf,rho_ic_sup,velocidad_ajuste,vida_media,multiplicador_lp,rho_ic_incluye_uno
2010-02-01,2014-03-01,0.19615560897451104,0.036982405079529324,2.9884940023028375e-6,0.10525626940969078,0.11444519825235541,0.36242128972620813,0.4377835626413973,0.12367009501863356,0.2686411229303885,-0.11905631916492583,0.3295688579843074,0.8947437305903092,0.30787969489130634,0.21923105160524223,FALSE
2010-03-01,2014-04-01,0.1990035246694307,0.039741645890074666,8.203435752737219e-6,-0.0654630480631602,0.17326488076646276,0.7072648057835824,0.3202338602962491,0.12110989872488435,0.276897150613977,-0.4050622143654272,0.2741361182391068,1.0654630480631602,NA,0.1867765616378597,FALSE
2010-04-01,2014-05-01,0.1916874665079638,0.036123919031320235,2.964425558334565e-6,0.18784235161256765,0.09040553622886192,0.04321797211540851,0.48430230491786364,0.12088458520657615,0.2624903478093515,0.010647500603998272,0.36503720262113704,0.8121576483874323,0.4145239715306463,0.2360224851524406,FALSE
2010-05-01,2014-06-01,0.19792397131577194,0.04034230232212633,1.154677639544539e-5,0.1846513143548052,0.10366566266683319,0.08133937411152621,0.4979930424684952,0.11885305876440434,0.27699488386713955,-0.018533384472187858,0.3878360131817983,0.8153486856451948,0.4103196098877194,0.24274764257349898,FALSE
2010-06-01,2014-07-01,0.20460068007130583,0.043672624171036775,2.4202882028646508e-5,0.18139209799516576,0.11032825625110361,0.10682642062316045,0.5106103436614402,0.11900233669607375,0.2901990234465379,-0.03485128425699732,0.39763548024732887,0.8186079020048342,0.40603918550491497,0.24993733821799533,FALSE
2010-07-01,2014-08-01,0.20021787495264987,0.046769724300402556,9.097070423372353e-5,0.22430572433128085,0.12741460518335868,0.08483947986401594,0.4974706484788066,0.10854921532386086,0.2918865345814389,-0.025426901828102144,0.47403835049066384,0.7756942756687192,0.4637225972330745,0.2581144159921044,FALSE
2010-08-01,2014-09-01,0.17858374451107864,0.04772537736753854,4.965160065242822e-4,0.2906421438760635,0.1516650109434312,0.061414024281591366,0.4956214771339288,0.0850420048707031,0.2721254841514542,-0.006621277573061635,0.5879055653251887,0.7093578561239364,0.5609518556356351,0.2517540941703155,FALSE
2010-09-01,2014-10-01,0.16973133688980394,0.04913343429010288,0.001178361106546412,0.35411063992824204,0.1685351117872078,0.041020975420401735,0.5105552295920975,0.07342980568120229,0.2660328680984056,0.02378182082531477,0.6844394590311693,0.6458893600717579,0.6676780199342597,0.26278701490135536,FALSE
2010-10-01,2014-11-01,0.1647746181894222,0.0487680532685748,0.0014718488051078732,0.39680098053854596,0.1704520979205994,0.0242707629165534,0.5243794092360479,0.0691892337830156,0.2603600025958288,0.06271486861417114,0.7308870924629207,0.603199019461454,0.7498992299843509,0.2731679145243566,FALSE
2010-11-01,2014-12-01,0.1788594766880399,0.04146594278106493,8.19045702487321e-5,0.3951314943455742,0.15801234199643113,0.015941628993889213,0.5584881400682513,0.09758622883715264,0.26013272453892716,0.0854273040325692,0.7048356846585793,0.6048685056544258,0.7464941355166967,0.29569976782726737,FALSE
2010-12-01,2015-01-01,0.19792717881533664,0.036279950828137474,1.7761841918672501e-6,0.38632028269870516,0.14631230214760182,0.011204361917359325,0.599310337909343,0.1268184751921872,0.2690358824384861,0.09954817048940562,0.6730923949080048,0.6136797173012949,0.72879356279342,0.3225252085660205,FALSE
