fecha_inicio,fecha_fin,ventana,n_obs,estimate,std.error,statistic,p.value,ic_inf,ic_sup,r_squared,adj_r_squared
2010-02-01,2013-01-01,36,36,0.16380994549327252,0.039826958792838936,4.113041780200557,2.546615059258208e-4,0.0857505406455474,0.24186935034099766,0.5008458314450884,0.45405012814306545
2010-03-01,2013-02-01,36,36,0.18314556446143224,0.044277143603580905,4.136345517252842,2.3841083983908566e-4,0.09636395766010565,0.26992717126275884,0.3696556904378177,0.3105609114163631
2010-04-01,2013-03-01,36,36,0.1492920047033967,0.036740962564119656,4.063366724343572,2.930138808791883e-4,0.07728104132038781,0.2213029680864056,0.5583741580437361,0.5169717353603365
2010-05-01,2013-04-01,36,36,0.16267680439244425,0.03976408539745225,4.091048562199981,2.7099273770703485e-4,0.08474062913526278,0.24061297964962572,0.5555810106750545,0.5139167304258409
2010-06-01,2013-05-01,36,36,0.16777607281554646,0.04384660559381653,3.8264324123463527,5.688548848200328e-4,0.08183830500733362,0.2537138406237593,0.5555652427478588,0.5138994842554705
2010-07-01,2013-06-01,36,36,0.16858493188445411,0.047628296568665525,3.539596081111276,0.001251030982188791,0.07523518596487706,0.2619346778040312,0.5279820152719101,0.48373032920365167
2010-08-01,2013-07-01,36,36,0.1584775538311353,0.044828135246422554,3.5352252097923786,0.0012659594495184536,0.07061602325405653,0.24633908440821406,0.5219523756359387,0.4771354108518079
2010-09-01,2013-08-01,36,36,0.1582717573226821,0.04325307763316225,3.6592022113435623,9.026486959192001e-4,0.07349728294116913,0.24304623170419504,0.5128628591050471,0.46719375214614534
2010-10-01,2013-09-01,36,36,0.157061824471224,0.04527158664782043,3.469324494700157,0.001513003132311463,0.06833114511851157,0.24579250382393641,0.5086293408048559,0.4625633415053111
2010-11-01,2013-10-01,36,36,0.17078394279317474,0.04324851470201058,3.9488972967026577,4.0422423310140364e-4,0.08601841159238299,0.2555494739939665,0.5174007204992325,0.4721570380460355
2010-12-01,2013-11-01,36,36,0.19331654477992247,0.0372072832435214,5.195664072398597,1.124704567760569e-5,0.1203916096600399,0.26624147989980507,0.5469541790543171,0.5044811333406594
2011-01-01,2013-12-01,36,36,0.22146267175341122,0.043701766430902074,5.067590851357719,1.6326333771065774e-5,0.13580878348806164,0.3071165600187608,0.5446831733762175,0.5019972208802379
2011-02-01,2014-01-01,36,36,0.2150898953643601,0.044657618562048314,4.816421078645502,3.385755736111915e-5,0.12756257134741802,0.30261721938130215,0.5470023465836494,0.5045338165758666
2011-03-01,2014-02-01,36,36,0.21400352166640055,0.04914422292767205,4.3546018009351775,1.281002858791015e-4,0.11768261467995578,0.3103244286528453,0.5451543438159424,0.502512563548687
2011-04-01,2014-03-01,36,36,0.23325366843583853,0.04809643556850942,4.849708001824539,3.0742846851747606e-5,0.13898638693680884,0.32752094993486824,0.5579996963296456,0.5165621678605499
2011-05-01,2014-04-01,36,36,0.2831200873954306,0.04461074839142202,6.346454556451027,3.9962216447777575e-7,0.1956846272248653,0.3705555475659959,0.5958078700005932,0.5579148578131488
2011-06-01,2014-05-01,36,36,0.28538580615620357,0.052452725309438716,5.440819413531011,5.508440409953683e-6,0.18258035365873115,0.388191258653676,0.6081494397574553,0.5714134497347167
2011-07-01,2014-06-01,36,36,0.2931641862172525,0.04927572120906482,5.94946515289809,1.2564601903940407e-6,0.19658554733524897,0.389742825099256,0.6133663134199877,0.5771194053031116
2011-08-01,2014-07-01,36,36,0.29171181453040945,0.05109411334759503,5.709303781159364,2.522321336007922e-6,0.19156919254711596,0.39185443651370294,0.6326292014123676,0.598188189044777
2011-09-01,2014-08-01,36,36,0.3252839309688928,0.046638399782995256,6.974594593348248,6.681183835608561e-8,0.23387434709764143,0.41669351484014416,0.6421963262190695,0.6086522318021073
2011-10-01,2014-09-01,36,36,0.3149071731029999,0.058924198815651245,5.344275856651196,7.2965265644395344e-6,0.1994178656064458,0.43039648059955404,0.6001001023820096,0.5626094869803231
2011-11-01,2014-10-01,36,36,0.31072929169132935,0.06243225841158204,4.977063133658558,2.1241356374842365e-5,0.18836431373113074,0.433094269651528,0.5680750527909258,0.5275820889900751
2011-12-01,2014-11-01,36,36,0.3148772426537562,0.06492701401895527,4.849710823938841,3.0742595245162166e-5,0.18762263355287673,0.4421318517546357,0.5800060695250719,0.5406316385430474
2012-01-01,2014-12-01,36,36,0.3244238922812115,0.07264655719680088,4.465784818987927,9.31474495053641e-5,0.18203925657465272,0.4668085279877703,0.6239518502300442,0.5886973361891108
2012-02-01,2015-01-01,36,36,0.2612536083354566,0.06234847098681682,4.1902167639475385,2.0464169729496077e-4,0.13905285071015516,0.383454365960758,0.6570363585346649,0.6248835171472897
2012-03-01,2015-02-01,36,36,0.2703203703553641,0.06815703369842557,3.966140480107316,3.851545612595324e-4,0.1367350390133672,0.403905701697361,0.6833271839627442,0.6536391074592514
